Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,21,30,16,75,72,12,63,19,71,78,37,67,79,99,97,39,50,63,10,60,31,23,12,14,13,78,101,99,45,11,64,24,0,81,5,28,95,52,65,83,63,3,64,52,39,94,39,66,21,46,90,18,30,58,45,90,28,43,101,44,92,31,45,86,100,14,15,95,17,71,25,74,28,36,37,78,4,7,37,9,86,8,99,82,10,58,3,92,100,36,65,42,87,100,90,90,31,16,84,83
1,19,79,91,51,79,0,56,24,87,8,5,65,26,31,61,6,75,21,85,45,10,42,90,18,29,35,63,83,88,12,69,39,44,98,41,90,55,93,53,99,32,21,95,12,50,37,15,22,56,24,96,12,65,78,86,86,0,18,92,10,27,43,61,34,96,36,48,79,12,10,16,1,11,14,81,72,67,86,39,80,62,87,12,32,42,28,40,0,90,47,75,24,41,68,11,99,76,99,18,36
2,32,59,77,61,15,28,70,42,80,21,84,68,33,71,54,75,33,19,0,78,33,15,8,59,10,97,3,17,29,44,85,80,7,48,100,66,31,95,59,54,76,61,65,46,53,29,2,81,77,38,0,62,16,4,55,40,77,102,18,96,38,20,42,65,67,88,101,3,46,15,62,12,84,99,46,33,39,62,68,71,50,53,64,94,90,97,10,3,38,88,77,35,98,70,23,27,2,48,35,14
3,2,22,14,86,70,35,52,62,15,94,0,36,60,24,79,27,66,51,9,102,80,30,46,15,70,51,10,58,46,31,75,3,48,13,76,63,54,46,11,62,15,76,53,3,94,1,36,26,41,56,74,100,36,14,3,20,78,47,15,99,35,6,46,75,11,1,45,102,101,78,84,34,18,17,39,62,37,16,15,8,96,49,2,31,27,46,14,52,93,32,44,34,52,91,91,5,8,52,61,1
4,52,55,101,84,33,25,99,88,39,83,102,55,3,12,19,62,20,90,82,7,11,21,87,61,39,4,56,20,60,77,66,53,101,27,20,73,90,48,72,4,20,97,28,91,74,52,64,14,79,26,102,74,69,29,39,18,34,90,22,81,84,26,54,50,89,31,52,21,50,47,86,4,20,91,65,54,20,83,10,33,100,73,59,47,35,31,58,38,32,60,95,65,65,48,89,40,89,42,99,57
5,75,31,89,70,59,7,87,91,50,10,97,75,95,102,10,63,73,5,77,43,43,52,72,9,7,42,41,65,34,33,49,101,39,8,59,79,101,98,27,49,70,94,72,66,40,21,23,39,16,37,34,88,25,100,1,65,74,77,78,25,75,35,94,35,39,22,10,97,3,36,30,45,50,44,58,11,31,26,62,74,92,59,48,75,36,86,55,44,101,67,93,93,50,1,40,98,68,38,49,90
6,73,32,94,50,6,18,64,95,86,0,77,10,81,97,57,3,48,62,94,24,66,102,57,13,89,9,17,69,0,35,12,37,8,0,84,50,23,72,91,10,66,91,80,62,90,2,78,44,1,14,89,95,67,41,69,88,98,71,64,18,18,78,16,101,99,97,94,73,8,54,13,32,25,12,12,16,63,85,32,49,43,83,65,27,84,6,98,96,95,54,53,81,55,58,35,41,33,25,65,71
7,100,72,84,101,26,73,61,10,10,65,4,99,101,46,48,45,89,20,80,8,12,55,53,27,90,64,1,52,27,45,45,12,42,9,98,13,94,31,47,46,36,44,12,84,35,23,20,20,94,19,13,60,43,13,31,91,100,13,53,102,69,68,5,87,17,70,100,92,62,59,52,48,6,77,91,36,47,40,23,21,52,55,55,13,28,29,16,36,68,92,15,11,45,95,19,34,26,43,7,67
8,77,2,29,3,82,15,88,26,5,73,32,85,2,35,87,24,45,93,30,69,24,17,14,74,71,5,7,72,57,42,6,88,89,51,61,75,45,57,19,42,16,100,45,0,96,87,69,38,96,102,5,0,29,17,89,17,32,65,16,6,94,71,33,30,94,64,83,23,87,32,68,24,71,30,88,40,85,34,31,51,7,74,101,39,60,80,8,57,43,44,76,4,100,88,72,39,57,61,41,89
9,54,80,20,56,98,11,59,9,34,37,87,5,62,54,51,33,83,89,51,96,55,45,65,49,4,81,44,82,84,14,51,38,72,30,44,102,97,77,44,63,34,57,21,37,31,93,27,97,23,61,52,33,42,45,102,95,18,74,4,46,9,2,35,66,7,6,3,2,88,19,6,82,76,13,70,0,96,71,17,93,53,31,23,16,93,92,80,93,12,40,7,9,102,11,42,88,77,97,3,22
