Iteration,Sim_0,Sim_1,Sim_2
0,[209.0],[209.0],[113.0]
1,[262.0],[262.0],[262.0]
2,[478.0],[74.0],[74.0]
3,[74.0],[478.0],[220.0]
4,[13.0],[471.0],[125.0]
5,[378.0],[13.0],[471.0]
6,[125.0],[125.0],[378.0]
7,[460.0],[323.0],[374.0]
8,[471.0],[122.0],[460.0]
9,[220.0],[141.0],[323.0]
10,[252.0],[382.0],[234.0]
11,[314.0],[253.0],[442.0]
12,[397.0],[306.0],[252.0]
13,[49.0],[40.0],[431.0]
14,[474.0],[282.0],[106.0]
15,[253.0],[482.0],[162.0]
16,[14.0],[442.0],[236.0]
17,[400.0],[429.0],[49.0]
18,[203.0],[378.0],[154.0]
19,[234.0],[43.0],[79.0]
20,[482.0],[436.0],[285.0]
21,[59.0],[212.0],[68.0]
22,[396.0],[284.0],[31.0]
23,[388.0],[49.0],[13.0]
24,[79.0],[373.0],[297.0]
25,[16.0],[204.0],[261.0]
26,[394.0],[266.0],[306.0]
27,[30.0],[388.0],[44.0]
28,[447.0],[437.0],[95.0]
29,[418.0],[72.0],[258.0]
30,[211.0],[44.0],[189.0]
31,[438.0],[252.0],[439.0]
32,[18.0],[189.0],[205.0]
33,[167.0],[95.0],[254.0]
34,[481.0],[431.0],[72.0]
35,[82.0],[111.0],[38.0]
36,[272.0],[98.0],[319.0]
37,[130.0],[33.0],[485.0]
38,[269.0],[439.0],[275.0]
39,[3.0],[356.0],[130.0]
40,[483.0],[273.0],[499.0]
41,[197.0],[14.0],[392.0]
42,[41.0],[20.0],[286.0]
43,[194.0],[308.0],[123.0]
44,[392.0],[474.0],[147.0]
45,[202.0],[177.0],[248.0]
46,[377.0],[487.0],[367.0]
47,[20.0],[412.0],[86.0]
48,[106.0],[82.0],[90.0]
49,[420.0],[211.0],[388.0]
50,[248.0],[472.0],[397.0]
51,[497.0],[270.0],[408.0]
52,[143.0],[457.0],[421.0]
53,[351.0],[71.0],[186.0]
54,[408.0],[479.0],[484.0]
55,[412.0],[236.0],[400.0]
56,[38.0],[123.0],[253.0]
57,[254.0],[317.0],[169.0]
58,[36.0],[38.0],[267.0]
59,[399.0],[246.0],[54.0]
60,[411.0],[434.0],[399.0]
61,[372.0],[247.0],[271.0]
62,[363.0],[499.0],[338.0]
63,[472.0],[210.0],[230.0]
64,[498.0],[69.0],[19.0]
65,[155.0],[347.0],[183.0]
66,[118.0],[201.0],[461.0]
67,[390.0],[147.0],[490.0]
68,[54.0],[416.0],[266.0]
69,[124.0],[23.0],[45.0]
70,[196.0],[248.0],[356.0]
71,[210.0],[11.0],[473.0]
72,[287.0],[152.0],[315.0]
73,[25.0],[293.0],[373.0]
74,[105.0],[218.0],[191.0]
