Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[787.0],[668.0],[668.0],[848.0],[209.0],[431.0],[630.0],[179.0],[607.0],[478.0],[646.0],[209.0],[844.0],[262.0],[260.0],[211.0],[492.0],[717.0],[179.0],[337.0],[37.0],[847.0],[478.0],[559.0],[262.0]
1,[683.0],[575.0],[646.0],[69.0],[179.0],[14.0],[635.0],[822.0],[196.0],[654.0],[708.0],[179.0],[837.0],[977.0],[327.0],[330.0],[283.0],[25.0],[614.0],[857.0],[71.0],[28.0],[209.0],[565.0],[646.0]
2,[18.0],[850.0],[575.0],[247.0],[755.0],[471.0],[751.0],[254.0],[430.0],[471.0],[933.0],[762.0],[470.0],[382.0],[529.0],[984.0],[684.0],[269.0],[544.0],[845.0],[684.0],[11.0],[179.0],[828.0],[668.0]
3,[447.0],[858.0],[977.0],[504.0],[323.0],[978.0],[961.0],[815.0],[431.0],[179.0],[445.0],[13.0],[264.0],[179.0],[979.0],[657.0],[799.0],[397.0],[442.0],[183.0],[137.0],[661.0],[614.0],[426.0],[382.0]
4,[730.0],[977.0],[236.0],[973.0],[822.0],[668.0],[74.0],[614.0],[285.0],[74.0],[452.0],[634.0],[882.0],[236.0],[259.0],[111.0],[746.0],[473.0],[847.0],[618.0],[639.0],[292.0],[37.0],[982.0],[740.0]
5,[778.0],[514.0],[13.0],[136.0],[113.0],[74.0],[906.0],[617.0],[762.0],[37.0],[222.0],[831.0],[366.0],[117.0],[145.0],[441.0],[940.0],[766.0],[654.0],[186.0],[830.0],[179.0],[431.0],[481.0],[654.0]
6,[172.0],[598.0],[566.0],[438.0],[28.0],[635.0],[236.0],[661.0],[179.0],[382.0],[977.0],[731.0],[36.0],[79.0],[248.0],[637.0],[193.0],[367.0],[601.0],[133.0],[640.0],[869.0],[79.0],[793.0],[708.0]
7,[592.0],[471.0],[260.0],[925.0],[292.0],[429.0],[568.0],[526.0],[847.0],[740.0],[260.0],[126.0],[231.0],[646.0],[134.0],[726.0],[584.0],[657.0],[891.0],[57.0],[880.0],[909.0],[285.0],[517.0],[478.0]
8,[11.0],[389.0],[601.0],[775.0],[975.0],[13.0],[37.0],[550.0],[378.0],[442.0],[444.0],[473.0],[512.0],[817.0],[156.0],[402.0],[483.0],[778.0],[431.0],[910.0],[179.0],[159.0],[822.0],[752.0],[209.0]
9,[605.0],[224.0],[205.0],[400.0],[82.0],[236.0],[708.0],[655.0],[757.0],[125.0],[731.0],[898.0],[585.0],[533.0],[120.0],[273.0],[326.0],[26.0],[220.0],[77.0],[583.0],[436.0],[697.0],[633.0],[614.0]
10,[156.0],[255.0],[458.0],[142.0],[514.0],[37.0],[285.0],[232.0],[654.0],[614.0],[471.0],[822.0],[583.0],[13.0],[160.0],[691.0],[984.0],[146.0],[880.0],[695.0],[420.0],[469.0],[793.0],[811.0],[8.0]
11,[460.0],[882.0],[285.0],[534.0],[754.0],[79.0],[533.0],[909.0],[483.0],[48.0],[316.0],[575.0],[378.0],[496.0],[426.0],[668.0],[740.0],[943.0],[723.0],[93.0],[614.0],[514.0],[831.0],[984.0],[404.0]
12,[501.0],[129.0],[79.0],[224.0],[614.0],[531.0],[569.0],[472.0],[325.0],[544.0],[884.0],[250.0],[869.0],[452.0],[752.0],[575.0],[879.0],[98.0],[708.0],[317.0],[986.0],[389.0],[30.0],[32.0],[568.0]
13,[106.0],[556.0],[471.0],[255.0],[961.0],[630.0],[624.0],[797.0],[684.0],[528.0],[158.0],[682.0],[140.0],[755.0],[982.0],[646.0],[32.0],[408.0],[242.0],[640.0],[460.0],[282.0],[708.0],[247.0],[285.0]
14,[931.0],[218.0],[544.0],[882.0],[400.0],[985.0],[474.0],[709.0],[444.0],[345.0],[975.0],[837.0],[576.0],[654.0],[517.0],[933.0],[459.0],[761.0],[759.0],[592.0],[146.0],[316.0],[912.0],[486.0],[933.0]
15,[92.0],[855.0],[728.0],[935.0],[223.0],[285.0],[946.0],[978.0],[146.0],[619.0],[411.0],[285.0],[341.0],[374.0],[481.0],[74.0],[117.0],[511.0],[933.0],[533.0],[193.0],[759.0],[14.0],[69.0],[977.0]
16,[618.0],[544.0],[685.0],[129.0],[762.0],[725.0],[633.0],[400.0],[697.0],[79.0],[676.0],[79.0],[807.0],[284.0],[274.0],[977.0],[63.0],[970.0],[285.0],[444.0],[672.0],[364.0],[520.0],[504.0],[738.0]
17,[979.0],[760.0],[37.0],[872.0],[389.0],[114.0],[828.0],[223.0],[265.0],[446.0],[982.0],[832.0],[344.0],[113.0],[754.0],[471.0],[244.0],[232.0],[79.0],[905.0],[650.0],[721.0],[775.0],[973.0],[179.0]
18,[66.0],[469.0],[415.0],[505.0],[351.0],[810.0],[262.0],[635.0],[193.0],[571.0],[945.0],[994.0],[246.0],[16.0],[523.0],[544.0],[139.0],[260.0],[635.0],[672.0],[569.0],[546.0],[223.0],[534.0],[711.0]
19,[152.0],[476.0],[855.0],[85.0],[854.0],[699.0],[559.0],[630.0],[283.0],[622.0],[794.0],[324.0],[60.0],[293.0],[308.0],[630.0],[158.0],[796.0],[37.0],[43.0],[283.0],[884.0],[639.0],[68.0],[811.0]
20,[756.0],[442.0],[775.0],[981.0],[177.0],[407.0],[397.0],[142.0],[498.0],[709.0],[251.0],[712.0],[974.0],[191.0],[201.0],[797.0],[430.0],[441.0],[841.0],[247.0],[646.0],[153.0],[444.0],[558.0],[37.0]
21,[385.0],[9.0],[531.0],[843.0],[875.0],[353.0],[372.0],[474.0],[620.0],[931.0],[285.0],[858.0],[803.0],[125.0],[922.0],[738.0],[129.0],[171.0],[222.0],[238.0],[74.0],[366.0],[514.0],[356.0],[471.0]
22,[929.0],[448.0],[721.0],[869.0],[474.0],[721.0],[953.0],[641.0],[82.0],[220.0],[79.0],[24.0],[224.0],[234.0],[207.0],[687.0],[505.0],[812.0],[229.0],[352.0],[471.0],[710.0],[558.0],[95.0],[544.0]
23,[532.0],[737.0],[400.0],[230.0],[135.0],[722.0],[20.0],[151.0],[13.0],[130.0],[800.0],[661.0],[806.0],[464.0],[148.0],[37.0],[882.0],[854.0],[445.0],[214.0],[544.0],[444.0],[68.0],[412.0],[762.0]
24,[450.0],[923.0],[142.0],[216.0],[434.0],[544.0],[44.0],[50.0],[244.0],[153.0],[538.0],[728.0],[652.0],[921.0],[409.0],[442.0],[556.0],[922.0],[316.0],[425.0],[236.0],[495.0],[843.0],[599.0],[488.0]
25,[980.0],[127.0],[630.0],[727.0],[728.0],[896.0],[646.0],[727.0],[614.0],[23.0],[388.0],[663.0],[11.0],[14.0],[387.0],[236.0],[935.0],[273.0],[884.0],[821.0],[13.0],[999.0],[978.0],[790.0],[571.0]
26,[259.0],[998.0],[520.0],[739.0],[660.0],[262.0],[581.0],[48.0],[830.0],[749.0],[451.0],[798.0],[167.0],[721.0],[944.0],[79.0],[85.0],[714.0],[375.0],[473.0],[79.0],[345.0],[322.0],[338.0],[267.0]
27,[145.0],[444.0],[789.0],[883.0],[760.0],[646.0],[977.0],[554.0],[139.0],[502.0],[423.0],[984.0],[156.0],[285.0],[961.0],[285.0],[898.0],[72.0],[750.0],[894.0],[977.0],[420.0],[706.0],[735.0],[266.0]
28,[120.0],[935.0],[635.0],[338.0],[469.0],[442.0],[79.0],[956.0],[35.0],[140.0],[212.0],[356.0],[679.0],[538.0],[813.0],[400.0],[262.0],[116.0],[16.0],[541.0],[20.0],[6.0],[795.0],[756.0],[641.0]
29,[187.0],[85.0],[339.0],[40.0],[571.0],[850.0],[865.0],[386.0],[533.0],[947.0],[878.0],[614.0],[658.0],[292.0],[780.0],[978.0],[646.0],[655.0],[831.0],[406.0],[156.0],[544.0],[838.0],[732.0],[31.0]
30,[160.0],[250.0],[985.0],[759.0],[421.0],[539.0],[94.0],[173.0],[741.0],[473.0],[21.0],[37.0],[255.0],[909.0],[962.0],[526.0],[668.0],[834.0],[426.0],[227.0],[82.0],[977.0],[54.0],[604.0],[252.0]
31,[982.0],[262.0],[617.0],[229.0],[671.0],[469.0],[555.0],[200.0],[869.0],[847.0],[461.0],[394.0],[938.0],[55.0],[237.0],[223.0],[471.0],[914.0],[982.0],[126.0],[285.0],[575.0],[814.0],[453.0],[583.0]
32,[406.0],[646.0],[467.0],[841.0],[129.0],[389.0],[282.0],[563.0],[956.0],[282.0],[464.0],[490.0],[270.0],[991.0],[393.0],[898.0],[977.0],[319.0],[260.0],[653.0],[139.0],[471.0],[538.0],[981.0],[909.0]
33,[481.0],[608.0],[40.0],[445.0],[20.0],[998.0],[434.0],[640.0],[17.0],[271.0],[37.0],[879.0],[413.0],[531.0],[650.0],[243.0],[544.0],[362.0],[447.0],[411.0],[690.0],[351.0],[67.0],[249.0],[769.0]
