Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[544.0],[762.0],[179.0],[74.0],[113.0],[179.0],[630.0],[646.0],[646.0],[708.0],[614.0],[646.0],[646.0],[985.0],[74.0],[74.0],[262.0],[544.0],[262.0],[179.0],[478.0],[869.0],[262.0],[668.0],[646.0]
1,[79.0],[869.0],[544.0],[179.0],[646.0],[13.0],[179.0],[575.0],[478.0],[179.0],[387.0],[894.0],[478.0],[71.0],[708.0],[179.0],[668.0],[179.0],[668.0],[646.0],[262.0],[646.0],[646.0],[179.0],[323.0]
2,[478.0],[421.0],[583.0],[382.0],[374.0],[583.0],[437.0],[661.0],[397.0],[854.0],[382.0],[761.0],[808.0],[471.0],[478.0],[382.0],[478.0],[79.0],[209.0],[941.0],[429.0],[478.0],[141.0],[933.0],[209.0]
3,[654.0],[471.0],[889.0],[822.0],[800.0],[394.0],[583.0],[478.0],[507.0],[525.0],[624.0],[755.0],[880.0],[14.0],[629.0],[822.0],[179.0],[822.0],[659.0],[822.0],[668.0],[967.0],[478.0],[822.0],[76.0]
4,[262.0],[478.0],[624.0],[221.0],[740.0],[789.0],[79.0],[392.0],[755.0],[501.0],[478.0],[740.0],[575.0],[262.0],[654.0],[975.0],[975.0],[262.0],[478.0],[471.0],[654.0],[471.0],[424.0],[436.0],[471.0]
5,[429.0],[583.0],[415.0],[262.0],[471.0],[262.0],[141.0],[262.0],[471.0],[151.0],[909.0],[250.0],[837.0],[606.0],[525.0],[262.0],[471.0],[429.0],[534.0],[209.0],[978.0],[569.0],[676.0],[285.0],[478.0]
6,[220.0],[262.0],[933.0],[282.0],[571.0],[869.0],[684.0],[1.0],[250.0],[614.0],[171.0],[86.0],[225.0],[457.0],[624.0],[209.0],[775.0],[961.0],[831.0],[708.0],[266.0],[262.0],[285.0],[209.0],[487.0]
7,[575.0],[382.0],[209.0],[670.0],[262.0],[209.0],[209.0],[79.0],[262.0],[977.0],[262.0],[471.0],[79.0],[959.0],[262.0],[837.0],[480.0],[33.0],[977.0],[561.0],[220.0],[583.0],[977.0],[262.0],[262.0]
8,[779.0],[209.0],[420.0],[209.0],[447.0],[933.0],[262.0],[544.0],[627.0],[754.0],[13.0],[262.0],[583.0],[901.0],[373.0],[323.0],[219.0],[737.0],[614.0],[262.0],[800.0],[179.0],[315.0],[594.0],[568.0]
9,[209.0],[436.0],[838.0],[323.0],[464.0],[786.0],[420.0],[209.0],[209.0],[262.0],[372.0],[497.0],[854.0],[706.0],[399.0],[211.0],[209.0],[209.0],[800.0],[215.0],[471.0],[209.0],[209.0],[323.0],[243.0]
10,[203.0],[522.0],[308.0],[478.0],[179.0],[892.0],[388.0],[225.0],[571.0],[531.0],[179.0],[209.0],[262.0],[179.0],[471.0],[96.0],[894.0],[575.0],[571.0],[793.0],[110.0],[396.0],[564.0],[609.0],[501.0]
11,[646.0],[622.0],[478.0],[860.0],[209.0],[646.0],[412.0],[482.0],[808.0],[478.0],[19.0],[847.0],[544.0],[382.0],[209.0],[352.0],[707.0],[323.0],[673.0],[838.0],[209.0],[263.0],[854.0],[977.0],[583.0]
12,[314.0],[234.0],[20.0],[977.0],[869.0],[478.0],[478.0],[888.0],[404.0],[314.0],[209.0],[14.0],[704.0],[854.0],[220.0],[886.0],[880.0],[478.0],[525.0],[709.0],[842.0],[786.0],[875.0],[478.0],[564.0]
13,[635.0],[530.0],[566.0],[790.0],[784.0],[412.0],[740.0],[220.0],[847.0],[862.0],[718.0],[491.0],[209.0],[898.0],[491.0],[478.0],[909.0],[677.0],[954.0],[478.0],[425.0],[20.0],[142.0],[578.0],[913.0]
14,[804.0],[300.0],[399.0],[489.0],[808.0],[738.0],[989.0],[869.0],[136.0],[285.0],[428.0],[544.0],[390.0],[460.0],[520.0],[128.0],[842.0],[880.0],[223.0],[704.0],[544.0],[544.0],[121.0],[283.0],[100.0]
15,[176.0],[544.0],[113.0],[880.0],[734.0],[113.0],[113.0],[742.0],[520.0],[875.0],[977.0],[904.0],[252.0],[761.0],[255.0],[977.0],[275.0],[646.0],[290.0],[232.0],[17.0],[709.0],[537.0],[470.0],[544.0]
16,[568.0],[715.0],[718.0],[14.0],[239.0],[117.0],[382.0],[8.0],[825.0],[822.0],[677.0],[628.0],[62.0],[474.0],[285.0],[894.0],[205.0],[526.0],[220.0],[486.0],[460.0],[689.0],[886.0],[677.0],[169.0]
17,[710.0],[179.0],[646.0],[627.0],[220.0],[314.0],[282.0],[750.0],[420.0],[896.0],[869.0],[234.0],[538.0],[740.0],[869.0],[880.0],[337.0],[103.0],[307.0],[880.0],[230.0],[968.0],[220.0],[880.0],[223.0]
18,[896.0],[273.0],[872.0],[729.0],[544.0],[597.0],[569.0],[283.0],[544.0],[985.0],[999.0],[903.0],[179.0],[544.0],[709.0],[608.0],[544.0],[399.0],[147.0],[544.0],[38.0],[234.0],[937.0],[300.0],[385.0]
