Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,637,490,805,46,539,466,42,981,493,210,72,843,284,574,34,268,244,321,944,823,697,131,566,156,686,390,97,604,476,778,902,829,306,954,780,959,538,991,238,418,894,531,300,213,573,300,941,308,219,427,161,509,213,147,799,360,800,397,340,246,58,530,963,776,418,435,359,769,915,236,761,559,875,607,716,284,743,132,264,259,475,279,481,60,495,159,100,822,199,404,364,232,855,762,628,257,205,20,645,441
1,194,548,176,211,110,688,60,302,615,974,439,104,636,350,246,53,803,652,119,580,265,677,97,434,648,82,769,402,783,130,593,135,800,434,465,572,889,556,564,620,564,867,60,101,16,883,788,44,765,675,941,259,344,103,539,49,899,492,130,795,361,674,491,544,553,328,628,16,21,70,114,757,562,7,966,873,751,163,209,545,248,788,253,276,458,299,585,342,97,234,389,523,137,425,441,758,151,719,947,138
2,537,14,335,721,672,706,633,498,297,374,133,441,597,622,984,110,490,89,859,915,288,923,107,899,585,613,689,433,875,835,653,958,764,611,510,49,150,337,592,35,689,169,542,224,63,635,235,617,903,605,426,274,890,462,691,312,789,293,35,927,802,170,528,940,309,628,52,816,283,509,783,106,686,744,617,307,438,626,316,283,994,967,993,904,566,983,318,83,253,641,663,554,494,178,524,811,110,975,611,363
3,630,243,379,346,752,412,320,690,726,997,835,846,147,902,985,330,498,670,782,156,423,508,793,571,394,65,570,731,81,834,83,540,766,596,220,818,491,924,450,127,147,239,451,268,117,255,902,732,471,26,243,991,691,202,873,720,307,272,713,517,203,672,446,973,744,144,397,883,161,68,459,653,189,869,620,511,223,12,896,250,291,778,941,846,464,39,717,443,186,950,286,876,772,213,160,218,186,502,688,89
4,698,300,545,75,414,874,163,253,977,394,526,859,319,983,475,83,191,798,623,842,910,142,60,527,809,831,628,971,494,371,958,376,212,444,438,851,235,611,31,828,440,277,974,699,535,918,956,443,350,587,680,774,120,192,676,137,172,47,551,653,938,478,365,788,449,754,478,847,591,16,932,601,782,642,809,669,549,76,513,997,80,526,361,182,904,687,606,623,897,910,805,518,550,882,245,27,494,576,974,838
5,723,531,171,44,685,125,370,379,411,949,339,186,322,64,245,8,196,342,961,283,147,945,256,461,895,955,961,106,381,572,884,948,671,449,708,746,643,819,121,531,292,160,946,59,443,475,161,828,252,786,416,778,389,373,110,631,72,390,684,154,186,57,299,781,306,890,651,10,726,238,361,222,699,603,138,132,526,641,313,419,773,103,410,76,911,315,822,717,110,309,739,401,462,407,609,187,397,156,834,923
6,103,80,519,266,585,296,839,112,249,422,8,625,127,751,656,974,766,860,844,955,659,726,59,698,276,576,308,303,741,26,937,304,279,354,817,283,764,669,211,695,150,73,210,341,92,95,333,138,707,967,343,288,483,885,900,486,231,917,800,140,226,714,326,272,331,86,873,566,953,259,597,253,475,32,557,435,364,827,534,586,309,255,686,979,519,753,557,832,736,519,161,207,201,435,716,777,155,851,33,23
7,214,845,830,862,621,121,126,478,906,209,455,668,194,90,498,847,28,653,837,676,797,12,113,762,569,458,155,828,9,499,720,930,205,15,416,568,465,147,351,829,425,529,933,867,80,894,888,248,75,934,954,878,487,937,768,275,94,177,642,561,293,702,153,65,930,966,279,118,137,43,524,259,681,935,148,694,127,772,829,217,560,193,496,304,226,882,919,579,123,638,514,189,312,151,428,159,272,739,565,608
8,15,302,507,573,635,2,802,819,169,753,423,567,592,221,163,398,70,382,198,847,966,738,299,138,446,724,106,650,870,419,34,73,662,261,325,653,210,851,454,337,686,62,909,732,248,176,679,206,191,652,322,478,373,24,826,933,485,810,343,755,642,505,992,586,922,584,238,433,101,302,354,661,510,861,361,490,180,442,319,943,482,233,145,809,981,399,234,116,621,159,130,697,290,316,652,896,797,454,360,79
9,683,297,152,225,134,194,780,807,614,873,402,673,62,564,436,78,788,409,177,605,177,646,955,717,911,462,671,160,322,105,343,880,525,670,969,377,519,76,302,232,218,761,412,272,705,606,197,432,786,719,561,441,692,835,5,395,529,127,983,939,164,257,522,937,597,701,535,428,977,986,286,773,58,853,366,971,296,674,7,374,748,888,570,126,536,844,241,706,117,570,351,420,189,580,263,763,31,844,187,125
