Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,5.263391733169556,5.436087608337402,5.52909517288208,5.670283317565918,5.545801877975464,5.799435615539551,5.3745832443237305,5.7780375480651855,5.81627345085144,5.824309825897217,5.803631782531738,5.849950313568115,6.02398419380188,5.8339011669158936,5.843552827835083,8.42530608177185,8.308228492736816
1,6.455970048904419,6.705639600753784,6.813704013824463,7.1626832485198975,6.944465160369873,7.144234895706177,6.62969183921814,7.681503772735596,7.276387929916382,7.025380611419678,7.145400047302246,7.482875108718872,7.416949272155762,7.428439378738403,7.599411249160767,10.67919111251831,10.495421648025513
2,5.186626672744751,5.420222997665405,5.517366409301758,5.691569566726685,5.442032098770142,5.881535053253174,5.299611806869507,5.780703783035278,5.808902025222778,5.783894777297974,5.7950897216796875,5.79961633682251,5.939816951751709,5.822341203689575,5.833914756774902,8.572660446166992,8.16646146774292
3,5.851224422454834,6.211923837661743,6.304728746414185,6.445632219314575,6.182339668273926,6.644353151321411,6.097729682922363,6.650404691696167,6.659680366516113,6.645425319671631,6.68810772895813,6.5963661670684814,6.910955190658569,7.149619817733765,7.288928270339966,10.617029905319214,10.361508846282959
4,5.908068418502808,6.213947296142578,6.330205917358398,6.4897072315216064,6.230183362960815,6.549613952636719,6.011581182479858,6.7458319664001465,7.061604976654053,7.249857425689697,7.301153182983398,7.286844253540039,7.2174694538116455,6.79892635345459,6.781631946563721,9.66877293586731,10.09398341178894
5,5.676835536956787,5.856950044631958,5.861871957778931,5.991631507873535,5.734585762023926,5.988722801208496,6.460443496704102,7.063166618347168,7.035264253616333,7.053205728530884,7.025585651397705,7.0347514152526855,6.989099502563477,7.062930345535278,7.173718690872192,9.965861558914185,9.895637512207031
6,6.415704250335693,6.647467374801636,6.738807678222656,6.953064680099487,6.690868377685547,7.0165696144104,6.42955470085144,6.909644603729248,6.9610021114349365,7.0243213176727295,7.1079161167144775,7.062104940414429,7.1584882736206055,7.106634140014648,6.772233009338379,9.774055242538452,9.743513345718384
7,5.165298223495483,5.4374308586120605,5.5469841957092285,5.71091365814209,5.450024127960205,5.8041462898254395,5.301727294921875,5.777577877044678,5.757833242416382,5.758390426635742,5.797051429748535,5.768986701965332,5.9050209522247314,5.805669069290161,5.802518129348755,8.284205675125122,8.147626638412476
8,5.199904441833496,5.4965760707855225,5.608049392700195,5.80260443687439,5.523491382598877,5.888573408126831,5.355050802230835,5.859572887420654,5.85794734954834,5.858484983444214,5.900567531585693,5.890045881271362,6.019998073577881,5.924728155136108,5.925816535949707,8.520196199417114,8.284935712814331
9,6.439667463302612,6.80787992477417,6.97340202331543,6.866069316864014,6.416383743286133,6.818888902664185,6.245065212249756,7.068084001541138,7.069521903991699,6.961501359939575,7.013338565826416,7.0730555057525635,7.231461524963379,7.118579626083374,7.1281068325042725,10.300731897354126,9.94343090057373
10,5.203826427459717,5.471881628036499,5.5939249992370605,5.679203271865845,5.530433416366577,5.717668533325195,5.306683540344238,5.719548463821411,5.7161524295806885,5.750326156616211,5.763313293457031,5.661008358001709,5.808283090591431,5.757587671279907,5.87281346321106,8.092173337936401,8.202752113342285
11,6.406183958053589,6.16749119758606,6.324777364730835,6.8214805126190186,6.392581939697266,6.46657657623291,6.12565279006958,6.615160942077637,6.166458368301392,6.261842727661133,7.70071005821228,7.3583924770355225,7.292866945266724,7.433878183364868,7.703022003173828,10.53537917137146,9.904905557632446
12,6.372881174087524,6.599225044250488,6.662489175796509,6.893656015396118,6.626817941665649,6.9285712242126465,6.38397479057312,6.8639116287231445,6.911385774612427,6.936835050582886,7.064559459686279,6.998925447463989,6.964136362075806,7.146542310714722,6.93931770324707,9.842700958251953,9.720951318740845
13,5.911527156829834,6.2620885372161865,6.353271722793579,6.469647645950317,6.232365131378174,6.658783674240112,6.139478445053101,6.659939765930176,6.66451621055603,6.648242473602295,6.708137035369873,6.615513801574707,6.939088582992554,7.18654990196228,7.3368284702301025,10.49491286277771,10.468847751617432
14,5.841551065444946,6.14771580696106,6.200134754180908,6.407448053359985,6.120887517929077,6.738316535949707,6.202054738998413,6.541422605514526,6.82796573638916,6.504407167434692,6.470377206802368,6.519535064697266,6.458482265472412,6.493219375610352,6.64111328125,9.509467124938965,8.734758138656616
15,5.707897424697876,5.893383026123047,5.905906438827515,6.034719944000244,5.764996290206909,6.065673828125,6.5010058879852295,7.094501733779907,7.078803300857544,7.1033689975738525,7.078755140304565,7.078266382217407,7.197227478027344,7.125839471817017,7.064523458480835,9.930191278457642,9.885455131530762
16,5.848029375076294,6.097888469696045,6.340209484100342,6.611797332763672,6.170474529266357,6.215725660324097,5.620798110961914,6.175683259963989,6.087189435958862,6.330201864242554,6.644695043563843,6.604355812072754,6.795301198959351,6.6664838790893555,6.587522029876709,9.538767337799072,9.38809847831726
17,5.75103497505188,6.18147349357605,6.302289247512817,6.450160264968872,6.214727163314819,6.6136908531188965,6.052435398101807,6.838289737701416,6.629993200302124,6.868386745452881,6.602658748626709,6.532284498214722,6.729843854904175,6.5393455028533936,6.5754218101501465,9.552152872085571,9.269928216934204
18,5.865177869796753,6.237120151519775,6.255135536193848,6.441024303436279,6.186712265014648,6.800817012786865,6.170678615570068,6.724306344985962,6.887000322341919,6.488380670547485,6.570493698120117,6.600634813308716,6.701410531997681,6.534118890762329,6.584253787994385,9.559418201446533,8.698303461074829
19,5.190754413604736,5.393596887588501,5.503851413726807,5.674781322479248,5.433419227600098,5.816460371017456,5.280205249786377,5.74162483215332,5.762370586395264,5.753869533538818,5.744227886199951,5.756319284439087,5.868108034133911,5.764283180236816,5.764739036560059,8.36136245727539,8.08937668800354
20,5.707057476043701,6.18829345703125,6.309644937515259,6.470094442367554,6.229052543640137,6.601923227310181,6.040936708450317,6.824499130249023,6.627238512039185,6.866310119628906,6.597547769546509,6.529507637023926,6.7210845947265625,6.5510413646698,6.5826826095581055,9.51109266281128,9.24845814704895
21,5.141490936279297,5.420787811279297,5.526134490966797,5.700380802154541,5.433192253112793,5.774691820144653,5.268961191177368,5.73899245262146,5.730173587799072,5.731609106063843,5.763341903686523,5.7440876960754395,5.879651784896851,5.769464492797852,5.77462363243103,8.275387287139893,8.11768651008606
22,5.1924169063568115,5.462947845458984,5.571003675460815,5.7601518630981445,5.491431474685669,5.890298128128052,5.324583053588867,5.83818793296814,5.84653639793396,5.8448498249053955,5.8867714405059814,5.852583169937134,5.848483324050903,5.852197647094727,6.005427837371826,8.496949911117554,8.210410833358765
23,5.85627818107605,6.197146654129028,6.276738405227661,6.421465873718262,6.147894859313965,6.624139070510864,6.057368993759155,6.604386806488037,6.6141345500946045,6.601468801498413,6.639540195465088,6.554256200790405,6.832630634307861,7.091227293014526,7.2316601276397705,10.572904109954834,10.314181089401245
24,5.683992862701416,6.146466493606567,6.272655248641968,6.411039590835571,6.177654027938843,6.548896551132202,5.986822843551636,6.7674946784973145,6.564358711242676,6.784071683883667,6.5584046840667725,6.451232433319092,6.629684925079346,6.471390008926392,6.455310821533203,9.349126815795898,9.193783044815063
25,5.205309629440308,5.4263832569122314,5.534135580062866,5.702860355377197,5.466197490692139,5.832160472869873,5.3087522983551025,5.782814025878906,5.799425363540649,5.774601936340332,5.799128532409668,5.771198987960815,5.926863670349121,5.809046268463135,5.8117218017578125,8.384609460830688,8.161487579345703
26,5.809352159500122,6.13789701461792,6.226871728897095,6.3677051067352295,6.09946608543396,6.555776119232178,6.04526424407959,6.565869092941284,6.556448936462402,6.540015935897827,6.5758466720581055,6.515199661254883,6.601627588272095,6.976353168487549,7.323245286941528,10.322239398956299,10.278432607650757
27,5.651973009109497,5.807719945907593,5.809438467025757,5.89025616645813,5.6550352573394775,5.835499286651611,6.412784576416016,6.994563579559326,6.980701923370361,6.992605686187744,6.97576642036438,6.951143741607666,7.091374397277832,7.038682699203491,6.96686577796936,9.796109676361084,9.855085372924805
28,5.872200965881348,6.141264200210571,6.3876872062683105,6.662639617919922,6.196857690811157,6.240191221237183,5.635251522064209,6.221296787261963,6.104822158813477,6.3873984813690186,6.681682348251343,6.668704986572266,6.848422527313232,6.716926336288452,6.631719589233398,9.58515739440918,9.429350137710571
29,6.461321830749512,6.967187881469727,7.179781675338745,7.328627824783325,6.921299695968628,6.883917331695557,6.346099376678467,6.863393306732178,7.086921691894531,7.173223495483398,7.065821886062622,7.089906692504883,7.268311023712158,7.17170524597168,7.161036252975464,10.022654294967651,10.364402055740356
30,6.512546062469482,6.906373977661133,7.074622631072998,6.983987808227539,6.4885547161102295,6.932442665100098,6.3586626052856445,7.166321039199829,7.158440828323364,7.056765556335449,7.11576509475708,7.176837205886841,7.330127477645874,7.225166082382202,7.227386474609375,10.422031164169312,10.025350570678711
