Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[76.0],[20.0],[43.0],[82.0],[106.0],[199.0],[49.0],[16.0],[2.0],[125.0],[82.0],[301.0],[2.0],[288.0],[110.0],[147.0],[182.0],[111.0],[19.0],[103.0],[98.0],[132.0],[196.0],[280.0],[146.0]
1,[89.0],[80.0],[6.0],[57.0],[42.0],[111.0],[71.0],[64.0],[194.0],[90.0],[200.0],[22.0],[20.0],[99.0],[58.0],[91.0],[280.0],[22.0],[69.0],[55.0],[26.0],[21.0],[77.0],[216.0],[304.0]
2,[24.0],[209.0],[67.0],[280.0],[299.0],[98.0],[120.0],[96.0],[111.0],[55.0],[7.0],[13.0],[305.0],[89.0],[0.0],[57.0],[85.0],[196.0],[259.0],[302.0],[111.0],[56.0],[195.0],[17.0],[52.0]
3,[5.0],[10.0],[76.0],[209.0],[71.0],[8.0],[97.0],[74.0],[94.0],[10.0],[210.0],[0.0],[58.0],[9.0],[24.0],[280.0],[98.0],[67.0],[211.0],[42.0],[182.0],[98.0],[98.0],[0.0],[57.0]
4,[272.0],[210.0],[55.0],[55.0],[55.0],[195.0],[197.0],[48.0],[125.0],[294.0],[293.0],[182.0],[200.0],[70.0],[51.0],[307.0],[275.0],[98.0],[98.0],[10.0],[55.0],[196.0],[114.0],[89.0],[97.0]
5,[69.0],[286.0],[125.0],[307.0],[3.0],[153.0],[13.0],[196.0],[287.0],[207.0],[307.0],[56.0],[47.0],[205.0],[125.0],[98.0],[201.0],[84.0],[112.0],[72.0],[6.0],[306.0],[207.0],[199.0],[125.0]
6,[293.0],[307.0],[98.0],[98.0],[69.0],[112.0],[223.0],[106.0],[202.0],[126.0],[280.0],[280.0],[293.0],[272.0],[84.0],[293.0],[111.0],[9.0],[280.0],[56.0],[45.0],[206.0],[111.0],[46.0],[10.0]
7,[280.0],[100.0],[287.0],[112.0],[223.0],[209.0],[280.0],[294.0],[56.0],[287.0],[41.0],[69.0],[11.0],[42.0],[307.0],[45.0],[44.0],[209.0],[207.0],[0.0],[153.0],[0.0],[56.0],[10.0],[42.0]
8,[56.0],[250.0],[112.0],[210.0],[13.0],[69.0],[293.0],[112.0],[46.0],[115.0],[125.0],[195.0],[115.0],[55.0],[182.0],[14.0],[237.0],[47.0],[168.0],[287.0],[223.0],[111.0],[125.0],[293.0],[223.0]
9,[223.0],[279.0],[187.0],[91.0],[286.0],[56.0],[185.0],[182.0],[11.0],[239.0],[70.0],[293.0],[216.0],[167.0],[10.0],[111.0],[172.0],[0.0],[293.0],[187.0],[196.0],[83.0],[55.0],[83.0],[14.0]
10,[159.0],[195.0],[178.0],[125.0],[191.0],[224.0],[175.0],[27.0],[223.0],[266.0],[97.0],[218.0],[100.0],[0.0],[223.0],[55.0],[307.0],[97.0],[108.0],[69.0],[14.0],[280.0],[210.0],[101.0],[84.0]
11,[179.0],[69.0],[223.0],[199.0],[56.0],[182.0],[84.0],[84.0],[101.0],[234.0],[209.0],[178.0],[69.0],[111.0],[115.0],[265.0],[112.0],[293.0],[56.0],[41.0],[192.0],[67.0],[67.0],[209.0],[115.0]
12,[210.0],[234.0],[56.0],[45.0],[14.0],[28.0],[83.0],[307.0],[115.0],[56.0],[181.0],[41.0],[249.0],[83.0],[100.0],[216.0],[192.0],[177.0],[122.0],[97.0],[236.0],[182.0],[185.0],[70.0],[68.0]
13,[13.0],[112.0],[28.0],[290.0],[83.0],[241.0],[195.0],[210.0],[182.0],[262.0],[294.0],[237.0],[209.0],[178.0],[97.0],[68.0],[294.0],[83.0],[154.0],[181.0],[28.0],[41.0],[223.0],[55.0],[195.0]
14,[41.0],[223.0],[210.0],[68.0],[28.0],[269.0],[14.0],[181.0],[67.0],[195.0],[222.0],[196.0],[294.0],[234.0],[195.0],[28.0],[290.0],[56.0],[71.0],[83.0],[269.0],[295.0],[0.0],[41.0],[291.0]
15,[14.0],[35.0],[306.0],[70.0],[211.0],[0.0],[98.0],[98.0],[28.0],[41.0],[251.0],[167.0],[182.0],[196.0],[293.0],[296.0],[27.0],[306.0],[182.0],[111.0],[210.0],[223.0],[280.0],[56.0],[210.0]
16,[28.0],[140.0],[252.0],[194.0],[182.0],[84.0],[211.0],[280.0],[55.0],[305.0],[182.0],[28.0],[55.0],[262.0],[42.0],[168.0],[97.0],[55.0],[241.0],[279.0],[307.0],[167.0],[33.0],[27.0],[181.0]
17,[131.0],[265.0],[13.0],[180.0],[98.0],[55.0],[145.0],[251.0],[27.0],[153.0],[0.0],[151.0],[131.0],[41.0],[69.0],[252.0],[0.0],[139.0],[269.0],[28.0],[131.0],[55.0],[181.0],[154.0],[98.0]
18,[112.0],[70.0],[149.0],[296.0],[41.0],[130.0],[112.0],[41.0],[210.0],[111.0],[28.0],[7.0],[265.0],[307.0],[296.0],[196.0],[134.0],[238.0],[167.0],[210.0],[13.0],[147.0],[279.0],[28.0],[168.0]
19,[150.0],[150.0],[41.0],[222.0],[162.0],[237.0],[128.0],[168.0],[266.0],[28.0],[27.0],[42.0],[150.0],[28.0],[211.0],[181.0],[209.0],[149.0],[223.0],[252.0],[56.0],[154.0],[251.0],[112.0],[294.0]
20,[168.0],[136.0],[130.0],[167.0],[209.0],[41.0],[7.0],[139.0],[41.0],[143.0],[224.0],[111.0],[224.0],[210.0],[83.0],[41.0],[146.0],[129.0],[129.0],[224.0],[41.0],[28.0],[237.0],[140.0],[279.0]
21,[55.0],[269.0],[195.0],[27.0],[84.0],[143.0],[42.0],[55.0],[84.0],[14.0],[252.0],[125.0],[279.0],[148.0],[14.0],[0.0],[83.0],[182.0],[143.0],[195.0],[143.0],[125.0],[266.0],[252.0],[251.0]
22,[307.0],[154.0],[196.0],[237.0],[232.0],[178.0],[279.0],[83.0],[83.0],[136.0],[55.0],[14.0],[239.0],[195.0],[251.0],[136.0],[224.0],[28.0],[42.0],[167.0],[83.0],[265.0],[238.0],[182.0],[266.0]
