Iteration,Sim_0,Sim_1,Sim_2
0,[83.0],[84.0],[41.0]
1,[237.0],[140.0],[224.0]
2,[140.0],[20.0],[280.0]
3,[293.0],[28.0],[261.0]
4,[27.0],[169.0],[26.0]
5,[223.0],[234.0],[294.0]
6,[42.0],[23.0],[168.0]
7,[80.0],[91.0],[37.0]
8,[165.0],[196.0],[223.0]
9,[95.0],[279.0],[239.0]
10,[224.0],[195.0],[122.0]
11,[234.0],[277.0],[162.0]
12,[238.0],[181.0],[264.0]
13,[178.0],[193.0],[221.0]
14,[260.0],[69.0],[179.0]
15,[25.0],[155.0],[207.0]
16,[122.0],[14.0],[126.0]
17,[110.0],[56.0],[111.0]
18,[69.0],[25.0],[71.0]
19,[276.0],[147.0],[14.0]
20,[249.0],[167.0],[39.0]
21,[281.0],[39.0],[53.0]
22,[208.0],[252.0],[266.0]
23,[266.0],[82.0],[65.0]
24,[221.0],[105.0],[125.0]
25,[290.0],[109.0],[276.0]
26,[70.0],[209.0],[42.0]
27,[139.0],[208.0],[22.0]
28,[82.0],[216.0],[194.0]
29,[138.0],[67.0],[109.0]
30,[191.0],[42.0],[137.0]
31,[55.0],[166.0],[56.0]
32,[210.0],[50.0],[237.0]
33,[56.0],[151.0],[124.0]
34,[54.0],[112.0],[278.0]
35,[0.0],[180.0],[116.0]
36,[236.0],[53.0],[98.0]
37,[168.0],[266.0],[97.0]
38,[145.0],[7.0],[252.0]
39,[47.0],[294.0],[67.0]
40,[196.0],[111.0],[6.0]
41,[68.0],[307.0],[262.0]
42,[63.0],[182.0],[112.0]
43,[107.0],[153.0],[24.0]
44,[124.0],[133.0],[88.0]
45,[279.0],[93.0],[55.0]
46,[277.0],[173.0],[83.0]
47,[262.0],[11.0],[69.0]
48,[117.0],[0.0],[28.0]
49,[97.0],[159.0],[10.0]
50,[167.0],[217.0],[91.0]
51,[90.0],[204.0],[203.0]
52,[251.0],[289.0],[293.0]
53,[64.0],[225.0],[303.0]
54,[98.0],[223.0],[140.0]
55,[136.0],[205.0],[145.0]
56,[206.0],[125.0],[96.0]
57,[307.0],[32.0],[218.0]
58,[306.0],[126.0],[263.0]
59,[263.0],[306.0],[235.0]
60,[85.0],[290.0],[154.0]
61,[8.0],[248.0],[298.0]
62,[189.0],[94.0],[201.0]
63,[14.0],[203.0],[161.0]
64,[218.0],[235.0],[40.0]
65,[250.0],[75.0],[35.0]
66,[12.0],[110.0],[110.0]
67,[96.0],[68.0],[176.0]
68,[79.0],[259.0],[50.0]
69,[173.0],[274.0],[188.0]
70,[112.0],[218.0],[78.0]
71,[258.0],[137.0],[25.0]
72,[137.0],[120.0],[106.0]
73,[161.0],[148.0],[118.0]
74,[193.0],[78.0],[193.0]
75,[155.0],[207.0],[277.0]
76,[272.0],[76.0],[36.0]
77,[207.0],[40.0],[134.0]
78,[108.0],[36.0],[92.0]
79,[92.0],[189.0],[74.0]
80,[217.0],[261.0],[231.0]
81,[126.0],[165.0],[64.0]
82,[6.0],[62.0],[295.0]
83,[246.0],[152.0],[123.0]
84,[123.0],[302.0],[77.0]
85,[289.0],[240.0],[281.0]
86,[151.0],[77.0],[146.0]
87,[78.0],[265.0],[219.0]
88,[81.0],[54.0],[15.0]
89,[166.0],[99.0],[54.0]
90,[48.0],[49.0],[180.0]
91,[160.0],[43.0],[190.0]
92,[146.0],[85.0],[242.0]
93,[169.0],[35.0],[63.0]
94,[211.0],[29.0],[99.0]
95,[21.0],[174.0],[20.0]
96,[120.0],[179.0],[160.0]
97,[235.0],[141.0],[8.0]
98,[259.0],[118.0],[119.0]
99,[43.0],[295.0],[269.0]
100,[288.0],[16.0],[82.0]
101,[231.0],[88.0],[225.0]
102,[284.0],[199.0],[7.0]
103,[71.0],[1.0],[57.0]
104,[26.0],[272.0],[129.0]
105,[240.0],[275.0],[68.0]
106,[255.0],[267.0],[172.0]
107,[177.0],[131.0],[141.0]
108,[300.0],[95.0],[132.0]
109,[295.0],[183.0],[1.0]
110,[227.0],[291.0],[288.0]
111,[119.0],[6.0],[273.0]
112,[184.0],[115.0],[191.0]
113,[62.0],[175.0],[170.0]
114,[51.0],[215.0],[43.0]
115,[31.0],[113.0],[275.0]
116,[267.0],[92.0],[147.0]
117,[187.0],[57.0],[189.0]
118,[49.0],[187.0],[301.0]
119,[175.0],[197.0],[104.0]
120,[1.0],[163.0],[21.0]
121,[147.0],[51.0],[267.0]
122,[34.0],[278.0],[34.0]
123,[23.0],[127.0],[86.0]
124,[203.0],[222.0],[23.0]
125,[197.0],[201.0],[149.0]
126,[257.0],[177.0],[121.0]
127,[148.0],[170.0],[113.0]
128,[149.0],[146.0],[48.0]
129,[143.0],[149.0],[155.0]
