Iteration,Sim_0,Sim_1,Sim_2
0,[7.0],[3.0],[6.0]
1,[66.0],[14.0],[93.0]
2,[44.0],[67.0],[7.0]
3,[34.0],[65.0],[34.0]
4,[55.0],[1.0],[1.0]
5,[18.0],[34.0],[55.0]
6,[71.0],[18.0],[92.0]
7,[14.0],[10.0],[37.0]
8,[73.0],[53.0],[75.0]
9,[21.0],[20.0],[26.0]
10,[41.0],[79.0],[40.0]
11,[76.0],[35.0],[96.0]
12,[15.0],[32.0],[8.0]
13,[11.0],[40.0],[76.0]
14,[56.0],[101.0],[100.0]
15,[86.0],[59.0],[51.0]
16,[45.0],[15.0],[86.0]
17,[101.0],[21.0],[77.0]
18,[100.0],[69.0],[42.0]
19,[6.0],[4.0],[53.0]
20,[2.0],[42.0],[101.0]
21,[4.0],[23.0],[87.0]
22,[19.0],[52.0],[68.0]
23,[23.0],[89.0],[73.0]
24,[77.0],[47.0],[41.0]
25,[68.0],[45.0],[91.0]
26,[81.0],[70.0],[17.0]
27,[83.0],[96.0],[15.0]
28,[82.0],[81.0],[12.0]
29,[26.0],[11.0],[47.0]
30,[49.0],[6.0],[22.0]
31,[1.0],[27.0],[57.0]
32,[75.0],[19.0],[5.0]
33,[28.0],[91.0],[58.0]
34,[60.0],[84.0],[9.0]
35,[96.0],[93.0],[48.0]
36,[42.0],[44.0],[63.0]
37,[22.0],[57.0],[69.0]
38,[52.0],[0.0],[18.0]
39,[70.0],[9.0],[90.0]
40,[10.0],[49.0],[88.0]
41,[93.0],[12.0],[46.0]
42,[8.0],[100.0],[84.0]
43,[0.0],[102.0],[50.0]
44,[99.0],[87.0],[99.0]
45,[64.0],[50.0],[62.0]
46,[29.0],[17.0],[43.0]
47,[57.0],[83.0],[83.0]
48,[84.0],[25.0],[36.0]
49,[12.0],[61.0],[98.0]
50,[90.0],[46.0],[102.0]
51,[63.0],[62.0],[82.0]
52,[59.0],[64.0],[74.0]
53,[16.0],[38.0],[64.0]
54,[30.0],[94.0],[60.0]
55,[72.0],[88.0],[49.0]
56,[33.0],[58.0],[31.0]
57,[20.0],[80.0],[94.0]
58,[43.0],[77.0],[65.0]
59,[88.0],[5.0],[70.0]
60,[53.0],[29.0],[71.0]
61,[50.0],[74.0],[85.0]
62,[61.0],[78.0],[89.0]
63,[78.0],[90.0],[25.0]
64,[95.0],[92.0],[39.0]
65,[74.0],[39.0],[20.0]
