Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,705,386,1182,562,148,1037,417,1361,915,1504,705,163,939,1523,689,1042,799,1476,1387,1123,1207,740,1196,445,379,1093,1300,1326,264,491,502,465,1222,973,843,797,485,946,495,49,1068,620,579,1596,43,1461,991,190,108,1461,106,432,1338,402,667,140,1452,927,1121,919,587,1447,387,1441,1071,929,763,124,843,1009,1008,304,1285,1335,271,705,1224,904,500,960,73,1228,1509,1536,1041,923,1589,1581,577,1189,1141,1369,910,728,416,1079,1598,1507,904,364
1,757,917,405,823,708,1332,315,984,659,596,314,1469,498,451,686,1221,544,367,59,1396,946,1398,543,838,1458,1483,1202,259,1239,1014,40,1028,710,798,229,248,1072,1293,26,1548,946,667,1497,279,692,1137,606,611,1309,360,933,990,1400,1104,318,546,447,1238,500,25,1269,605,1512,347,725,1073,1597,1081,27,1417,198,471,865,1370,662,1077,1578,730,927,370,1115,1128,1410,51,897,1187,1480,764,1530,782,44,71,29,350,1047,475,829,1419,221,306
2,1139,1353,216,1137,43,1268,1414,1480,300,1505,1420,689,606,939,225,826,1096,71,1245,87,136,827,845,951,803,241,1305,962,1480,471,490,9,1247,1165,1462,601,961,1135,1357,1453,1337,458,918,615,1527,204,330,1154,660,1303,1420,1325,912,286,319,900,840,6,125,658,234,480,62,241,587,917,1493,1101,253,1144,1202,1075,483,1465,206,1436,1134,554,1277,465,443,1397,841,1566,1543,28,978,1550,984,275,168,900,892,999,927,172,1374,850,1142,342
3,93,2,217,685,1548,708,1507,421,1036,954,600,263,152,113,1194,393,642,1274,176,1482,208,928,1569,199,320,94,1414,1276,569,1049,256,1258,1115,927,942,1565,941,1588,1099,1030,951,115,311,1364,391,1543,1576,1415,127,1315,88,503,1504,435,1155,637,202,236,577,338,1135,1446,727,1320,607,1203,552,1018,1319,975,675,1132,1187,356,832,456,61,366,1180,783,55,384,1135,33,468,862,1295,989,1169,1148,765,1355,1580,571,749,1207,547,227,138,266
4,97,791,1333,71,78,1271,224,505,1142,590,1496,425,453,1372,703,1164,747,95,449,330,1446,787,813,1279,855,1377,508,106,1333,1512,1097,997,832,587,638,1554,1546,618,513,665,823,828,1175,629,366,670,419,20,850,813,1376,595,1321,107,685,1260,753,208,1482,814,645,1143,344,571,433,1017,1142,469,912,97,131,1135,250,22,821,1488,224,345,1160,243,842,1098,390,934,1575,572,1159,484,913,626,1514,1505,809,794,17,569,1392,4,1400,162
5,1445,514,695,775,115,617,1572,887,1359,381,1094,1155,1516,298,639,1210,976,1282,55,1238,787,172,1422,895,1438,723,749,958,398,573,1032,601,439,388,1268,669,938,727,1305,39,109,1109,120,1006,693,624,393,1007,504,473,1249,320,772,1504,605,1440,511,348,862,1450,913,917,575,436,674,436,992,889,973,485,440,1197,907,87,16,360,572,535,765,407,1555,459,1531,762,324,549,748,479,28,1371,727,546,375,417,221,200,54,1231,1055,1558
6,414,1513,1425,720,1428,1542,1201,721,1236,1082,599,1454,1431,1104,1026,1328,411,1157,1278,466,952,1141,61,224,878,920,129,628,577,1232,1520,510,293,1456,922,1230,83,465,318,347,1082,48,1002,1365,356,411,549,352,260,1046,1208,1091,415,1098,920,688,610,1314,601,604,738,1017,853,1558,1287,237,1186,708,714,769,1260,1093,1258,1019,648,1173,1545,1422,940,375,626,418,1341,1360,1055,878,1064,904,782,334,161,1456,634,1276,943,184,673,123,1072,1464
7,356,71,941,1083,116,1033,892,1064,1560,1436,277,1169,192,1506,881,831,1340,1302,919,121,121,167,102,849,1211,1393,144,1254,15,668,733,1095,812,1147,748,1514,1257,1025,848,1484,393,1384,751,117,839,740,490,353,837,1571,1033,384,381,1426,1441,621,700,454,23,733,264,875,1578,577,360,845,1428,1262,307,1382,877,1143,928,233,255,1309,1376,1209,1175,1494,1292,473,566,737,278,634,1533,491,501,1280,674,1274,1297,1106,630,744,1371,356,85,834
8,17,708,1476,1047,541,17,638,696,240,911,1033,763,140,1567,141,500,658,1594,1409,1044,662,1465,195,1058,657,361,960,37,377,746,1180,252,986,227,153,453,1155,1128,1386,237,818,851,899,436,362,1032,156,343,179,859,278,57,452,805,975,850,1443,966,737,1276,578,659,451,1149,1099,560,393,576,661,774,282,810,503,654,1212,1031,819,1372,255,3,1330,49,66,1247,752,933,1359,502,156,529,121,1221,685,1466,85,1273,37,1153,1012,1354
9,1205,65,160,848,696,1336,453,1122,236,710,1383,898,87,1373,1561,662,403,229,1221,1095,178,736,57,1050,307,864,847,1114,580,1382,1147,1427,1274,582,866,1571,1066,594,335,31,456,136,84,896,321,73,777,1444,1308,905,1585,207,635,570,1573,583,1144,944,1282,28,242,1021,22,918,466,1109,1242,1133,1103,184,1493,123,924,1146,1320,1306,1030,919,886,818,1464,278,1505,1554,1337,1385,1409,1382,642,288,72,1136,953,1125,1223,1472,823,145,1009,308
10,1082,603,1101,691,310,1344,908,632,202,907,763,919,1283,973,1048,1213,442,70,1092,1130,1347,927,1225,136,16,808,715,161,163,327,1393,88,1185,916,742,324,893,148,1389,1512,360,986,96,1083,323,1424,1156,773,1223,985,404,1387,1345,452,564,332,368,347,900,826,1198,789,437,56,299,207,924,206,1146,1351,407,34,86,1259,1595,1231,1275,211,1341,522,1016,432,609,1320,406,1460,42,356,869,338,99,613,1001,1323,667,959,541,1425,54,1043
11,1291,1471,1126,584,105,1047,1206,1103,932,18,835,1164,1056,411,1317,421,1396,132,1192,1294,1381,1317,658,1489,58,1570,905,917,607,406,1344,892,936,1088,1552,1109,1009,835,618,950,709,133,571,1340,1416,1142,830,118,949,7,439,663,581,679,909,1293,48,1476,316,610,837,256,988,501,1558,1176,1247,1404,51,725,243,510,151,1442,1280,837,143,502,143,211,165,1283,364,1576,1414,528,282,960,494,1239,399,916,27,534,156,1004,968,343,1190,936
