Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,376,187,318,441,577,960,112,721,307,610,358,549,362,849,772,407,834,87,954,161,234,451,316,670,263,733,806,991,260,714,293,895,160,407,879,141,347,290,238,674,642,663,715,42,946,71,121,264,317,650,751,583,9,733,361,901,790,948,469,388,393,347,336,347,958,975,762,381,521,48,651,952,356,992,402,17,404,601,207,577,904,432,723,22,626,40,185,720,61,763,920,341,622,663,237,869,82,863,580,31
1,31,657,848,736,125,847,865,40,661,700,774,490,678,34,415,947,671,233,748,921,965,675,861,588,360,985,71,651,837,659,649,831,986,375,282,537,460,454,576,913,343,1,199,893,940,252,614,578,566,668,994,673,278,252,436,453,843,197,407,432,818,334,737,37,743,549,255,58,352,703,453,121,17,229,805,903,116,23,123,810,596,844,9,547,839,509,348,59,102,821,369,117,482,536,845,804,904,384,163,278
2,48,307,362,927,918,645,574,696,858,419,989,156,321,966,381,192,330,654,153,756,928,634,715,27,75,156,708,744,179,789,812,500,77,470,207,24,237,966,109,121,420,104,667,689,151,403,20,242,66,746,84,332,561,28,734,908,404,68,601,123,456,256,223,823,740,595,188,412,819,360,547,605,181,70,570,312,541,737,356,123,491,963,359,859,268,610,615,23,195,898,361,436,543,668,560,494,442,57,725,941
3,85,16,335,664,763,715,613,98,79,120,184,777,323,26,452,140,308,122,756,931,503,22,658,649,466,123,65,249,284,256,986,662,723,3,837,293,31,832,206,72,770,594,156,451,255,88,700,174,481,358,96,269,404,826,917,882,393,722,243,227,599,529,530,957,8,564,771,911,902,851,324,662,58,132,452,320,696,258,129,34,502,259,707,905,705,335,919,848,57,919,864,896,982,240,85,797,101,821,957,752
4,819,58,365,293,56,905,916,632,717,368,327,132,392,960,635,87,19,235,866,917,924,437,403,680,299,369,985,448,199,968,250,189,102,818,734,752,488,944,380,99,773,728,384,971,886,958,71,945,609,761,899,951,439,663,528,756,218,744,321,582,360,288,296,541,73,997,296,710,6,136,85,178,267,990,679,737,310,900,145,510,358,642,763,985,306,385,211,691,201,140,808,59,349,236,609,116,299,207,607,313
5,54,277,618,235,950,767,362,79,122,48,725,830,784,136,321,259,936,418,742,910,86,988,442,99,534,320,603,959,949,952,161,763,961,522,869,824,950,347,501,399,958,148,887,75,317,892,106,702,628,327,571,337,602,610,709,182,924,713,80,916,897,338,552,893,400,563,996,907,251,986,758,323,115,289,323,23,105,316,401,175,356,241,835,7,440,42,579,584,658,500,546,316,973,202,207,861,534,363,544,406
6,166,817,980,980,501,72,433,406,51,772,296,201,394,465,581,32,354,192,528,25,151,251,372,796,584,527,447,33,691,643,936,421,432,211,74,543,969,452,312,394,118,835,645,942,143,310,270,837,364,406,173,91,619,894,969,501,223,168,994,64,709,215,55,968,118,708,256,18,143,133,873,357,905,109,671,783,40,467,343,16,960,253,192,453,165,282,502,264,578,813,509,792,411,932,152,210,877,663,892,390
7,119,255,227,596,638,908,975,5,631,824,575,137,942,19,121,278,757,399,74,791,525,844,552,428,493,996,180,951,105,249,926,885,774,934,46,840,40,337,857,582,531,74,908,824,474,901,860,120,422,268,753,80,969,16,736,424,271,185,908,41,439,139,11,295,701,909,807,835,699,361,490,192,593,907,626,898,919,53,192,930,812,390,629,714,7,384,537,327,728,941,236,114,999,423,388,874,132,205,643,143
8,998,320,713,607,348,235,288,726,828,207,117,859,146,368,238,517,622,484,176,544,779,363,837,864,527,125,554,271,419,664,610,797,318,188,787,696,742,563,753,65,297,189,757,705,318,555,435,275,986,344,419,703,203,599,485,685,474,35,931,105,174,116,941,666,206,160,535,42,333,340,122,338,24,480,669,325,470,843,899,530,132,667,559,821,219,391,196,902,391,421,371,214,450,498,347,686,286,428,414,241
9,452,836,906,727,382,37,984,975,20,969,814,926,918,248,681,257,605,853,338,803,668,911,189,148,168,265,474,713,90,874,645,537,821,175,472,19,595,512,938,205,406,343,456,835,132,727,102,298,84,619,788,921,54,722,57,426,355,641,960,393,122,44,107,461,867,362,82,122,486,451,417,699,530,688,859,111,709,417,418,611,885,843,684,835,326,673,175,135,20,805,981,334,131,831,421,178,915,177,971,623
