Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,393,975,650,260,264,670,237,806,381,293,751,48,17,901,991,580,187,71,9,721,720,849,376,626,121,404,402,407,347,307,234,960,895,362,601,610,834,674,869,952,87,583,549,361,356,317,263,341,290,622,82,663,469,316,948,451,160,714,112,733,207,521,358,958,954,863,577,772,879,31,920,651,904,388,61,946,318,441,141,577,733,185,42,763,992,432,347,642,22,238,336,790,347,407,723,663,762,715,161,40
1,818,549,668,837,578,588,845,71,58,649,994,703,903,453,651,163,657,252,278,40,59,34,31,839,614,116,805,947,460,661,965,847,831,678,23,700,671,913,804,121,233,673,490,436,17,566,360,117,454,482,904,536,407,861,197,675,986,659,865,252,123,352,774,743,748,384,125,415,282,278,369,453,596,432,102,940,848,736,537,810,985,348,893,821,229,844,37,343,547,576,737,843,334,375,9,1,255,199,921,509
2,456,595,746,179,242,27,560,708,412,812,84,360,312,908,744,725,307,403,561,696,23,966,48,268,20,541,570,192,237,858,928,645,500,321,737,419,330,121,494,605,654,332,156,734,181,66,75,436,966,543,442,668,601,715,68,634,77,789,574,28,356,819,989,740,153,57,918,381,207,941,361,547,491,123,195,151,362,927,24,123,156,615,689,898,70,963,823,420,859,109,223,404,256,470,359,104,188,667,756,610
3,599,564,358,284,174,649,85,65,911,986,96,851,320,882,249,957,16,88,404,98,848,26,85,705,700,696,452,140,31,79,503,715,662,323,258,120,308,72,797,662,122,269,777,917,58,481,466,896,832,982,101,240,243,658,722,22,723,256,613,826,129,902,184,8,756,821,763,452,837,752,864,324,502,227,57,255,335,664,293,34,123,919,451,919,132,259,957,770,905,206,530,393,529,3,707,594,771,156,931,335
4,360,997,761,199,945,680,609,985,710,250,899,136,737,756,448,607,58,958,439,632,691,960,819,306,71,310,679,87,488,717,924,905,189,392,900,368,19,99,116,178,235,951,132,528,267,609,299,59,944,349,299,236,321,403,744,437,102,968,916,663,145,6,327,73,866,207,56,635,734,313,808,85,358,582,201,886,365,293,752,510,369,211,971,140,990,642,541,773,985,380,296,218,288,818,763,728,296,384,917,385
5,897,563,327,949,702,99,207,603,907,161,571,986,23,182,959,544,277,892,602,79,584,136,54,440,106,105,323,259,950,122,86,767,763,784,316,48,936,399,861,323,418,337,830,709,115,628,534,316,347,973,534,202,80,442,713,988,961,952,362,610,401,251,725,400,742,363,950,321,869,406,546,758,356,916,658,317,618,235,824,175,320,579,75,500,289,241,893,958,7,501,552,924,338,522,835,148,996,887,910,42
6,709,708,406,691,837,796,152,447,18,936,173,133,783,501,33,892,817,310,619,406,264,465,166,165,270,40,671,32,969,51,151,72,421,394,467,772,354,394,210,357,192,91,201,969,905,364,584,792,452,411,877,932,994,372,168,251,432,643,433,894,343,143,296,118,528,663,501,581,74,390,509,873,960,64,578,143,980,980,543,16,527,502,942,813,109,253,968,118,453,312,55,223,215,211,192,835,256,645,25,282
7,439,909,268,105,120,428,388,180,835,926,753,361,898,424,951,643,255,901,969,5,327,19,119,7,860,919,626,278,40,631,525,908,885,942,53,824,757,582,874,192,399,80,137,736,593,422,493,114,337,999,132,423,908,552,185,844,774,249,975,16,192,699,575,701,74,205,638,121,46,143,236,490,812,41,728,474,227,596,840,930,996,537,824,941,907,390,295,531,714,857,11,271,139,934,629,74,807,908,791,384
8,174,160,344,419,275,864,347,554,42,610,419,340,325,685,271,414,320,555,203,726,902,368,998,219,435,470,669,517,742,828,779,235,797,146,843,207,622,65,686,338,484,703,859,485,24,986,527,214,563,450,286,498,931,837,35,363,318,664,288,599,899,333,117,206,176,428,348,238,787,241,371,122,132,105,391,318,713,607,696,530,125,196,705,421,480,667,666,297,821,753,941,474,116,188,559,189,535,757,544,391
9,122,362,619,90,298,148,421,474,122,645,788,451,111,426,713,971,836,727,54,975,135,248,452,326,102,709,859,257,595,20,668,37,537,918,417,969,605,205,178,699,853,921,926,57,530,84,168,334,512,131,915,831,960,189,641,911,821,874,984,722,418,486,814,867,338,177,382,681,472,623,981,417,885,393,20,132,906,727,19,611,265,175,835,805,688,843,461,406,835,938,107,355,44,175,684,343,82,456,803,673
