Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,11.425694942474365,12.261460542678833,12.569176435470581,13.57931637763977,12.167135953903198,16.520631790161133,11.497414588928223,14.727564334869385,14.575279474258423,14.675683975219727,14.530693769454956,14.660226821899414,14.368970155715942,14.030951261520386,14.044496297836304,19.322617292404175,17.938355207443237
1,9.812914609909058,10.606977224349976,12.079042434692383,12.711343765258789,11.630239963531494,15.385948657989502,10.969724893569946,13.325573682785034,13.781078815460205,12.953986406326294,12.962940216064453,13.924840927124023,13.13268494606018,14.173755407333374,13.412374019622803,19.385441541671753,19.740566730499268
2,10.747129917144775,11.620904445648193,11.951862573623657,13.23983120918274,11.28051471710205,14.672322988510132,10.58275032043457,13.686242580413818,13.30459976196289,13.592427968978882,13.065253734588623,13.312925577163696,13.495188474655151,13.607916116714478,13.803410530090332,19.710259199142456,17.4763503074646
3,9.781375169754028,10.407429456710815,10.7537362575531,11.524162769317627,10.203991651535034,14.086958169937134,9.935679912567139,12.73141074180603,12.152542114257812,12.317786693572998,12.34471583366394,12.253067255020142,12.454138278961182,12.324075698852539,12.274705410003662,16.698763132095337,15.21782374382019
4,10.924219846725464,11.76145625114441,12.108267068862915,13.392699956893921,11.3950035572052,14.645249605178833,10.709766149520874,13.816721200942993,13.540096044540405,13.629618167877197,13.203954458236694,13.491111040115356,13.577970504760742,13.799571752548218,14.0609712600708,19.781919956207275,17.618165731430054
5,11.383497714996338,11.605555772781372,11.380104303359985,11.951216459274292,11.485737085342407,15.752058506011963,11.58636474609375,14.238569736480713,14.251655101776123,14.677359104156494,14.061024904251099,14.172285318374634,14.133288145065308,14.122048139572144,14.00755786895752,18.90804696083069,17.501096963882446
6,11.406744480133057,12.30513620376587,12.553537845611572,13.434619426727295,12.105750560760498,16.486878871917725,11.55329442024231,14.669972658157349,14.562737464904785,14.640875339508057,14.284245491027832,14.518203020095825,14.365009069442749,13.916921138763428,13.890979528427124,19.121859788894653,17.978666305541992
7,9.858994483947754,10.329151391983032,10.655029535293579,11.123560905456543,10.235682249069214,13.134134769439697,9.962933540344238,11.464593887329102,11.35627293586731,11.385109424591064,11.408227920532227,11.398252248764038,11.373931884765625,11.370819091796875,11.366963863372803,17.14835500717163,15.223867416381836
8,12.540977954864502,13.260066270828247,13.647729873657227,14.15003776550293,12.869786262512207,16.79418921470642,12.52150559425354,15.561688661575317,15.434946775436401,15.164715051651001,15.377832651138306,15.281690120697021,15.441190004348755,15.407187223434448,15.220847129821777,20.420340061187744,19.168038368225098
9,10.76901626586914,11.44423532485962,11.82470154762268,13.121111631393433,11.379706382751465,13.969798803329468,10.809952974319458,13.04332447052002,13.231642007827759,13.079654932022095,13.16763162612915,13.340651035308838,13.387081146240234,13.279675722122192,13.813546657562256,19.325854778289795,18.192209720611572
10,12.048244714736938,13.106699228286743,13.286357402801514,14.368236303329468,12.926709175109863,16.61467695236206,12.539432287216187,15.284011602401733,15.118592739105225,15.233481168746948,15.058319568634033,14.775994777679443,14.805981159210205,14.780948638916016,14.453163146972656,18.62505054473877,18.496172666549683
11,9.936315536499023,10.622361898422241,10.889198541641235,11.50717830657959,10.495548009872437,13.253304243087769,10.125894784927368,12.074875831604004,11.886977195739746,11.901079177856445,11.94805645942688,11.914089679718018,11.824612379074097,11.951073408126831,11.963385343551636,16.296436071395874,15.561243534088135
12,11.332329750061035,11.615941524505615,11.380717039108276,11.939200401306152,11.476296424865723,15.740060806274414,11.579431533813477,14.175158500671387,14.20319414138794,14.623118877410889,14.027380466461182,14.11443829536438,14.049243927001953,14.056646347045898,13.992469549179077,18.905826330184937,17.50467610359192
13,9.906883239746094,10.49943494796753,10.824866771697998,11.527418375015259,10.29886794090271,14.47619080543518,10.04776906967163,12.724286794662476,12.667346000671387,12.567646026611328,12.490015506744385,12.491527318954468,12.560922861099243,12.449191570281982,12.495784282684326,17.094390630722046,15.322189807891846
14,9.847644805908203,10.404524326324463,10.743255853652954,11.3685462474823,10.252087116241455,13.716236352920532,9.97658896446228,12.321926832199097,12.173570156097412,12.144869565963745,12.084089994430542,12.197362184524536,12.174761056900024,12.151089191436768,12.172935962677002,16.320762157440186,15.224573373794556
15,10.903469324111938,11.740319013595581,12.097235441207886,13.34609317779541,11.34281849861145,15.266536474227905,10.7254319190979,13.784288167953491,13.518857717514038,13.599181175231934,13.1860933303833,13.46520185470581,13.558810472488403,13.757646322250366,14.058660507202148,19.71501636505127,17.553219079971313
16,12.410415172576904,13.285109281539917,13.69980788230896,14.344834566116333,12.762939929962158,17.7467622756958,12.479584217071533,16.306742906570435,16.06531524658203,15.98079514503479,16.101844549179077,15.98544716835022,15.98837924003601,15.902010440826416,15.697274446487427,21.142343282699585,18.73210835456848
