Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,1028,1008,620,1424,974,1191,1079,1182,740,1447,973,402,544,1207,542,79,843,986,796,745,342,1123,124,1216,1018,1280,1121,551,1009,1326,379,1497,1353,123,1335,1361,276,163,1110,7,1499,416,722,1189,139,495,180,472,137,923,728,929,1096,108,1283,1228,1465,904,778,1452,122,1104,1361,904,1444,402,241,705,733,1205,843,98,1300,1222,660,227,395,562,911,587,500,1068,772,1200,1061,831,770,979,823,1206,432,262,946,603,1387,1152,140,1498,919,445
1,689,198,667,932,1476,364,475,405,1398,605,798,271,491,946,1037,1423,27,386,927,43,577,1396,1081,459,472,705,500,705,1417,259,1458,279,73,190,1370,984,118,1469,148,1369,829,1047,402,782,456,26,1491,476,960,1187,350,1073,1187,1309,465,1128,304,730,1065,447,1042,1461,1404,221,502,1338,1285,1077,1441,264,106,1141,1202,710,1093,579,1196,823,1419,1269,927,946,910,525,991,1071,843,763,799,1461,990,971,1293,485,59,155,546,434,25,838
2,686,1202,458,281,367,306,172,216,827,480,1165,662,1014,136,1332,868,253,917,1238,692,984,87,1101,49,764,757,125,314,1144,962,803,615,1115,611,1465,1480,373,689,708,71,1374,927,1104,275,915,1357,1480,939,370,28,999,917,787,660,1028,1397,471,554,1041,840,1221,1137,124,1142,40,1400,865,1436,347,1239,933,44,1305,1247,1483,918,543,1137,850,234,1277,1337,29,155,606,725,229,1498,544,360,1325,667,1135,1072,1245,596,900,387,658,951
3,225,675,115,451,71,342,1207,217,928,1446,927,206,471,208,1268,417,1319,1353,6,391,1169,1482,1018,1453,989,1139,577,1420,975,1276,320,1364,443,1154,356,421,614,263,43,900,547,749,286,1148,659,1099,978,498,465,862,571,1203,1224,127,9,384,1075,366,897,202,826,204,1410,138,490,912,483,456,241,1480,1420,168,1414,1115,241,311,845,685,227,1135,1180,951,892,383,330,587,1462,552,1096,1303,503,318,1489,961,176,954,637,62,338,199
4,1194,131,828,939,1274,266,569,1333,787,1143,587,832,1049,1446,708,315,912,2,236,366,913,330,469,1030,484,93,1482,600,97,106,855,629,55,1415,22,505,797,425,78,1355,1392,17,435,626,300,513,1295,606,783,572,794,1017,1134,850,1258,1098,1132,345,468,753,393,670,841,1400,256,1321,1187,1488,1320,569,88,765,508,832,94,1175,813,71,4,645,1160,823,809,51,419,607,942,1142,642,1315,595,319,618,941,449,590,1260,727,814,1279
5,703,440,1109,113,95,162,200,695,172,917,388,821,573,787,1271,1414,973,791,208,693,28,1238,889,665,479,97,862,1094,485,958,1438,1006,842,20,87,887,248,1155,115,546,54,221,107,1371,1036,1305,1159,152,243,549,417,436,61,504,997,459,1135,535,324,511,1164,624,1135,1055,1097,772,250,360,571,1333,1376,727,749,439,1377,120,1422,775,1231,913,765,109,375,33,393,433,638,992,747,813,320,1155,727,938,55,381,1440,344,1450,895
6,639,1260,48,1372,1282,1464,184,1425,1141,1017,1456,16,1232,952,617,224,714,514,348,356,782,466,708,39,904,1445,601,599,769,628,878,1365,626,1007,1019,721,601,1454,1428,1456,673,943,1098,334,1142,318,748,453,407,878,1276,237,224,260,601,418,1197,1422,1055,610,1210,411,390,1072,1032,415,907,1173,436,398,1249,161,129,293,723,1002,61,720,123,738,940,1082,634,934,549,674,1268,1186,976,473,1091,685,465,83,1278,1082,688,575,604,224
7,1026,877,1384,298,1157,834,744,941,167,875,1147,648,668,121,1033,1201,307,71,1314,839,501,121,1262,347,491,414,23,277,1382,1254,1211,117,1292,352,233,1064,669,1169,116,1274,1371,630,1426,1280,1359,848,1064,1431,375,634,1106,845,572,837,510,473,1093,1209,278,700,1328,740,1341,85,733,381,1258,1309,577,577,1208,674,144,812,920,751,102,1083,356,264,1175,393,1297,762,490,1287,922,1428,411,1046,384,605,1025,1257,919,1436,621,853,733,849
8,881,282,851,1104,1302,1354,1273,1476,1465,659,227,255,746,662,17,892,661,708,454,362,156,1044,576,1484,502,356,737,1033,774,37,657,436,1330,353,654,696,1230,763,541,1221,37,85,805,529,1236,1386,1359,192,3,933,1466,560,1376,179,1095,49,1143,1372,752,1443,831,1032,566,1012,1180,452,928,1031,1149,15,1033,121,960,986,1393,899,195,1047,1153,578,255,818,685,1360,156,360,748,393,1340,859,57,920,1128,1155,1409,911,850,451,1276,1058
9,141,1493,136,1373,1496,308,1472,160,736,1021,582,1212,1382,178,1336,638,1103,65,966,321,642,1095,1133,237,1382,17,1282,1383,184,1114,307,896,1464,343,1146,1122,453,898,696,1136,823,1223,570,288,240,335,1409,140,818,1385,1125,1109,819,1308,252,278,810,919,1337,1144,500,73,66,1009,1147,635,503,1306,918,377,278,72,847,1274,361,84,57,848,145,242,886,456,953,737,777,1099,153,1242,658,905,207,1441,594,1066,1221,710,583,22,28,1050
10,1048,407,986,973,229,1043,959,1101,927,789,916,1320,327,1347,1344,453,1146,603,944,323,869,1130,206,31,356,1205,900,763,1351,161,16,1083,1016,1444,1259,632,324,919,310,613,541,667,452,338,236,1389,42,87,522,1460,1323,207,1030,1223,1427,432,123,211,406,368,662,1424,609,54,1393,1345,924,1231,56,580,404,99,715,1185,864,96,1225,691,1425,1198,1341,360,1001,1247,1156,466,866,924,403,985,1387,975,148,893,1092,907,332,437,826,136
11,1317,243,133,411,70,936,1004,1126,1317,256,1088,1497,406,1381,1047,908,51,1471,347,1416,494,1294,1404,950,960,1082,316,835,725,917,58,1340,165,773,1442,1103,1109,1164,105,916,968,156,679,1239,202,618,282,1283,211,528,534,1176,1275,949,88,1283,34,502,1414,48,1213,1142,364,1190,1344,581,86,837,501,163,439,399,905,936,808,571,658,584,343,837,143,709,27,1320,830,299,742,1247,442,7,663,564,835,1009,1192,18,1293,988,610,1489
12,752,321,361,1499,132,1378,1057,1456,235,968,1065,1280,1292,192,898,1206,631,1204,1476,394,116,860,501,1064,812,1291,1491,1216,296,1049,277,1138,7,118,1216,406,490,500,40,362,295,384,1347,139,932,227,384,1056,934,485,877,1412,143,105,892,1265,510,537,143,772,421,998,1446,119,527,121,151,1098,638,607,619,1418,1096,926,509,1197,578,1288,192,1144,474,439,1123,1079,201,493,74,271,1396,1477,1229,909,1098,1475,1209,835,1361,251,894,19
13,543,1104,1364,450,1313,757,951,1342,607,952,105,1000,1368,338,1349,424,828,554,1361,146,210,1459,1336,742,132,115,53,559,575,791,255,214,219,1321,399,1029,1146,941,470,433,666,645,671,1140,1447,713,1415,1302,1212,57,132,1371,699,419,1334,1277,1199,1220,1265,1231,885,206,986,998,1149,1262,779,1070,348,414,1227,1089,235,610,236,753,391,327,899,275,318,174,1452,1035,1161,527,176,474,837,821,1452,1184,1213,75,1059,42,1115,844,16,368
