Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49
0,[553.0],[142.0],[139.0],[236.0],[566.0],[905.0],[905.0],[642.0],[13.0],[375.0],[226.0],[642.0],[724.0],[619.0],[399.0],[599.0],[244.0],[642.0],[602.0],[340.0],[390.0],[631.0],[390.0],[139.0],[669.0],[226.0],[84.0],[538.0],[694.0],[669.0],[886.0],[453.0],[894.0],[142.0],[614.0],[957.0],[236.0],[453.0],[840.0],[840.0],[642.0],[739.0],[130.0],[411.0],[875.0],[689.0],[768.0],[580.0],[138.0],[524.0]
1,[993.0],[163.0],[802.0],[947.0],[81.0],[371.0],[248.0],[631.0],[156.0],[292.0],[118.0],[427.0],[669.0],[138.0],[627.0],[377.0],[823.0],[463.0],[504.0],[642.0],[553.0],[707.0],[907.0],[110.0],[608.0],[265.0],[142.0],[498.0],[84.0],[227.0],[647.0],[738.0],[182.0],[453.0],[797.0],[336.0],[390.0],[245.0],[520.0],[829.0],[593.0],[905.0],[633.0],[910.0],[479.0],[884.0],[456.0],[731.0],[953.0],[884.0]
2,[798.0],[888.0],[681.0],[673.0],[340.0],[925.0],[312.0],[452.0],[764.0],[138.0],[405.0],[348.0],[840.0],[807.0],[139.0],[794.0],[693.0],[538.0],[981.0],[925.0],[503.0],[396.0],[936.0],[707.0],[138.0],[905.0],[779.0],[453.0],[593.0],[57.0],[446.0],[377.0],[303.0],[809.0],[371.0],[392.0],[716.0],[46.0],[510.0],[524.0],[955.0],[955.0],[204.0],[796.0],[804.0],[234.0],[457.0],[401.0],[259.0],[861.0]
3,[546.0],[322.0],[468.0],[582.0],[369.0],[276.0],[804.0],[769.0],[235.0],[519.0],[86.0],[602.0],[377.0],[941.0],[293.0],[142.0],[4.0],[666.0],[479.0],[68.0],[669.0],[773.0],[435.0],[411.0],[516.0],[903.0],[739.0],[640.0],[390.0],[696.0],[324.0],[960.0],[687.0],[357.0],[903.0],[192.0],[383.0],[240.0],[245.0],[495.0],[338.0],[416.0],[905.0],[479.0],[365.0],[669.0],[629.0],[442.0],[226.0],[326.0]
4,[619.0],[394.0],[519.0],[15.0],[354.0],[210.0],[933.0],[39.0],[411.0],[365.0],[543.0],[676.0],[417.0],[705.0],[236.0],[152.0],[755.0],[978.0],[933.0],[344.0],[903.0],[411.0],[40.0],[665.0],[531.0],[670.0],[178.0],[249.0],[631.0],[932.0],[141.0],[693.0],[139.0],[345.0],[506.0],[807.0],[333.0],[943.0],[246.0],[704.0],[371.0],[641.0],[504.0],[840.0],[652.0],[504.0],[499.0],[313.0],[160.0],[113.0]
5,[175.0],[757.0],[888.0],[253.0],[189.0],[476.0],[955.0],[362.0],[244.0],[118.0],[425.0],[925.0],[142.0],[558.0],[86.0],[477.0],[443.0],[658.0],[687.0],[888.0],[310.0],[828.0],[282.0],[10.0],[198.0],[244.0],[444.0],[364.0],[957.0],[379.0],[866.0],[925.0],[427.0],[552.0],[465.0],[185.0],[673.0],[991.0],[409.0],[13.0],[933.0],[320.0],[524.0],[794.0],[463.0],[453.0],[211.0],[717.0],[84.0],[936.0]
6,[572.0],[59.0],[365.0],[615.0],[804.0],[67.0],[35.0],[682.0],[840.0],[524.0],[505.0],[344.0],[796.0],[586.0],[421.0],[905.0],[619.0],[847.0],[553.0],[330.0],[411.0],[307.0],[743.0],[947.0],[929.0],[452.0],[24.0],[906.0],[516.0],[538.0],[557.0],[204.0],[365.0],[27.0],[966.0],[741.0],[860.0],[993.0],[581.0],[163.0],[234.0],[847.0],[739.0],[383.0],[52.0],[185.0],[319.0],[340.0],[783.0],[291.0]
7,[419.0],[723.0],[842.0],[17.0],[349.0],[330.0],[496.0],[823.0],[427.0],[307.0],[142.0],[991.0],[949.0],[564.0],[521.0],[846.0],[381.0],[274.0],[247.0],[201.0],[427.0],[499.0],[239.0],[30.0],[395.0],[925.0],[7.0],[894.0],[727.0],[250.0],[127.0],[312.0],[519.0],[463.0],[297.0],[146.0],[249.0],[97.0],[807.0],[888.0],[693.0],[567.0],[886.0],[363.0],[653.0],[378.0],[409.0],[166.0],[157.0],[122.0]
8,[309.0],[392.0],[118.0],[936.0],[30.0],[524.0],[964.0],[692.0],[349.0],[888.0],[532.0],[993.0],[129.0],[791.0],[962.0],[840.0],[943.0],[253.0],[769.0],[589.0],[821.0],[881.0],[760.0],[396.0],[467.0],[155.0],[172.0],[145.0],[10.0],[742.0],[975.0],[573.0],[57.0],[568.0],[199.0],[913.0],[273.0],[807.0],[277.0],[443.0],[230.0],[185.0],[881.0],[409.0],[558.0],[325.0],[791.0],[524.0],[326.0],[944.0]
9,[687.0],[739.0],[90.0],[104.0],[903.0],[877.0],[316.0],[798.0],[933.0],[3.0],[691.0],[682.0],[717.0],[127.0],[547.0],[831.0],[831.0],[103.0],[176.0],[886.0],[305.0],[704.0],[915.0],[84.0],[74.0],[769.0],[988.0],[209.0],[375.0],[690.0],[807.0],[896.0],[797.0],[347.0],[56.0],[86.0],[227.0],[305.0],[715.0],[508.0],[697.0],[644.0],[698.0],[884.0],[936.0],[847.0],[443.0],[531.0],[263.0],[830.0]
10,[957.0],[319.0],[400.0],[975.0],[633.0],[748.0],[236.0],[148.0],[529.0],[715.0],[379.0],[798.0],[238.0],[796.0],[84.0],[684.0],[652.0],[909.0],[292.0],[895.0],[40.0],[755.0],[733.0],[753.0],[415.0],[831.0],[92.0],[448.0],[641.0],[267.0],[583.0],[15.0],[392.0],[39.0],[234.0],[498.0],[185.0],[127.0],[773.0],[947.0],[127.0],[86.0],[975.0],[615.0],[443.0],[804.0],[333.0],[936.0],[778.0],[980.0]
11,[840.0],[173.0],[56.0],[723.0],[508.0],[229.0],[411.0],[976.0],[963.0],[304.0],[254.0],[56.0],[807.0],[128.0],[996.0],[970.0],[292.0],[936.0],[274.0],[943.0],[715.0],[22.0],[444.0],[467.0],[312.0],[823.0],[447.0],[955.0],[999.0],[173.0],[558.0],[129.0],[204.0],[737.0],[523.0],[814.0],[943.0],[583.0],[846.0],[102.0],[557.0],[953.0],[106.0],[194.0],[802.0],[292.0],[42.0],[115.0],[577.0],[41.0]
12,[992.0],[13.0],[66.0],[106.0],[593.0],[145.0],[794.0],[755.0],[733.0],[178.0],[92.0],[532.0],[822.0],[633.0],[726.0],[214.0],[840.0],[372.0],[129.0],[217.0],[839.0],[798.0],[145.0],[746.0],[401.0],[506.0],[833.0],[886.0],[340.0],[822.0],[776.0],[161.0],[632.0],[17.0],[635.0],[32.0],[201.0],[558.0],[11.0],[989.0],[173.0],[383.0],[832.0],[807.0],[911.0],[324.0],[435.0],[345.0],[993.0],[427.0]
13,[300.0],[915.0],[347.0],[909.0],[496.0],[66.0],[298.0],[433.0],[530.0],[260.0],[447.0],[877.0],[207.0],[981.0],[900.0],[506.0],[769.0],[3.0],[871.0],[724.0],[130.0],[35.0],[530.0],[652.0],[585.0],[142.0],[769.0],[797.0],[949.0],[383.0],[249.0],[531.0],[748.0],[428.0],[425.0],[887.0],[903.0],[788.0],[372.0],[669.0],[729.0],[832.0],[807.0],[936.0],[264.0],[519.0],[97.0],[718.0],[682.0],[868.0]
14,[519.0],[24.0],[75.0],[159.0],[506.0],[715.0],[863.0],[22.0],[988.0],[250.0],[649.0],[816.0],[127.0],[508.0],[467.0],[242.0],[131.0],[798.0],[832.0],[637.0],[118.0],[310.0],[56.0],[118.0],[871.0],[138.0],[139.0],[537.0],[950.0],[477.0],[773.0],[317.0],[511.0],[106.0],[161.0],[463.0],[791.0],[249.0],[881.0],[297.0],[673.0],[768.0],[729.0],[754.0],[792.0],[831.0],[55.0],[658.0],[204.0],[769.0]
15,[176.0],[538.0],[32.0],[495.0],[891.0],[653.0],[598.0],[495.0],[145.0],[924.0],[829.0],[920.0],[846.0],[452.0],[777.0],[452.0],[106.0],[700.0],[383.0],[715.0],[21.0],[886.0],[816.0],[713.0],[586.0],[462.0],[227.0],[443.0],[722.0],[715.0],[690.0],[72.0],[850.0],[319.0],[783.0],[7.0],[223.0],[796.0],[704.0],[504.0],[719.0],[71.0],[173.0],[732.0],[176.0],[702.0],[909.0],[417.0],[631.0],[748.0]
16,[365.0],[497.0],[807.0],[448.0],[433.0],[866.0],[764.0],[265.0],[444.0],[866.0],[560.0],[82.0],[664.0],[696.0],[979.0],[408.0],[788.0],[141.0],[1.0],[581.0],[293.0],[741.0],[945.0],[825.0],[807.0],[537.0],[519.0],[773.0],[743.0],[127.0],[138.0],[81.0],[693.0],[389.0],[138.0],[816.0],[245.0],[593.0],[448.0],[467.0],[728.0],[84.0],[586.0],[861.0],[73.0],[385.0],[235.0],[233.0],[797.0],[185.0]
17,[831.0],[130.0],[142.0],[602.0],[957.0],[253.0],[830.0],[416.0],[83.0],[902.0],[307.0],[714.0],[36.0],[813.0],[38.0],[874.0],[581.0],[788.0],[207.0],[13.0],[238.0],[779.0],[532.0],[874.0],[653.0],[908.0],[185.0],[456.0],[642.0],[619.0],[46.0],[208.0],[941.0],[358.0],[816.0],[813.0],[238.0],[599.0],[932.0],[992.0],[986.0],[73.0],[121.0],[70.0],[185.0],[42.0],[422.0],[310.0],[293.0],[684.0]
18,[638.0],[627.0],[173.0],[629.0],[888.0],[383.0],[629.0],[223.0],[443.0],[147.0],[669.0],[472.0],[400.0],[92.0],[539.0],[739.0],[901.0],[866.0],[653.0],[70.0],[486.0],[819.0],[290.0],[958.0],[965.0],[840.0],[217.0],[755.0],[888.0],[467.0],[881.0],[104.0],[3.0],[120.0],[265.0],[532.0],[96.0],[504.0],[56.0],[965.0],[936.0],[609.0],[357.0],[84.0],[80.0],[705.0],[246.0],[22.0],[633.0],[425.0]
19,[654.0],[464.0],[578.0],[405.0],[463.0],[223.0],[829.0],[293.0],[230.0],[877.0],[518.0],[836.0],[119.0],[629.0],[954.0],[743.0],[735.0],[705.0],[335.0],[936.0],[234.0],[84.0],[977.0],[786.0],[520.0],[463.0],[755.0],[322.0],[874.0],[773.0],[798.0],[567.0],[710.0],[803.0],[444.0],[142.0],[464.0],[175.0],[848.0],[580.0],[35.0],[101.0],[16.0],[634.0],[851.0],[603.0],[603.0],[125.0],[954.0],[130.0]
20,[425.0],[84.0],[70.0],[297.0],[824.0],[791.0],[593.0],[801.0],[947.0],[245.0],[3.0],[379.0],[414.0],[620.0],[618.0],[411.0],[480.0],[305.0],[819.0],[278.0],[146.0],[682.0],[833.0],[512.0],[715.0],[420.0],[699.0],[499.0],[739.0],[886.0],[416.0],[724.0],[774.0],[861.0],[83.0],[239.0],[807.0],[522.0],[966.0],[293.0],[828.0],[732.0],[779.0],[529.0],[411.0],[129.0],[352.0],[567.0],[504.0],[602.0]
21,[130.0],[714.0],[504.0],[920.0],[204.0],[277.0],[293.0],[411.0],[211.0],[523.0],[729.0],[988.0],[659.0],[182.0],[851.0],[919.0],[279.0],[194.0],[56.0],[170.0],[722.0],[13.0],[877.0],[186.0],[936.0],[227.0],[966.0],[866.0],[496.0],[310.0],[410.0],[438.0],[778.0],[160.0],[836.0],[525.0],[71.0],[643.0],[816.0],[629.0],[682.0],[440.0],[477.0],[955.0],[330.0],[158.0],[712.0],[947.0],[399.0],[467.0]
22,[823.0],[986.0],[207.0],[748.0],[949.0],[84.0],[204.0],[975.0],[696.0],[294.0],[704.0],[807.0],[176.0],[130.0],[92.0],[722.0],[987.0],[211.0],[7.0],[748.0],[190.0],[322.0],[414.0],[875.0],[96.0],[6.0],[445.0],[162.0],[204.0],[577.0],[357.0],[106.0],[390.0],[479.0],[899.0],[76.0],[84.0],[804.0],[771.0],[211.0],[692.0],[444.0],[84.0],[443.0],[609.0],[104.0],[925.0],[829.0],[390.0],[842.0]
23,[558.0],[248.0],[84.0],[229.0],[858.0],[539.0],[888.0],[936.0],[504.0],[807.0],[416.0],[829.0],[685.0],[428.0],[866.0],[875.0],[984.0],[860.0],[444.0],[829.0],[702.0],[955.0],[654.0],[940.0],[324.0],[240.0],[411.0],[207.0],[498.0],[371.0],[512.0],[42.0],[888.0],[452.0],[294.0],[831.0],[479.0],[330.0],[199.0],[345.0],[798.0],[833.0],[682.0],[403.0],[715.0],[363.0],[146.0],[604.0],[580.0],[118.0]
24,[142.0],[485.0],[259.0],[892.0],[504.0],[790.0],[874.0],[940.0],[36.0],[119.0],[17.0],[582.0],[185.0],[888.0],[56.0],[746.0],[553.0],[702.0],[537.0],[100.0],[567.0],[527.0],[25.0],[221.0],[309.0],[141.0],[787.0],[319.0],[919.0],[837.0],[74.0],[17.0],[569.0],[925.0],[570.0],[145.0],[324.0],[201.0],[699.0],[142.0],[354.0],[741.0],[391.0],[594.0],[707.0],[435.0],[583.0],[411.0],[412.0],[831.0]
25,[127.0],[148.0],[669.0],[466.0],[743.0],[21.0],[538.0],[363.0],[581.0],[56.0],[305.0],[84.0],[201.0],[949.0],[66.0],[759.0],[900.0],[223.0],[886.0],[293.0],[769.0],[643.0],[751.0],[357.0],[769.0],[383.0],[188.0],[715.0],[142.0],[138.0],[668.0],[336.0],[546.0],[155.0],[504.0],[172.0],[769.0],[650.0],[294.0],[324.0],[755.0],[261.0],[512.0],[558.0],[654.0],[860.0],[227.0],[173.0],[538.0],[323.0]
26,[822.0],[906.0],[204.0],[82.0],[669.0],[767.0],[919.0],[809.0],[127.0],[70.0],[352.0],[209.0],[831.0],[861.0],[250.0],[155.0],[140.0],[832.0],[310.0],[791.0],[437.0],[415.0],[475.0],[823.0],[933.0],[284.0],[20.0],[67.0],[408.0],[453.0],[547.0],[469.0],[809.0],[437.0],[400.0],[684.0],[960.0],[185.0],[261.0],[411.0],[915.0],[612.0],[648.0],[715.0],[970.0],[801.0],[496.0],[35.0],[623.0],[715.0]
27,[173.0],[797.0],[20.0],[53.0],[4.0],[88.0],[345.0],[909.0],[926.0],[544.0],[742.0],[943.0],[903.0],[463.0],[807.0],[509.0],[506.0],[96.0],[22.0],[390.0],[896.0],[722.0],[248.0],[838.0],[118.0],[791.0],[906.0],[977.0],[633.0],[419.0],[158.0],[21.0],[111.0],[769.0],[302.0],[894.0],[336.0],[773.0],[13.0],[779.0],[310.0],[829.0],[574.0],[315.0],[214.0],[146.0],[410.0],[813.0],[508.0],[245.0]
28,[159.0],[261.0],[773.0],[250.0],[820.0],[816.0],[875.0],[236.0],[714.0],[319.0],[813.0],[804.0],[138.0],[259.0],[249.0],[842.0],[533.0],[363.0],[210.0],[866.0],[583.0],[389.0],[850.0],[812.0],[246.0],[936.0],[211.0],[816.0],[947.0],[126.0],[742.0],[520.0],[227.0],[335.0],[290.0],[257.0],[158.0],[908.0],[310.0],[807.0],[886.0],[245.0],[225.0],[4.0],[530.0],[724.0],[986.0],[120.0],[696.0],[953.0]
