Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,776,236,855,697,466,566,418,538,238,161,268,645,761,364,769,404,359,902,475,894,495,915,46,284,607,637,205,264,244,156,20,210,574,490,778,97,100,941,390,530,991,573,954,60,743,944,822,805,213,219,481,42,306,963,531,981,58,300,762,427,284,780,418,875,340,509,300,132,159,441,716,559,213,493,799,34,147,686,257,246,435,199,539,397,360,131,259,800,476,308,628,232,604,72,321,823,279,843,959,829
1,544,70,137,265,688,97,620,889,564,941,53,947,114,389,16,234,628,593,248,564,458,21,211,636,7,194,151,209,803,434,719,974,350,548,130,769,585,788,82,674,556,16,434,276,751,119,342,176,344,765,253,60,800,491,867,302,361,60,425,675,873,465,553,562,130,259,883,163,299,138,966,757,101,615,539,246,103,648,758,795,328,97,110,492,49,677,545,899,783,44,441,523,402,439,652,580,788,104,572,135
2,940,509,494,288,706,107,35,150,592,426,110,611,783,663,816,641,52,653,994,689,566,283,721,597,744,537,110,316,490,899,975,374,622,14,835,689,318,235,613,170,337,63,611,904,438,859,83,335,890,903,993,633,764,528,169,498,802,542,178,605,307,510,309,686,35,274,635,626,983,363,617,106,224,297,691,984,462,585,811,927,628,253,672,293,312,923,283,789,875,617,524,554,433,133,89,915,967,441,49,958
3,973,68,772,423,412,793,127,491,450,243,330,688,459,286,883,950,397,83,291,147,464,161,346,147,869,630,186,896,498,571,502,997,902,243,834,570,717,902,65,672,924,117,596,846,223,782,443,379,691,471,941,320,766,446,239,690,203,451,213,26,511,220,744,189,713,991,255,12,39,89,620,653,268,726,873,985,202,394,218,517,144,186,752,272,720,508,250,307,81,732,160,876,731,835,670,156,778,846,818,540
4,788,16,550,910,874,60,828,235,31,680,83,974,932,805,847,910,478,958,80,440,904,591,75,319,642,698,494,513,191,527,576,394,983,300,371,628,606,956,831,478,611,535,444,182,549,623,623,545,120,350,361,163,212,365,277,253,938,974,882,587,669,438,449,782,551,774,918,76,687,838,809,601,699,977,676,475,192,809,27,653,754,897,414,47,137,142,997,172,494,443,245,518,971,526,798,842,526,859,851,376
5,781,238,462,147,125,256,531,643,121,416,8,834,361,739,10,309,651,884,773,292,911,726,44,322,603,723,397,313,196,461,156,949,64,531,572,961,822,161,955,57,819,443,449,76,526,961,717,171,389,252,410,370,671,299,160,379,186,946,407,786,132,708,306,699,684,778,475,641,315,923,138,222,59,411,110,245,373,895,187,154,890,110,685,390,631,945,419,72,381,828,609,401,106,339,342,283,103,186,746,948
6,272,259,201,659,296,59,695,764,211,343,974,33,597,161,566,519,873,937,309,150,519,953,266,127,32,103,155,534,766,698,851,422,751,80,26,308,557,333,576,714,669,92,354,979,364,844,832,519,483,707,686,839,279,326,73,112,226,210,435,967,435,817,331,475,800,288,95,827,753,23,557,253,341,249,900,656,885,276,777,140,86,736,585,917,486,726,586,231,741,138,716,207,303,8,860,955,255,625,283,304
7,65,43,312,797,121,113,829,465,351,954,847,565,524,514,118,638,279,720,560,425,226,137,862,194,935,214,272,829,28,762,739,209,90,845,499,155,919,888,458,702,147,80,15,304,127,837,579,830,487,75,496,126,205,153,529,478,293,933,151,934,694,416,930,681,642,878,894,772,882,608,148,259,867,906,768,498,937,569,159,561,966,123,621,177,275,12,217,94,9,248,428,189,828,455,653,676,193,668,568,930
8,586,302,290,966,2,299,337,210,454,322,398,360,354,130,433,159,238,34,482,686,981,101,573,592,861,15,797,319,70,138,454,753,221,302,419,106,234,679,724,505,851,248,261,809,180,198,116,507,373,191,145,802,662,992,62,819,642,909,316,652,490,325,922,510,343,478,176,442,399,79,361,661,732,169,826,163,24,446,896,755,584,621,635,810,933,738,943,485,870,206,652,697,650,423,382,847,233,567,653,73
9,937,986,189,177,194,955,232,519,302,561,78,187,286,351,428,570,535,343,748,218,536,977,225,62,853,683,31,7,788,717,844,873,564,297,105,671,241,197,462,257,76,705,670,126,296,177,706,152,692,786,570,780,525,522,761,807,164,412,580,719,971,969,597,58,983,441,606,674,844,125,366,773,272,614,5,436,835,911,763,939,701,117,134,127,395,646,374,529,322,432,263,420,160,402,409,605,888,673,377,880
