Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
0,6.835941314697266,6.9169628620147705,6.243100166320801,6.873353481292725,6.327093601226807,6.966913938522339,9.693691968917847,6.544919729232788,6.871428489685059,6.87686824798584,6.96464991569519,9.554205179214478,6.600587606430054,6.512588977813721,6.9985668659210205,6.909322023391724,7.015572786331177
1,6.94541335105896,7.074871778488159,6.349758863449097,6.90586256980896,6.451303243637085,7.073637962341309,9.521370887756348,6.713247299194336,7.0745508670806885,7.207023620605469,7.154666423797607,9.674989461898804,6.836781024932861,6.557672500610352,7.059670448303223,7.006344318389893,7.246953010559082
2,6.715095043182373,6.972611904144287,6.147115230560303,7.001996994018555,6.351944923400879,7.003122091293335,10.04802656173706,6.5607545375823975,6.884989023208618,6.927574396133423,6.963493824005127,9.782438278198242,6.495759010314941,6.589292764663696,7.017671346664429,7.010120391845703,7.124532222747803
3,6.8780434131622314,6.993751049041748,6.139930963516235,7.066015243530273,6.36257004737854,7.0048606395721436,9.902580261230469,6.591032981872559,7.015955924987793,7.034023284912109,7.023544549942017,9.50262188911438,6.583019256591797,6.498404264450073,7.028021574020386,7.11176061630249,7.1453773975372314
4,7.224825620651245,6.984287738800049,6.438342571258545,6.692162752151489,6.746281623840332,7.196445465087891,9.129748106002808,6.820829153060913,7.266326904296875,6.829890727996826,7.183328151702881,9.362857818603516,6.904222011566162,7.007185697555542,6.862836599349976,6.690747499465942,6.98494029045105
5,6.871168613433838,7.017440319061279,6.274932622909546,6.801565885543823,6.421329498291016,7.072821378707886,9.573089599609375,6.649524450302124,6.986232757568359,6.908585071563721,7.037606477737427,9.51752495765686,6.724924087524414,6.541717290878296,6.938508749008179,6.893531084060669,7.0813562870025635
6,6.878608465194702,6.930902719497681,6.3018529415130615,6.90141487121582,6.362162113189697,6.989839553833008,9.701743841171265,6.566940069198608,6.884679555892944,6.9126060009002686,6.985077619552612,9.614574670791626,6.630009174346924,6.550286769866943,7.013582468032837,6.92983078956604,7.035067081451416
7,6.710923194885254,6.8083765506744385,6.069145441055298,7.116557598114014,6.276959419250488,6.839010000228882,9.821508169174194,6.487079620361328,6.755861520767212,6.89190411567688,6.782231569290161,9.970571279525757,6.605745077133179,6.458827495574951,6.866486310958862,6.892063617706299,7.0141761302948
8,6.675013065338135,6.694936990737915,6.117367267608643,6.707082986831665,6.207509517669678,6.71715521812439,9.119666337966919,6.376280069351196,6.700650691986084,6.712111711502075,6.698516607284546,9.345489263534546,6.48535418510437,6.356976509094238,6.7220399379730225,6.719663619995117,6.8210227489471436
9,9.155060291290283,8.967644453048706,8.097591638565063,8.843295097351074,8.287391185760498,8.984483003616333,12.54696774482727,8.627960205078125,9.030216455459595,8.916297674179077,9.365071296691895,12.100569725036621,8.813078165054321,8.61672043800354,8.918426036834717,8.819337606430054,9.212205171585083
10,6.850598335266113,7.080340385437012,6.224059820175171,6.8635413646698,6.51503849029541,6.854979515075684,9.760896444320679,6.5968170166015625,7.068071126937866,6.842971324920654,7.10872220993042,9.808125019073486,6.641604423522949,6.521098375320435,6.85122275352478,7.000751495361328,7.071186780929565
11,6.651957273483276,6.714961767196655,6.0589611530303955,6.715266466140747,6.221093654632568,6.642658948898315,9.275011539459229,6.335623741149902,6.67259955406189,6.834425687789917,6.742849826812744,9.364015579223633,6.498669862747192,6.34432053565979,6.68349814414978,6.737002611160278,6.721860647201538
12,7.042038917541504,6.778854846954346,6.449481964111328,6.8551719188690186,6.363862037658691,6.951285362243652,9.2468101978302,6.545887231826782,6.905958652496338,7.124628067016602,6.978414535522461,9.495540857315063,6.823112726211548,6.682080268859863,6.967276096343994,6.9029624462127686,7.046721935272217
13,6.809801816940308,6.911993980407715,6.144224405288696,6.986354112625122,6.344812393188477,6.913995742797852,9.783543348312378,6.538706302642822,6.9283127784729,6.9451282024383545,6.984457731246948,9.506165266036987,6.552781581878662,6.481907367706299,6.948625564575195,7.011074066162109,7.0453126430511475
