Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[3773.0],[506.0],[1349.0],[3307.0],[2781.0],[3230.0],[2334.0],[590.0],[1216.0],[3901.0],[1730.0],[1959.0],[3080.0],[1739.0],[519.0],[2625.0],[3082.0],[1293.0],[3079.0],[4867.0],[2378.0],[1923.0],[1739.0],[4765.0],[4223.0]
1,[970.0],[3021.0],[1146.0],[297.0],[1228.0],[130.0],[1900.0],[2050.0],[3710.0],[3773.0],[3901.0],[4522.0],[1320.0],[3710.0],[4773.0],[3232.0],[3710.0],[996.0],[1931.0],[1730.0],[3160.0],[3885.0],[259.0],[3710.0],[2594.0]
2,[1126.0],[3348.0],[1930.0],[1931.0],[3879.0],[73.0],[3901.0],[1373.0],[3526.0],[4839.0],[3773.0],[2472.0],[1140.0],[4745.0],[2018.0],[2378.0],[982.0],[2441.0],[4745.0],[4745.0],[3901.0],[3901.0],[3566.0],[2594.0],[4253.0]
3,[1931.0],[1551.0],[594.0],[3470.0],[369.0],[2754.0],[253.0],[169.0],[524.0],[2017.0],[2540.0],[1798.0],[1383.0],[1417.0],[491.0],[4778.0],[3636.0],[542.0],[3152.0],[2334.0],[1024.0],[4431.0],[4129.0],[3160.0],[4503.0]
4,[4745.0],[4227.0],[2540.0],[245.0],[3220.0],[4223.0],[3082.0],[4148.0],[4682.0],[4253.0],[2050.0],[1535.0],[4609.0],[2378.0],[526.0],[1950.0],[4350.0],[3901.0],[325.0],[1931.0],[3513.0],[4597.0],[4681.0],[2862.0],[3901.0]
5,[2750.0],[595.0],[1730.0],[1532.0],[1426.0],[4253.0],[4039.0],[824.0],[2780.0],[969.0],[1373.0],[2461.0],[4682.0],[2654.0],[2984.0],[1309.0],[2471.0],[3710.0],[358.0],[3461.0],[970.0],[3668.0],[1541.0],[1320.0],[4867.0]
6,[2748.0],[163.0],[1141.0],[3461.0],[3901.0],[3710.0],[595.0],[4015.0],[2348.0],[2594.0],[4747.0],[2334.0],[602.0],[325.0],[4867.0],[4039.0],[369.0],[528.0],[1544.0],[3470.0],[68.0],[3710.0],[2823.0],[4867.0],[3861.0]
7,[1417.0],[1210.0],[4747.0],[3620.0],[3710.0],[969.0],[1384.0],[3995.0],[1219.0],[3389.0],[1312.0],[1417.0],[780.0],[172.0],[3559.0],[2668.0],[2106.0],[2984.0],[4887.0],[325.0],[4350.0],[687.0],[1216.0],[318.0],[2781.0]
8,[325.0],[2400.0],[4839.0],[1417.0],[17.0],[2594.0],[996.0],[2462.0],[1228.0],[346.0],[1526.0],[2781.0],[4839.0],[4682.0],[2518.0],[1801.0],[3785.0],[3646.0],[2781.0],[3069.0],[4480.0],[2539.0],[594.0],[2781.0],[969.0]
9,[3879.0],[3452.0],[3559.0],[2607.0],[2814.0],[2935.0],[4745.0],[812.0],[2970.0],[1603.0],[1476.0],[4745.0],[4887.0],[1581.0],[1739.0],[4597.0],[4223.0],[4298.0],[2668.0],[3710.0],[673.0],[1279.0],[3491.0],[4223.0],[4839.0]
10,[4638.0],[3650.0],[10.0],[2890.0],[4552.0],[3762.0],[3620.0],[2921.0],[3220.0],[4887.0],[4032.0],[1991.0],[3710.0],[3364.0],[3566.0],[2250.0],[1320.0],[208.0],[1581.0],[3571.0],[2106.0],[3773.0],[2039.0],[4839.0],[3095.0]
11,[2014.0],[3583.0],[3710.0],[4883.0],[1620.0],[1279.0],[325.0],[4054.0],[1068.0],[780.0],[1900.0],[1998.0],[253.0],[2781.0],[2780.0],[2781.0],[4084.0],[320.0],[3080.0],[208.0],[740.0],[3528.0],[2372.0],[3556.0],[4259.0]
12,[3470.0],[4230.0],[513.0],[4745.0],[3662.0],[2700.0],[524.0],[1629.0],[1304.0],[3635.0],[3094.0],[705.0],[2594.0],[3484.0],[2763.0],[3646.0],[2372.0],[3963.0],[1336.0],[1476.0],[526.0],[311.0],[4839.0],[2646.0],[4610.0]
13,[2781.0],[1465.0],[2083.0],[2781.0],[524.0],[4839.0],[1320.0],[4650.0],[602.0],[3232.0],[2945.0],[2215.0],[2862.0],[4696.0],[1478.0],[3571.0],[3890.0],[4232.0],[2050.0],[526.0],[4887.0],[4039.0],[2594.0],[1456.0],[1054.0]
