Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
0,7.2407386302948,7.308124542236328,6.5300562381744385,7.288954973220825,6.677677392959595,7.375524044036865,10.413143157958984,6.9417383670806885,7.304120302200317,7.325338125228882,7.446465253829956,10.060033798217773,7.049556493759155,6.845867395401001,7.313100099563599,7.285449981689453,7.306895732879639
1,7.076256036758423,7.18193793296814,6.412489652633667,7.2101874351501465,6.568514585494995,7.192904710769653,10.256788730621338,6.746156454086304,7.158229351043701,7.196115493774414,7.348088502883911,9.9239501953125,6.861121654510498,6.699703693389893,7.227569341659546,7.215090751647949,7.347050905227661
2,7.075176000595093,7.212890386581421,6.414325475692749,7.241670608520508,6.564269065856934,7.317564249038696,10.246204614639282,6.737013816833496,7.183395147323608,7.247245788574219,7.357072114944458,9.928508996963501,6.8586976528167725,6.70426082611084,7.245274782180786,7.24524188041687,7.234484672546387
3,7.079378366470337,7.231923580169678,6.407351970672607,7.189070224761963,6.591367721557617,7.2166748046875,10.049481868743896,6.767698287963867,7.286921262741089,7.244096755981445,7.404621839523315,9.893518447875977,6.913062334060669,6.734579563140869,7.251842737197876,7.2099831104278564,7.394596338272095
4,7.03779411315918,7.1099443435668945,6.36810302734375,7.1570611000061035,6.5485429763793945,7.227430105209351,9.917322874069214,6.6906843185424805,7.107038259506226,7.1439337730407715,7.301822900772095,9.823238849639893,6.809377193450928,6.638190031051636,7.148629903793335,7.176348447799683,7.147101163864136
5,7.655346870422363,7.834362745285034,6.94152569770813,7.690300703048706,7.1304285526275635,7.932583808898926,10.861028671264648,7.34596848487854,7.771474123001099,7.784493446350098,7.955101013183594,10.16875410079956,7.462521314620972,7.187046527862549,7.642191410064697,7.860339403152466,7.8624396324157715
6,7.011936187744141,7.1076154708862305,6.336207389831543,7.065764904022217,6.5106706619262695,7.225826740264893,10.038016080856323,6.683661699295044,7.184053182601929,7.136033058166504,7.279495477676392,9.820491552352905,6.811281681060791,6.6365320682525635,7.143024682998657,7.085902690887451,7.156508684158325
7,7.0432703495025635,7.246289014816284,6.368751525878906,7.26757287979126,6.564814329147339,7.373373985290527,10.163167953491211,6.704803466796875,7.313510894775391,7.256187438964844,7.383310079574585,9.93437123298645,6.842529535293579,6.701383113861084,7.258501768112183,7.243481159210205,7.285297393798828
8,7.074663162231445,7.209582805633545,6.444533109664917,7.248469352722168,6.5787034034729,7.204837083816528,10.10576844215393,6.772273063659668,7.2628138065338135,7.234933376312256,7.354612588882446,10.013159275054932,6.884836673736572,6.744433403015137,7.274012565612793,7.244779109954834,7.376361131668091
9,6.990010738372803,6.988491535186768,6.354818820953369,7.029365062713623,6.5196614265441895,6.9941112995147705,9.486278057098389,6.683176279067993,6.988337516784668,7.033018112182617,7.12605094909668,9.839787006378174,6.81456184387207,6.6224353313446045,7.015172719955444,7.021036863327026,7.1320741176605225
10,7.588796138763428,7.779296159744263,6.886167049407959,7.65435004234314,7.071425437927246,7.900315999984741,10.81235122680664,7.239927053451538,7.777787446975708,7.766646146774292,7.9193525314331055,10.136391639709473,7.390379428863525,7.213114500045776,7.641726016998291,7.834589004516602,7.815492153167725
11,7.139011383056641,7.254095792770386,6.530819892883301,7.274820566177368,6.697543144226074,7.360573768615723,10.065299034118652,6.876511812210083,7.249648571014404,7.22237491607666,7.362491130828857,10.06801700592041,6.984730005264282,6.758491516113281,7.28892970085144,7.262078046798706,7.226952314376831
