Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
0,6.451093912124634,6.6974196434021,5.927354335784912,6.67133641242981,6.062087535858154,6.647742509841919,9.583990573883057,6.226765871047974,6.62976861000061,6.660708427429199,6.745363712310791,9.146267652511597,6.320946455001831,6.1606035232543945,6.65505051612854,6.672297477722168,6.762997150421143
1,6.534204959869385,6.658456087112427,5.9538733959198,6.810635089874268,6.143370866775513,6.739176034927368,9.861133813858032,6.2855000495910645,6.632975101470947,6.793684005737305,6.793245077133179,9.432984352111816,6.522498846054077,6.292447328567505,6.773650169372559,6.8831787109375,6.958869695663452
2,6.7376158237457275,6.645456552505493,6.1306517124176025,6.803565502166748,6.318352699279785,6.799411773681641,9.454283237457275,6.3582923412323,6.7991321086883545,6.8553266525268555,6.915983200073242,9.489134311676025,6.581073522567749,6.440082311630249,6.6195080280303955,6.637732744216919,6.856399774551392
3,6.860177516937256,6.56419038772583,5.922270774841309,6.500330209732056,6.079094171524048,6.7830305099487305,11.395966529846191,6.214014053344727,6.68248438835144,6.586023807525635,6.5968897342681885,9.037851095199585,6.511250019073486,6.2370216846466064,6.5959086418151855,6.633001327514648,6.63476037979126
4,6.864476442337036,6.567554712295532,5.8956615924835205,6.500378847122192,6.0487401485443115,6.820816993713379,11.336944580078125,6.1991496086120605,6.7003583908081055,6.588428974151611,6.613278388977051,8.945616960525513,6.497212171554565,6.221353530883789,6.604224443435669,6.6215057373046875,6.682209730148315
5,6.443377256393433,6.604516983032227,5.920408725738525,6.60541296005249,6.0740861892700195,6.592206716537476,9.287961959838867,6.239181756973267,6.571136713027954,6.588622808456421,6.682515382766724,9.109654903411865,6.3225462436676025,6.156214952468872,6.602161169052124,6.6137375831604,6.71207594871521
6,6.470460891723633,6.471813440322876,5.97439432144165,6.508104085922241,6.169746160507202,6.5758957862854,9.019032001495361,6.229212760925293,6.482858657836914,6.527845144271851,6.554916143417358,9.143928289413452,6.35566520690918,6.206035614013672,6.5465123653411865,6.541125297546387,6.587757349014282
7,6.602976322174072,6.753307104110718,6.0078346729278564,6.655033349990845,6.3248372077941895,6.579755783081055,9.438806056976318,6.4073646068573,6.68973445892334,6.727759599685669,6.786454677581787,9.187670469284058,6.380158424377441,6.307719469070435,6.637130260467529,6.651355266571045,6.585087060928345
8,6.457852363586426,6.686265707015991,5.936485767364502,6.685772895812988,6.057772874832153,6.672043800354004,9.56568694114685,6.254034996032715,6.631102561950684,6.646923065185547,6.759570121765137,9.156102895736694,6.320817947387695,6.17248797416687,6.681522607803345,6.687744140625,6.768467664718628
9,6.5071656703948975,6.6993958950042725,5.989403247833252,6.76994776725769,6.224508762359619,6.697153091430664,9.667387247085571,6.221581220626831,6.67128586769104,6.912513732910156,6.650113105773926,9.47744631767273,6.399959325790405,6.352997541427612,6.717780590057373,6.628640174865723,6.5749123096466064
10,6.441836833953857,6.684482097625732,5.922323703765869,6.667895555496216,6.070707559585571,6.659191370010376,9.637335062026978,6.237978935241699,6.6259377002716064,6.6426169872283936,6.753270149230957,9.161482572555542,6.30365777015686,6.146155595779419,6.668438673019409,6.683408260345459,6.76936149597168
11,6.467225074768066,6.5663511753082275,5.926700592041016,6.744795799255371,6.089290142059326,6.644674777984619,9.726510286331177,6.213067293167114,6.575998783111572,6.67902135848999,6.7367329597473145,9.367497682571411,6.4814980030059814,6.2421042919158936,6.697147846221924,6.804123640060425,6.894071578979492
12,8.624871730804443,8.717548847198486,8.037402391433716,8.640143632888794,8.24546217918396,8.807012557983398,12.596135139465332,8.300244092941284,8.70726728439331,8.786561489105225,8.851285934448242,12.015958070755005,8.041321754455566,8.079369068145752,8.768141984939575,8.747495174407959,8.978883266448975
