Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,663,723,601,376,293,958,879,22,772,626,869,347,714,290,895,71,715,901,407,952,863,849,670,407,160,31,946,264,9,733,948,651,583,87,954,237,721,521,61,441,347,388,121,318,207,336,341,733,112,720,663,610,381,307,762,347,992,806,40,238,161,834,48,82,185,975,751,234,358,960,432,642,361,920,577,393,577,404,263,991,260,362,17,451,580,904,469,763,622,790,316,402,650,549,356,187,42,674,141,317
1,1,9,23,31,649,743,282,547,415,839,804,460,659,454,831,252,199,453,375,121,384,34,588,947,986,278,940,578,278,252,197,453,673,233,748,845,40,352,102,736,37,432,614,848,123,737,117,985,865,59,536,700,58,661,255,334,229,71,509,576,921,671,703,904,348,549,994,965,774,847,844,343,436,369,810,818,125,116,360,651,837,678,903,675,163,596,407,821,482,843,861,805,668,490,17,657,893,913,537,566
2,104,359,737,48,812,740,207,859,381,268,494,237,789,966,500,403,667,908,470,605,57,966,27,192,77,941,151,242,561,28,68,547,332,654,153,560,696,819,195,927,823,123,20,362,356,223,436,156,574,23,668,419,412,858,188,256,70,708,610,109,756,330,360,442,615,595,84,928,989,645,963,420,734,361,123,456,918,541,75,744,179,321,312,634,725,491,601,898,543,404,715,570,746,156,181,307,689,121,24,66
3,594,707,258,85,986,8,837,905,452,705,797,31,256,832,662,88,156,882,3,662,821,26,649,140,723,752,255,174,404,826,722,324,269,122,756,85,98,902,57,664,957,227,700,335,129,530,896,123,613,848,240,120,911,79,771,529,132,65,335,206,931,308,851,101,919,564,96,503,184,715,259,770,917,864,34,599,763,696,466,249,284,323,320,22,957,502,243,919,982,393,658,452,358,777,58,16,451,72,293,481
4,728,763,900,819,250,73,734,985,635,306,116,488,968,944,189,958,384,756,818,178,207,960,680,87,102,313,886,945,439,663,744,85,951,235,866,609,632,6,201,293,541,582,71,365,145,296,59,369,916,691,236,368,710,717,296,288,990,985,385,380,917,19,136,299,211,997,899,924,327,905,642,773,528,808,510,360,56,310,299,448,199,392,737,437,607,358,321,140,349,218,403,679,761,132,267,58,971,99,752,609
5,148,835,316,54,161,400,869,7,321,440,861,950,952,347,763,892,887,182,522,323,363,136,99,259,961,406,317,702,602,610,713,758,337,418,742,207,79,251,658,235,893,916,106,618,401,552,316,320,362,584,202,48,907,122,996,338,289,603,42,501,910,936,986,534,579,563,571,86,725,767,241,958,709,546,175,897,950,105,534,959,949,784,23,988,544,356,80,500,973,924,442,323,327,830,115,277,75,399,824,628
6,835,192,467,166,936,118,74,453,581,165,210,969,643,452,421,310,645,501,211,357,663,465,796,32,432,390,143,837,619,894,168,873,91,192,528,152,406,143,578,980,968,64,270,980,343,55,792,527,433,264,932,772,18,51,256,215,109,447,282,312,25,354,133,877,502,708,173,151,296,72,253,118,969,509,16,709,501,40,584,33,691,394,783,251,892,960,994,813,411,223,372,671,406,201,905,817,942,394,543,364
7,74,629,53,119,926,701,46,714,121,7,874,40,249,337,885,901,908,424,934,192,205,19,428,278,774,143,474,120,969,16,185,490,80,399,74,388,5,699,728,596,295,41,860,227,192,11,114,996,975,327,423,824,835,631,807,139,907,180,384,857,791,757,361,132,537,909,753,525,575,908,390,531,736,236,930,439,638,919,493,951,105,942,898,844,643,812,908,941,999,271,552,626,268,137,593,255,824,582,840,422
8,189,559,843,998,610,206,787,821,238,219,686,742,664,563,797,555,757,685,188,338,428,368,864,517,318,241,318,275,203,599,35,122,703,484,176,347,726,333,391,607,666,105,435,713,899,941,214,125,288,902,498,207,42,828,535,116,480,554,391,753,544,622,340,286,196,160,419,779,117,235,667,297,485,371,530,174,348,470,527,271,419,146,325,363,414,132,931,421,450,474,837,669,344,859,24,320,705,65,696,986
9,343,684,417,452,645,867,472,835,681,326,178,595,874,512,537,727,456,426,175,699,177,248,148,257,821,623,132,298,54,722,641,417,921,853,338,421,975,486,20,727,461,393,102,906,418,107,334,265,984,135,831,969,122,20,82,44,688,474,673,938,803,605,451,915,175,362,788,668,814,37,843,406,57,981,611,122,382,709,168,713,90,918,111,911,971,885,960,805,131,355,189,859,619,926,530,836,835,205,19,84
