Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[104.0],[303.0],[47.0],[102.0],[345.0],[63.0],[284.0],[289.0],[60.0],[443.0],[455.0],[394.0],[370.0],[21.0],[89.0],[437.0],[397.0],[24.0],[94.0],[83.0],[347.0],[306.0],[102.0],[120.0],[530.0]
1,[12.0],[264.0],[318.0],[484.0],[369.0],[93.0],[369.0],[264.0],[303.0],[364.0],[306.0],[102.0],[530.0],[294.0],[397.0],[309.0],[134.0],[451.0],[34.0],[369.0],[107.0],[144.0],[529.0],[352.0],[143.0]
2,[69.0],[298.0],[447.0],[143.0],[392.0],[22.0],[447.0],[83.0],[141.0],[13.0],[369.0],[120.0],[37.0],[139.0],[22.0],[65.0],[155.0],[65.0],[128.0],[370.0],[397.0],[149.0],[69.0],[397.0],[306.0]
3,[290.0],[293.0],[16.0],[361.0],[168.0],[107.0],[166.0],[458.0],[448.0],[471.0],[81.0],[103.0],[437.0],[153.0],[332.0],[530.0],[161.0],[365.0],[171.0],[214.0],[317.0],[186.0],[486.0],[103.0],[397.0]
4,[386.0],[289.0],[166.0],[336.0],[89.0],[214.0],[102.0],[293.0],[180.0],[119.0],[534.0],[121.0],[309.0],[484.0],[134.0],[143.0],[214.0],[336.0],[397.0],[485.0],[93.0],[194.0],[145.0],[113.0],[26.0]
5,[327.0],[156.0],[102.0],[91.0],[453.0],[397.0],[455.0],[517.0],[161.0],[396.0],[144.0],[65.0],[107.0],[435.0],[34.0],[165.0],[93.0],[389.0],[491.0],[89.0],[359.0],[443.0],[65.0],[396.0],[102.0]
6,[107.0],[389.0],[81.0],[396.0],[24.0],[109.0],[338.0],[297.0],[103.0],[219.0],[143.0],[107.0],[481.0],[477.0],[491.0],[236.0],[355.0],[14.0],[478.0],[165.0],[134.0],[320.0],[107.0],[5.0],[285.0]
7,[396.0],[36.0],[534.0],[471.0],[397.0],[347.0],[89.0],[349.0],[529.0],[333.0],[352.0],[367.0],[347.0],[142.0],[486.0],[14.0],[98.0],[87.0],[471.0],[101.0],[455.0],[484.0],[397.0],[162.0],[527.0]
8,[219.0],[173.0],[530.0],[172.0],[181.0],[471.0],[23.0],[448.0],[172.0],[62.0],[214.0],[530.0],[109.0],[131.0],[208.0],[297.0],[112.0],[297.0],[5.0],[475.0],[98.0],[392.0],[303.0],[486.0],[521.0]
9,[453.0],[252.0],[455.0],[397.0],[132.0],[162.0],[178.0],[156.0],[484.0],[23.0],[335.0],[143.0],[176.0],[285.0],[128.0],[293.0],[461.0],[397.0],[133.0],[284.0],[189.0],[468.0],[481.0],[23.0],[82.0]
10,[289.0],[14.0],[23.0],[468.0],[165.0],[396.0],[131.0],[298.0],[396.0],[22.0],[443.0],[396.0],[180.0],[520.0],[149.0],[264.0],[22.0],[69.0],[529.0],[447.0],[22.0],[525.0],[471.0],[515.0],[144.0]
11,[297.0],[69.0],[391.0],[401.0],[142.0],[470.0],[143.0],[80.0],[486.0],[162.0],[127.0],[355.0],[110.0],[147.0],[107.0],[289.0],[303.0],[37.0],[118.0],[23.0],[471.0],[142.0],[93.0],[455.0],[248.0]
12,[389.0],[531.0],[89.0],[35.0],[161.0],[69.0],[530.0],[332.0],[394.0],[93.0],[397.0],[486.0],[162.0],[369.0],[219.0],[100.0],[128.0],[481.0],[132.0],[365.0],[396.0],[16.0],[109.0],[118.0],[329.0]
