Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[62.0],[408.0],[442.0],[83.0],[217.0],[187.0],[288.0],[395.0],[69.0],[242.0],[288.0],[431.0],[170.0],[398.0],[204.0],[476.0],[242.0],[527.0],[113.0],[343.0],[462.0],[438.0],[458.0],[441.0],[288.0]
1,[322.0],[501.0],[507.0],[121.0],[180.0],[61.0],[509.0],[376.0],[35.0],[515.0],[485.0],[331.0],[310.0],[203.0],[442.0],[258.0],[130.0],[429.0],[419.0],[361.0],[196.0],[61.0],[496.0],[198.0],[515.0]
2,[31.0],[484.0],[288.0],[30.0],[202.0],[363.0],[512.0],[322.0],[105.0],[195.0],[331.0],[481.0],[358.0],[284.0],[164.0],[515.0],[195.0],[503.0],[341.0],[365.0],[343.0],[76.0],[435.0],[157.0],[129.0]
3,[496.0],[470.0],[436.0],[151.0],[497.0],[361.0],[294.0],[520.0],[97.0],[506.0],[499.0],[533.0],[284.0],[443.0],[210.0],[506.0],[382.0],[100.0],[105.0],[350.0],[361.0],[138.0],[271.0],[331.0],[341.0]
4,[436.0],[441.0],[496.0],[193.0],[16.0],[455.0],[168.0],[130.0],[179.0],[523.0],[482.0],[496.0],[172.0],[33.0],[430.0],[519.0],[115.0],[372.0],[9.0],[167.0],[182.0],[527.0],[213.0],[483.0],[519.0]
5,[340.0],[266.0],[497.0],[133.0],[206.0],[366.0],[145.0],[450.0],[132.0],[258.0],[496.0],[485.0],[167.0],[205.0],[189.0],[482.0],[64.0],[465.0],[84.0],[184.0],[506.0],[387.0],[507.0],[306.0],[506.0]
6,[458.0],[289.0],[168.0],[85.0],[496.0],[408.0],[475.0],[191.0],[109.0],[431.0],[193.0],[468.0],[443.0],[167.0],[182.0],[498.0],[350.0],[23.0],[30.0],[115.0],[452.0],[456.0],[501.0],[501.0],[44.0]
7,[482.0],[364.0],[482.0],[457.0],[331.0],[443.0],[349.0],[524.0],[151.0],[441.0],[189.0],[482.0],[487.0],[298.0],[168.0],[176.0],[358.0],[395.0],[139.0],[463.0],[175.0],[514.0],[193.0],[180.0],[258.0]
8,[499.0],[183.0],[499.0],[96.0],[474.0],[276.0],[206.0],[100.0],[31.0],[288.0],[196.0],[346.0],[332.0],[242.0],[482.0],[331.0],[167.0],[524.0],[494.0],[130.0],[523.0],[151.0],[331.0],[210.0],[475.0]
9,[527.0],[496.0],[198.0],[451.0],[477.0],[321.0],[481.0],[438.0],[147.0],[484.0],[184.0],[452.0],[242.0],[487.0],[202.0],[271.0],[405.0],[448.0],[274.0],[331.0],[431.0],[79.0],[182.0],[226.0],[168.0]
10,[528.0],[248.0],[502.0],[456.0],[411.0],[201.0],[185.0],[500.0],[27.0],[486.0],[202.0],[200.0],[33.0],[255.0],[288.0],[193.0],[108.0],[478.0],[498.0],[195.0],[168.0],[523.0],[529.0],[202.0],[482.0]
11,[479.0],[533.0],[258.0],[442.0],[329.0],[437.0],[431.0],[423.0],[294.0],[434.0],[460.0],[499.0],[158.0],[92.0],[271.0],[363.0],[437.0],[140.0],[321.0],[487.0],[533.0],[187.0],[474.0],[288.0],[202.0]
12,[444.0],[96.0],[202.0],[285.0],[288.0],[529.0],[496.0],[237.0],[161.0],[62.0],[209.0],[230.0],[205.0],[146.0],[230.0],[361.0],[528.0],[434.0],[458.0],[176.0],[288.0],[49.0],[278.0],[294.0],[180.0]
13,[454.0],[343.0],[306.0],[529.0],[481.0],[313.0],[62.0],[492.0],[206.0],[151.0],[452.0],[222.0],[418.0],[503.0],[14.0],[168.0],[410.0],[130.0],[449.0],[226.0],[202.0],[11.0],[512.0],[56.0],[533.0]
14,[501.0],[206.0],[186.0],[488.0],[468.0],[528.0],[254.0],[509.0],[243.0],[496.0],[363.0],[31.0],[215.0],[274.0],[31.0],[180.0],[365.0],[469.0],[443.0],[358.0],[499.0],[448.0],[468.0],[479.0],[452.0]
15,[453.0],[167.0],[171.0],[504.0],[482.0],[226.0],[499.0],[219.0],[211.0],[442.0],[361.0],[182.0],[379.0],[480.0],[145.0],[184.0],[439.0],[423.0],[529.0],[209.0],[447.0],[369.0],[481.0],[206.0],[31.0]
16,[472.0],[485.0],[176.0],[525.0],[431.0],[214.0],[180.0],[214.0],[468.0],[481.0],[313.0],[172.0],[480.0],[379.0],[353.0],[175.0],[75.0],[279.0],[437.0],[391.0],[184.0],[212.0],[485.0],[451.0],[22.0]
17,[492.0],[452.0],[189.0],[444.0],[533.0],[33.0],[533.0],[83.0],[198.0],[533.0],[175.0],[168.0],[203.0],[38.0],[313.0],[288.0],[515.0],[458.0],[528.0],[175.0],[331.0],[21.0],[477.0],[297.0],[477.0]
18,[524.0],[235.0],[452.0],[219.0],[499.0],[127.0],[477.0],[235.0],[477.0],[447.0],[475.0],[343.0],[325.0],[231.0],[468.0],[206.0],[388.0],[453.0],[442.0],[476.0],[176.0],[209.0],[499.0],[395.0],[481.0]
19,[475.0],[482.0],[361.0],[448.0],[349.0],[138.0],[468.0],[238.0],[475.0],[485.0],[168.0],[288.0],[231.0],[225.0],[481.0],[349.0],[487.0],[520.0],[439.0],[12.0],[510.0],[444.0],[522.0],[438.0],[206.0]
20,[463.0],[213.0],[184.0],[511.0],[153.0],[186.0],[436.0],[475.0],[431.0],[436.0],[481.0],[33.0],[38.0],[228.0],[431.0],[196.0],[380.0],[438.0],[378.0],[416.0],[430.0],[297.0],[430.0],[19.0],[468.0]
21,[331.0],[477.0],[156.0],[208.0],[484.0],[202.0],[485.0],[479.0],[533.0],[482.0],[180.0],[475.0],[104.0],[2.0],[533.0],[468.0],[21.0],[302.0],[519.0],[405.0],[463.0],[515.0],[346.0],[48.0],[349.0]
22,[433.0],[481.0],[313.0],[493.0],[182.0],[504.0],[331.0],[226.0],[180.0],[426.0],[431.0],[202.0],[92.0],[478.0],[499.0],[481.0],[427.0],[309.0],[504.0],[64.0],[475.0],[230.0],[504.0],[223.0],[200.0]
23,[438.0],[230.0],[226.0],[321.0],[523.0],[494.0],[176.0],[221.0],[481.0],[331.0],[477.0],[180.0],[402.0],[310.0],[213.0],[477.0],[76.0],[117.0],[487.0],[223.0],[209.0],[346.0],[431.0],[62.0],[431.0]
24,[297.0],[346.0],[24.0],[331.0],[502.0],[498.0],[196.0],[13.0],[168.0],[477.0],[533.0],[271.0],[208.0],[259.0],[454.0],[431.0],[332.0],[444.0],[495.0],[13.0],[187.0],[62.0],[288.0],[444.0],[271.0]
25,[467.0],[31.0],[175.0],[248.0],[455.0],[439.0],[455.0],[227.0],[288.0],[455.0],[512.0],[258.0],[518.0],[441.0],[62.0],[455.0],[357.0],[454.0],[343.0],[515.0],[482.0],[239.0],[484.0],[355.0],[182.0]
26,[200.0],[331.0],[380.0],[153.0],[258.0],[223.0],[209.0],[174.0],[343.0],[531.0],[468.0],[193.0],[133.0],[257.0],[222.0],[499.0],[41.0],[433.0],[517.0],[144.0],[477.0],[157.0],[470.0],[246.0],[343.0]
27,[450.0],[499.0],[209.0],[46.0],[210.0],[184.0],[230.0],[76.0],[512.0],[497.0],[455.0],[206.0],[274.0],[364.0],[477.0],[533.0],[245.0],[297.0],[432.0],[452.0],[180.0],[223.0],[168.0],[37.0],[499.0]
28,[515.0],[200.0],[157.0],[363.0],[271.0],[325.0],[258.0],[433.0],[499.0],[452.0],[408.0],[210.0],[228.0],[271.0],[180.0],[452.0],[359.0],[515.0],[436.0],[395.0],[512.0],[153.0],[482.0],[179.0],[193.0]
29,[456.0],[25.0],[271.0],[508.0],[213.0],[442.0],[193.0],[444.0],[329.0],[499.0],[436.0],[213.0],[255.0],[332.0],[209.0],[209.0],[84.0],[471.0],[463.0],[126.0],[195.0],[94.0],[195.0],[41.0],[455.0]
30,[471.0],[471.0],[512.0],[423.0],[430.0],[495.0],[410.0],[463.0],[484.0],[524.0],[181.0],[474.0],[505.0],[454.0],[436.0],[343.0],[417.0],[475.0],[523.0],[247.0],[258.0],[59.0],[475.0],[214.0],[523.0]
31,[513.0],[480.0],[62.0],[207.0],[343.0],[502.0],[361.0],[527.0],[523.0],[209.0],[343.0],[209.0],[504.0],[204.0],[475.0],[195.0],[524.0],[463.0],[223.0],[348.0],[193.0],[141.0],[523.0],[211.0],[209.0]
32,[523.0],[495.0],[213.0],[463.0],[189.0],[405.0],[222.0],[515.0],[248.0],[321.0],[206.0],[189.0],[525.0],[93.0],[484.0],[475.0],[58.0],[191.0],[450.0],[502.0],[481.0],[526.0],[533.0],[243.0],[444.0]
33,[448.0],[222.0],[242.0],[213.0],[200.0],[506.0],[271.0],[514.0],[470.0],[133.0],[200.0],[410.0],[398.0],[63.0],[496.0],[460.0],[120.0],[450.0],[245.0],[468.0],[468.0],[463.0],[447.0],[468.0],[195.0]
34,[481.0],[511.0],[506.0],[361.0],[157.0],[521.0],[313.0],[297.0],[482.0],[168.0],[441.0],[430.0],[437.0],[131.0],[458.0],[441.0],[499.0],[490.0],[266.0],[481.0],[455.0],[58.0],[175.0],[481.0],[9.0]
35,[431.0],[322.0],[468.0],[400.0],[515.0],[519.0],[363.0],[471.0],[133.0],[202.0],[219.0],[313.0],[285.0],[55.0],[485.0],[509.0],[143.0],[157.0],[125.0],[512.0],[485.0],[279.0],[410.0],[477.0],[353.0]
36,[533.0],[523.0],[481.0],[56.0],[506.0],[444.0],[200.0],[202.0],[408.0],[180.0],[248.0],[158.0],[121.0],[215.0],[331.0],[523.0],[468.0],[200.0],[447.0],[258.0],[206.0],[171.0],[454.0],[431.0],[496.0]
37,[209.0],[180.0],[477.0],[185.0],[347.0],[490.0],[31.0],[193.0],[458.0],[475.0],[214.0],[197.0],[406.0],[366.0],[193.0],[220.0],[411.0],[39.0],[391.0],[509.0],[74.0],[480.0],[451.0],[499.0],[485.0]
38,[180.0],[468.0],[180.0],[492.0],[188.0],[517.0],[189.0],[248.0],[442.0],[468.0],[410.0],[492.0],[80.0],[158.0],[408.0],[62.0],[400.0],[474.0],[484.0],[168.0],[457.0],[386.0],[453.0],[533.0],[441.0]
39,[477.0],[475.0],[533.0],[530.0],[444.0],[431.0],[408.0],[482.0],[436.0],[230.0],[257.0],[441.0],[298.0],[312.0],[12.0],[202.0],[306.0],[514.0],[470.0],[431.0],[313.0],[224.0],[408.0],[248.0],[355.0]
40,[168.0],[168.0],[485.0],[168.0],[427.0],[481.0],[441.0],[41.0],[338.0],[145.0],[151.0],[447.0],[503.0],[40.0],[6.0],[496.0],[408.0],[392.0],[406.0],[180.0],[226.0],[235.0],[202.0],[514.0],[331.0]
41,[202.0],[454.0],[363.0],[288.0],[472.0],[533.0],[502.0],[168.0],[236.0],[271.0],[230.0],[514.0],[395.0],[455.0],[13.0],[485.0],[376.0],[129.0],[408.0],[288.0],[436.0],[238.0],[442.0],[512.0],[219.0]
42,[210.0],[236.0],[430.0],[180.0],[242.0],[477.0],[452.0],[180.0],[480.0],[153.0],[185.0],[479.0],[177.0],[213.0],[65.0],[443.0],[392.0],[72.0],[496.0],[533.0],[368.0],[4.0],[436.0],[168.0],[172.0]
