Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
0,1.7802543640136719,2.199615716934204,1.1964445114135742,1.200138807296753,1.1952011585235596,1.1649174690246582,1.197664499282837,1.2019152641296387,1.2001543045043945,1.199439287185669,1.1985273361206055,1.1993918418884277,1.1906166076660156,1.1576564311981201,1.134315013885498,1.2041141986846924,1.202547550201416
1,1.8857815265655518,7.6833415031433105,1.2200274467468262,1.2306973934173584,1.22426438331604,1.2557003498077393,1.2296597957611084,1.2347214221954346,1.2293436527252197,1.2392771244049072,1.2209827899932861,1.2307994365692139,1.3417799472808838,1.182497501373291,1.8767666816711426,1.2277297973632812,1.2242639064788818
2,1.7822234630584717,2.3471429347991943,1.2119841575622559,1.200432538986206,1.2260642051696777,1.166229248046875,1.1975598335266113,1.2084224224090576,1.205876350402832,1.206925392150879,1.2711241245269775,1.199310541152954,1.216130018234253,1.1923816204071045,1.1400508880615234,1.2090942859649658,1.212733268737793
3,1.7749137878417969,2.2106313705444336,1.1963624954223633,1.1996798515319824,1.194093942642212,1.1613733768463135,1.1949398517608643,1.19968581199646,1.1954271793365479,1.1978938579559326,1.19425368309021,1.194566249847412,1.18746018409729,1.1580164432525635,1.1281812191009521,1.2004046440124512,1.1992206573486328
4,1.8039414882659912,2.2388131618499756,1.2182669639587402,1.2283198833465576,1.2225239276885986,1.1827020645141602,1.2359061241149902,1.2132039070129395,1.2117819786071777,1.2159407138824463,1.2413594722747803,1.214249849319458,1.2080984115600586,1.1755003929138184,1.1451611518859863,1.2199327945709229,1.2448651790618896
5,1.7885816097259521,2.2861275672912598,1.2134780883789062,1.2086920738220215,1.2060561180114746,1.1735103130340576,1.205747127532959,1.2074708938598633,1.2269001007080078,1.2025370597839355,1.2117884159088135,1.205286979675293,1.1968963146209717,1.1728661060333252,1.1397044658660889,1.2097046375274658,1.2055184841156006
6,1.7921319007873535,2.2034108638763428,1.2020504474639893,1.2060577869415283,1.2225053310394287,1.1724178791046143,1.2099523544311523,1.2138018608093262,1.211759328842163,1.2148199081420898,1.2140414714813232,1.2175202369689941,1.1982183456420898,1.167769193649292,1.2214596271514893,1.213669776916504,1.2181427478790283
7,1.8090546131134033,2.319125175476074,1.2103314399719238,1.2164726257324219,1.2456233501434326,1.192765712738037,1.2293217182159424,1.211317539215088,1.211979627609253,1.210737943649292,1.2315781116485596,1.2169444561004639,1.209456205368042,1.1741127967834473,1.14382004737854,1.2180957794189453,1.2292888164520264
8,1.7941360473632812,2.1844570636749268,1.2094299793243408,1.2080423831939697,1.2050983905792236,1.171644926071167,1.204352855682373,1.215909719467163,1.2120544910430908,1.2094831466674805,1.2094347476959229,1.2157111167907715,1.1948308944702148,1.1798186302185059,1.129887580871582,1.203977108001709,1.2100257873535156
9,1.8211734294891357,2.2289552688598633,1.2538199424743652,1.2351460456848145,1.2060961723327637,1.1994645595550537,1.2328810691833496,1.2163732051849365,1.2097580432891846,1.2301371097564697,1.2179949283599854,1.2141468524932861,1.2424020767211914,1.18271803855896,1.160372257232666,1.251723051071167,1.2095637321472168
10,1.7965366840362549,2.32332181930542,1.2105672359466553,1.2189087867736816,1.2399461269378662,1.1880345344543457,1.222318410873413,1.2113792896270752,1.2095952033996582,1.2071874141693115,1.224078893661499,1.2101035118103027,1.2099759578704834,1.17376708984375,1.146486520767212,1.2178292274475098,1.2304940223693848
11,1.7766470909118652,2.149777889251709,1.1903696060180664,1.1938624382019043,1.19899582862854,1.157257318496704,1.1976823806762695,1.196173906326294,1.2000772953033447,1.197619915008545,1.2002105712890625,1.1999964714050293,1.184340476989746,1.1541054248809814,1.135164737701416,1.1975476741790771,1.1979920864105225
12,1.7793638706207275,2.1883881092071533,1.1925716400146484,1.1935737133026123,1.211639404296875,1.1613883972167969,1.200063943862915,1.2043955326080322,1.2019643783569336,1.204648733139038,1.2062969207763672,1.20613431930542,1.1882669925689697,1.155496597290039,1.2079534530639648,1.199720859527588,1.2100918292999268
13,1.774806261062622,2.176711082458496,1.199458360671997,1.2140607833862305,1.1987650394439697,1.183671474456787,1.2049660682678223,1.2085800170898438,1.2087748050689697,1.2070691585540771,1.205338716506958,1.219486951828003,1.19500732421875,1.1644377708435059,1.151047945022583,1.2125372886657715,1.2055957317352295
14,1.8137197494506836,2.219752311706543,1.2616252899169922,1.2327806949615479,1.2216591835021973,1.2034835815429688,1.2198407649993896,1.2301464080810547,1.2230236530303955,1.2518703937530518,1.21586012840271,1.2130885124206543,1.2408232688903809,1.2193412780761719,1.1892333030700684,1.2467100620269775,1.212545394897461
15,1.811314344406128,2.3705546855926514,1.2220253944396973,1.2247471809387207,1.2452633380889893,1.1981897354125977,1.2343289852142334,1.2211337089538574,1.222580909729004,1.2182707786560059,1.2366487979888916,1.2364637851715088,1.215538740158081,1.1816298961639404,1.1531040668487549,1.2227587699890137,1.236203908920288
16,1.7892334461212158,2.2425639629364014,1.2049744129180908,1.196077823638916,1.196657419204712,1.1605770587921143,1.2055840492248535,1.201371431350708,1.2237162590026855,1.1981816291809082,1.2037384510040283,1.2048389911651611,1.1843438148498535,1.166172742843628,1.1305851936340332,1.1994249820709229,1.2018320560455322
17,1.7979938983917236,2.266638994216919,1.2174770832061768,1.2289502620697021,1.2195441722869873,1.182729721069336,1.2372372150421143,1.2150704860687256,1.2152154445648193,1.2171714305877686,1.2272238731384277,1.2152836322784424,1.2062454223632812,1.1776785850524902,1.1412837505340576,1.216545820236206,1.2455592155456543
18,1.787480354309082,2.1872239112854004,1.2072081565856934,1.2138009071350098,1.2032265663146973,1.186596155166626,1.2088518142700195,1.2103142738342285,1.2127342224121094,1.2080113887786865,1.2107362747192383,1.223801612854004,1.198023796081543,1.1646156311035156,1.1479260921478271,1.2098596096038818,1.2079575061798096
19,1.8846790790557861,7.952601194381714,1.2118635177612305,1.2268331050872803,1.2040023803710938,1.249896764755249,1.194796085357666,1.2009556293487549,1.1988227367401123,1.2007012367248535,1.1934270858764648,1.1979846954345703,1.3734855651855469,1.1607985496520996,1.853541612625122,1.209216833114624,1.195026159286499
20,1.8526477813720703,2.243687391281128,1.2681901454925537,1.2600996494293213,1.2198212146759033,1.21937894821167,1.2554633617401123,1.236161231994629,1.2270100116729736,1.242692470550537,1.233769416809082,1.2403514385223389,1.271404504776001,1.193105697631836,1.1861612796783447,1.270639181137085,1.2256677150726318
21,1.844252347946167,2.223348617553711,1.2667369842529297,1.266491174697876,1.2162141799926758,1.1943421363830566,1.2683753967285156,1.2293899059295654,1.2411742210388184,1.2221341133117676,1.229168176651001,1.2325997352600098,1.2633132934570312,1.1828548908233643,1.2164459228515625,1.267951250076294,1.2382447719573975
22,1.8549094200134277,7.928633213043213,1.2035441398620605,1.2110400199890137,1.2019095420837402,1.2499628067016602,1.20558762550354,1.2013580799102783,1.2014355659484863,1.2070982456207275,1.201766014099121,1.20206618309021,1.3871002197265625,1.1670558452606201,1.8556783199310303,1.2060213088989258,1.2014615535736084
23,1.8874573707580566,7.936887264251709,1.2189452648162842,1.2020063400268555,1.1968193054199219,1.245964765548706,1.1974999904632568,1.197223424911499,1.2015018463134766,1.2024357318878174,1.1968398094177246,1.2050220966339111,1.4026639461517334,1.1621711254119873,1.8597545623779297,1.2024178504943848,1.196969985961914
24,1.840519666671753,7.843469142913818,1.208322286605835,1.2162294387817383,1.214747667312622,1.25754714012146,1.2135035991668701,1.2143728733062744,1.2124755382537842,1.215914011001587,1.2149076461791992,1.2125277519226074,1.3627731800079346,1.177398443222046,1.8611643314361572,1.2204251289367676,1.2147223949432373
25,1.7873284816741943,2.2825450897216797,1.212698221206665,1.2047650814056396,1.199751377105713,1.1647865772247314,1.2136566638946533,1.2052247524261475,1.2247371673583984,1.1996359825134277,1.205829381942749,1.2086608409881592,1.1950957775115967,1.1673851013183594,1.1359078884124756,1.2077524662017822,1.2060236930847168
26,1.7875087261199951,2.33821177482605,1.2172505855560303,1.2175207138061523,1.2344410419464111,1.1910626888275146,1.2248523235321045,1.2089359760284424,1.2067773342132568,1.2110331058502197,1.2277557849884033,1.208672046661377,1.2037630081176758,1.1673884391784668,1.1405658721923828,1.2121171951293945,1.2246546745300293
27,1.7740919589996338,2.189256191253662,1.1965570449829102,1.2016193866729736,1.2007639408111572,1.182682991027832,1.2072994709014893,1.205871820449829,1.208125352859497,1.2062125205993652,1.2043285369873047,1.2158434391021729,1.1919026374816895,1.1600573062896729,1.144247055053711,1.2088522911071777,1.2042264938354492
28,1.836139440536499,7.922102689743042,1.2041471004486084,1.2154216766357422,1.207932472229004,1.250216007232666,1.2070846557617188,1.2069807052612305,1.2099392414093018,1.2117586135864258,1.2060637474060059,1.2083802223205566,1.3729784488677979,1.1712403297424316,1.8607959747314453,1.2120788097381592,1.2045531272888184
29,1.7983591556549072,2.375786066055298,1.2124135494232178,1.2154889106750488,1.247157335281372,1.1894409656524658,1.2259631156921387,1.2156565189361572,1.2147679328918457,1.2137351036071777,1.2286715507507324,1.212700605392456,1.2079384326934814,1.1776630878448486,1.141303539276123,1.2133495807647705,1.2282958030700684
