Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[438.0],[220.0],[338.0],[109.0],[319.0],[37.0],[228.0],[65.0],[253.0],[358.0],[110.0],[436.0],[480.0],[364.0],[321.0],[269.0],[67.0],[220.0],[139.0],[117.0],[420.0],[418.0],[442.0],[17.0],[15.0]
1,[145.0],[442.0],[46.0],[326.0],[141.0],[120.0],[358.0],[167.0],[364.0],[228.0],[471.0],[20.0],[228.0],[166.0],[445.0],[472.0],[435.0],[396.0],[136.0],[240.0],[21.0],[88.0],[309.0],[78.0],[57.0]
2,[66.0],[309.0],[431.0],[76.0],[199.0],[53.0],[477.0],[338.0],[424.0],[73.0],[262.0],[494.0],[10.0],[245.0],[292.0],[43.0],[294.0],[57.0],[4.0],[79.0],[226.0],[380.0],[82.0],[271.0],[494.0]
3,[139.0],[358.0],[56.0],[250.0],[363.0],[109.0],[275.0],[15.0],[137.0],[221.0],[171.0],[46.0],[299.0],[151.0],[432.0],[175.0],[287.0],[209.0],[82.0],[307.0],[257.0],[286.0],[246.0],[140.0],[276.0]
4,[325.0],[246.0],[358.0],[221.0],[468.0],[238.0],[338.0],[319.0],[323.0],[10.0],[271.0],[67.0],[13.0],[130.0],[412.0],[141.0],[198.0],[245.0],[465.0],[321.0],[463.0],[140.0],[358.0],[439.0],[46.0]
5,[200.0],[204.0],[424.0],[179.0],[171.0],[111.0],[4.0],[436.0],[222.0],[246.0],[398.0],[136.0],[390.0],[336.0],[78.0],[335.0],[279.0],[371.0],[35.0],[31.0],[88.0],[220.0],[240.0],[268.0],[20.0]
6,[242.0],[11.0],[242.0],[456.0],[449.0],[216.0],[167.0],[464.0],[388.0],[222.0],[30.0],[29.0],[273.0],[13.0],[36.0],[202.0],[153.0],[482.0],[304.0],[454.0],[286.0],[403.0],[390.0],[117.0],[463.0]
7,[387.0],[472.0],[4.0],[39.0],[5.0],[321.0],[408.0],[23.0],[439.0],[276.0],[246.0],[240.0],[242.0],[137.0],[124.0],[150.0],[473.0],[288.0],[200.0],[194.0],[473.0],[77.0],[229.0],[492.0],[480.0]
8,[120.0],[328.0],[221.0],[127.0],[73.0],[477.0],[194.0],[222.0],[372.0],[490.0],[190.0],[327.0],[312.0],[315.0],[477.0],[286.0],[347.0],[29.0],[303.0],[73.0],[204.0],[465.0],[428.0],[343.0],[78.0]
9,[294.0],[343.0],[191.0],[111.0],[472.0],[348.0],[403.0],[449.0],[232.0],[111.0],[31.0],[181.0],[421.0],[64.0],[306.0],[451.0],[471.0],[305.0],[480.0],[303.0],[254.0],[408.0],[306.0],[276.0],[228.0]
10,[193.0],[319.0],[100.0],[343.0],[80.0],[221.0],[204.0],[80.0],[492.0],[388.0],[103.0],[273.0],[455.0],[290.0],[220.0],[36.0],[215.0],[311.0],[111.0],[72.0],[95.0],[423.0],[204.0],[86.0],[194.0]
11,[11.0],[133.0],[23.0],[472.0],[71.0],[253.0],[110.0],[36.0],[116.0],[289.0],[376.0],[437.0],[137.0],[333.0],[311.0],[185.0],[80.0],[442.0],[1.0],[336.0],[117.0],[152.0],[335.0],[431.0],[246.0]
12,[440.0],[212.0],[111.0],[299.0],[143.0],[496.0],[348.0],[348.0],[217.0],[424.0],[422.0],[245.0],[260.0],[480.0],[403.0],[292.0],[201.0],[229.0],[228.0],[222.0],[152.0],[174.0],[469.0],[181.0],[490.0]
13,[31.0],[117.0],[393.0],[450.0],[138.0],[46.0],[494.0],[311.0],[51.0],[109.0],[326.0],[49.0],[477.0],[348.0],[309.0],[273.0],[237.0],[97.0],[299.0],[200.0],[404.0],[415.0],[348.0],[23.0],[129.0]
14,[458.0],[229.0],[185.0],[59.0],[225.0],[245.0],[235.0],[19.0],[235.0],[339.0],[71.0],[365.0],[333.0],[228.0],[246.0],[117.0],[337.0],[212.0],[477.0],[486.0],[380.0],[268.0],[403.0],[257.0],[273.0]
15,[374.0],[221.0],[352.0],[477.0],[246.0],[71.0],[20.0],[352.0],[276.0],[209.0],[274.0],[2.0],[377.0],[170.0],[81.0],[142.0],[15.0],[394.0],[208.0],[450.0],[168.0],[109.0],[288.0],[56.0],[321.0]
16,[72.0],[82.0],[217.0],[77.0],[127.0],[280.0],[136.0],[471.0],[20.0],[189.0],[442.0],[12.0],[0.0],[458.0],[358.0],[170.0],[65.0],[294.0],[127.0],[348.0],[119.0],[236.0],[274.0],[20.0],[395.0]
17,[176.0],[428.0],[310.0],[328.0],[109.0],[439.0],[12.0],[54.0],[15.0],[348.0],[309.0],[145.0],[321.0],[477.0],[171.0],[242.0],[329.0],[108.0],[328.0],[477.0],[343.0],[253.0],[175.0],[490.0],[73.0]
18,[187.0],[469.0],[490.0],[443.0],[64.0],[191.0],[46.0],[143.0],[46.0],[116.0],[358.0],[358.0],[29.0],[374.0],[262.0],[281.0],[365.0],[5.0],[450.0],[127.0],[174.0],[336.0],[465.0],[289.0],[424.0]
19,[53.0],[372.0],[439.0],[476.0],[137.0],[276.0],[436.0],[328.0],[436.0],[129.0],[229.0],[246.0],[107.0],[382.0],[274.0],[295.0],[484.0],[309.0],[290.0],[350.0],[317.0],[243.0],[57.0],[365.0],[440.0]
20,[116.0],[288.0],[238.0],[219.0],[59.0],[116.0],[245.0],[272.0],[49.0],[390.0],[288.0],[167.0],[315.0],[497.0],[360.0],[365.0],[393.0],[360.0],[183.0],[59.0],[243.0],[188.0],[410.0],[30.0],[200.0]
21,[4.0],[245.0],[184.0],[274.0],[273.0],[51.0],[327.0],[213.0],[365.0],[299.0],[148.0],[204.0],[135.0],[470.0],[145.0],[205.0],[204.0],[306.0],[138.0],[280.0],[291.0],[9.0],[343.0],[436.0],[380.0]
22,[480.0],[49.0],[166.0],[497.0],[100.0],[78.0],[57.0],[266.0],[490.0],[236.0],[423.0],[112.0],[458.0],[418.0],[209.0],[140.0],[105.0],[348.0],[157.0],[139.0],[458.0],[111.0],[220.0],[246.0],[397.0]
23,[39.0],[97.0],[289.0],[408.0],[311.0],[129.0],[387.0],[46.0],[494.0],[321.0],[415.0],[57.0],[194.0],[494.0],[469.0],[332.0],[49.0],[246.0],[319.0],[27.0],[31.0],[120.0],[5.0],[430.0],[99.0]
24,[111.0],[423.0],[80.0],[348.0],[77.0],[454.0],[311.0],[57.0],[289.0],[344.0],[212.0],[490.0],[384.0],[456.0],[183.0],[201.0],[163.0],[204.0],[71.0],[290.0],[336.0],[234.0],[382.0],[46.0],[289.0]
25,[228.0],[324.0],[198.0],[195.0],[348.0],[72.0],[66.0],[455.0],[309.0],[285.0],[204.0],[289.0],[187.0],[205.0],[71.0],[317.0],[338.0],[372.0],[309.0],[418.0],[476.0],[200.0],[364.0],[326.0],[71.0]
26,[477.0],[410.0],[276.0],[491.0],[309.0],[189.0],[216.0],[253.0],[246.0],[99.0],[378.0],[4.0],[12.0],[116.0],[352.0],[497.0],[420.0],[185.0],[145.0],[331.0],[395.0],[484.0],[12.0],[175.0],[390.0]
27,[321.0],[480.0],[20.0],[100.0],[167.0],[117.0],[120.0],[494.0],[328.0],[22.0],[280.0],[410.0],[253.0],[27.0],[127.0],[81.0],[261.0],[343.0],[152.0],[320.0],[331.0],[348.0],[423.0],[129.0],[240.0]
28,[251.0],[265.0],[273.0],[319.0],[360.0],[343.0],[220.0],[377.0],[358.0],[204.0],[311.0],[198.0],[436.0],[42.0],[410.0],[311.0],[275.0],[364.0],[66.0],[88.0],[472.0],[82.0],[359.0],[95.0],[310.0]
29,[71.0],[327.0],[471.0],[345.0],[49.0],[410.0],[223.0],[159.0],[469.0],[241.0],[53.0],[253.0],[494.0],[320.0],[253.0],[346.0],[356.0],[50.0],[116.0],[384.0],[60.0],[359.0],[338.0],[450.0],[111.0]
30,[191.0],[4.0],[215.0],[375.0],[204.0],[436.0],[372.0],[287.0],[258.0],[442.0],[319.0],[309.0],[348.0],[2.0],[450.0],[220.0],[396.0],[135.0],[384.0],[448.0],[455.0],[332.0],[327.0],[380.0],[331.0]
31,[73.0],[124.0],[222.0],[141.0],[494.0],[458.0],[398.0],[97.0],[111.0],[215.0],[469.0],[360.0],[167.0],[10.0],[419.0],[338.0],[394.0],[49.0],[420.0],[390.0],[20.0],[221.0],[319.0],[152.0],[23.0]
32,[339.0],[280.0],[228.0],[169.0],[12.0],[288.0],[111.0],[335.0],[324.0],[301.0],[485.0],[423.0],[57.0],[313.0],[465.0],[204.0],[116.0],[469.0],[387.0],[308.0],[207.0],[361.0],[321.0],[273.0],[344.0]
33,[328.0],[338.0],[463.0],[63.0],[327.0],[220.0],[221.0],[128.0],[442.0],[338.0],[364.0],[373.0],[77.0],[384.0],[251.0],[492.0],[222.0],[398.0],[321.0],[380.0],[480.0],[326.0],[344.0],[119.0],[439.0]
34,[240.0],[321.0],[199.0],[144.0],[31.0],[148.0],[442.0],[232.0],[417.0],[203.0],[244.0],[319.0],[46.0],[273.0],[382.0],[310.0],[26.0],[171.0],[59.0],[353.0],[228.0],[343.0],[71.0],[350.0],[140.0]
35,[203.0],[194.0],[142.0],[315.0],[423.0],[420.0],[212.0],[122.0],[215.0],[487.0],[97.0],[425.0],[325.0],[117.0],[45.0],[171.0],[57.0],[435.0],[20.0],[77.0],[265.0],[273.0],[494.0],[176.0],[184.0]
36,[338.0],[29.0],[401.0],[422.0],[415.0],[192.0],[451.0],[375.0],[5.0],[343.0],[141.0],[288.0],[87.0],[12.0],[348.0],[408.0],[343.0],[144.0],[325.0],[493.0],[175.0],[458.0],[432.0],[127.0],[477.0]
37,[221.0],[364.0],[298.0],[130.0],[288.0],[209.0],[246.0],[376.0],[124.0],[136.0],[352.0],[148.0],[430.0],[57.0],[390.0],[465.0],[229.0],[253.0],[187.0],[328.0],[477.0],[309.0],[73.0],[309.0],[352.0]
38,[492.0],[348.0],[286.0],[349.0],[372.0],[440.0],[215.0],[30.0],[273.0],[280.0],[108.0],[364.0],[469.0],[78.0],[476.0],[464.0],[213.0],[2.0],[380.0],[400.0],[13.0],[321.0],[94.0],[71.0],[88.0]
39,[418.0],[111.0],[216.0],[41.0],[469.0],[204.0],[319.0],[318.0],[129.0],[262.0],[100.0],[372.0],[394.0],[410.0],[59.0],[249.0],[107.0],[308.0],[338.0],[399.0],[290.0],[412.0],[372.0],[319.0],[309.0]
