Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[494.0],[422.0],[137.0],[397.0],[131.0],[404.0],[136.0],[228.0],[4.0],[79.0],[479.0],[130.0],[173.0],[376.0],[339.0],[243.0],[184.0],[67.0],[45.0],[121.0],[494.0],[400.0],[121.0],[351.0],[97.0]
1,[411.0],[355.0],[491.0],[12.0],[223.0],[33.0],[442.0],[344.0],[188.0],[212.0],[12.0],[477.0],[304.0],[229.0],[438.0],[212.0],[384.0],[293.0],[323.0],[148.0],[124.0],[135.0],[351.0],[42.0],[479.0]
2,[488.0],[319.0],[67.0],[454.0],[129.0],[340.0],[142.0],[390.0],[476.0],[22.0],[384.0],[438.0],[324.0],[339.0],[340.0],[26.0],[493.0],[384.0],[130.0],[173.0],[223.0],[465.0],[252.0],[127.0],[401.0]
3,[274.0],[128.0],[153.0],[408.0],[477.0],[157.0],[195.0],[376.0],[22.0],[157.0],[279.0],[378.0],[223.0],[157.0],[216.0],[183.0],[390.0],[171.0],[436.0],[22.0],[384.0],[307.0],[42.0],[348.0],[351.0]
4,[348.0],[234.0],[135.0],[135.0],[342.0],[135.0],[42.0],[216.0],[402.0],[427.0],[375.0],[441.0],[149.0],[218.0],[366.0],[115.0],[124.0],[274.0],[143.0],[182.0],[135.0],[339.0],[208.0],[440.0],[427.0]
5,[477.0],[223.0],[184.0],[114.0],[432.0],[348.0],[60.0],[355.0],[124.0],[432.0],[167.0],[135.0],[427.0],[95.0],[45.0],[464.0],[6.0],[442.0],[403.0],[491.0],[390.0],[324.0],[299.0],[93.0],[24.0]
6,[392.0],[425.0],[45.0],[307.0],[33.0],[477.0],[340.0],[489.0],[313.0],[491.0],[390.0],[308.0],[230.0],[234.0],[77.0],[158.0],[52.0],[390.0],[365.0],[126.0],[448.0],[390.0],[4.0],[130.0],[328.0]
7,[90.0],[212.0],[398.0],[351.0],[157.0],[491.0],[234.0],[315.0],[494.0],[308.0],[299.0],[404.0],[454.0],[424.0],[149.0],[314.0],[157.0],[299.0],[261.0],[494.0],[491.0],[230.0],[422.0],[358.0],[158.0]
8,[94.0],[480.0],[480.0],[93.0],[237.0],[279.0],[7.0],[292.0],[96.0],[126.0],[403.0],[152.0],[128.0],[121.0],[491.0],[292.0],[229.0],[173.0],[95.0],[130.0],[279.0],[254.0],[127.0],[96.0],[456.0]
9,[133.0],[72.0],[478.0],[279.0],[90.0],[22.0],[390.0],[384.0],[390.0],[177.0],[152.0],[309.0],[355.0],[96.0],[109.0],[259.0],[31.0],[279.0],[296.0],[477.0],[208.0],[8.0],[494.0],[339.0],[398.0]
10,[358.0],[246.0],[279.0],[42.0],[435.0],[405.0],[307.0],[493.0],[479.0],[478.0],[44.0],[223.0],[348.0],[223.0],[477.0],[154.0],[228.0],[157.0],[4.0],[79.0],[157.0],[478.0],[485.0],[337.0],[390.0]
11,[4.0],[478.0],[203.0],[440.0],[130.0],[445.0],[290.0],[240.0],[6.0],[493.0],[215.0],[116.0],[344.0],[321.0],[494.0],[300.0],[332.0],[152.0],[138.0],[364.0],[186.0],[245.0],[305.0],[67.0],[173.0]
12,[96.0],[132.0],[201.0],[274.0],[358.0],[95.0],[494.0],[252.0],[359.0],[426.0],[348.0],[358.0],[121.0],[440.0],[404.0],[185.0],[90.0],[307.0],[304.0],[254.0],[355.0],[248.0],[104.0],[326.0],[67.0]
13,[252.0],[260.0],[307.0],[202.0],[87.0],[390.0],[300.0],[354.0],[496.0],[390.0],[173.0],[243.0],[199.0],[422.0],[130.0],[203.0],[307.0],[117.0],[358.0],[384.0],[22.0],[494.0],[90.0],[433.0],[339.0]
