Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[27.0],[84.0],[41.0],[65.0],[90.0],[34.0],[66.0],[55.0],[26.0],[56.0],[37.0],[9.0],[59.0],[92.0],[18.0],[86.0],[9.0],[22.0],[101.0],[34.0],[93.0],[86.0],[39.0],[73.0],[35.0]
1,[22.0],[93.0],[6.0],[94.0],[39.0],[55.0],[86.0],[40.0],[41.0],[66.0],[81.0],[83.0],[41.0],[13.0],[67.0],[94.0],[44.0],[37.0],[96.0],[14.0],[82.0],[43.0],[94.0],[45.0],[62.0]
2,[94.0],[40.0],[42.0],[23.0],[83.0],[71.0],[13.0],[67.0],[53.0],[94.0],[1.0],[49.0],[91.0],[65.0],[93.0],[82.0],[98.0],[6.0],[39.0],[40.0],[4.0],[30.0],[65.0],[51.0],[55.0]
3,[88.0],[55.0],[1.0],[40.0],[84.0],[67.0],[98.0],[82.0],[27.0],[40.0],[95.0],[52.0],[69.0],[81.0],[13.0],[20.0],[24.0],[93.0],[100.0],[98.0],[35.0],[79.0],[86.0],[34.0],[52.0]
4,[37.0],[23.0],[91.0],[13.0],[78.0],[37.0],[83.0],[37.0],[56.0],[37.0],[90.0],[90.0],[45.0],[83.0],[72.0],[100.0],[14.0],[40.0],[94.0],[89.0],[37.0],[32.0],[98.0],[63.0],[17.0]
5,[66.0],[34.0],[95.0],[2.0],[27.0],[20.0],[100.0],[65.0],[28.0],[2.0],[76.0],[6.0],[12.0],[59.0],[6.0],[6.0],[18.0],[23.0],[67.0],[35.0],[67.0],[8.0],[96.0],[13.0],[33.0]
6,[95.0],[18.0],[96.0],[14.0],[13.0],[22.0],[5.0],[93.0],[96.0],[3.0],[52.0],[66.0],[26.0],[86.0],[54.0],[90.0],[82.0],[56.0],[86.0],[37.0],[66.0],[61.0],[40.0],[9.0],[40.0]
7,[20.0],[61.0],[55.0],[1.0],[30.0],[15.0],[36.0],[22.0],[59.0],[23.0],[23.0],[7.0],[34.0],[88.0],[32.0],[101.0],[37.0],[66.0],[20.0],[20.0],[20.0],[52.0],[83.0],[97.0],[57.0]
8,[40.0],[72.0],[44.0],[22.0],[102.0],[51.0],[96.0],[23.0],[69.0],[20.0],[55.0],[61.0],[13.0],[96.0],[30.0],[59.0],[95.0],[79.0],[13.0],[52.0],[1.0],[102.0],[101.0],[12.0],[36.0]
9,[55.0],[14.0],[67.0],[35.0],[40.0],[40.0],[33.0],[90.0],[19.0],[35.0],[34.0],[102.0],[73.0],[27.0],[52.0],[92.0],[67.0],[34.0],[4.0],[95.0],[19.0],[66.0],[90.0],[26.0],[22.0]
10,[23.0],[21.0],[22.0],[44.0],[92.0],[66.0],[88.0],[52.0],[20.0],[55.0],[14.0],[96.0],[57.0],[100.0],[14.0],[19.0],[78.0],[52.0],[19.0],[55.0],[52.0],[69.0],[95.0],[7.0],[23.0]
11,[86.0],[48.0],[37.0],[70.0],[33.0],[35.0],[61.0],[94.0],[68.0],[51.0],[66.0],[29.0],[72.0],[101.0],[53.0],[96.0],[6.0],[85.0],[0.0],[23.0],[22.0],[21.0],[67.0],[72.0],[34.0]
12,[52.0],[49.0],[52.0],[55.0],[57.0],[18.0],[7.0],[79.0],[12.0],[93.0],[67.0],[14.0],[71.0],[82.0],[31.0],[54.0],[35.0],[39.0],[90.0],[76.0],[95.0],[2.0],[20.0],[32.0],[61.0]
13,[39.0],[32.0],[65.0],[93.0],[71.0],[44.0],[10.0],[51.0],[45.0],[14.0],[94.0],[18.0],[63.0],[90.0],[12.0],[53.0],[83.0],[65.0],[56.0],[19.0],[55.0],[14.0],[19.0],[14.0],[37.0]
14,[51.0],[30.0],[40.0],[51.0],[79.0],[76.0],[11.0],[14.0],[34.0],[21.0],[33.0],[13.0],[31.0],[0.0],[16.0],[14.0],[68.0],[94.0],[53.0],[51.0],[15.0],[34.0],[56.0],[48.0],[2.0]
15,[90.0],[52.0],[23.0],[36.0],[51.0],[61.0],[58.0],[66.0],[13.0],[44.0],[51.0],[78.0],[96.0],[7.0],[76.0],[52.0],[26.0],[14.0],[47.0],[53.0],[94.0],[31.0],[18.0],[94.0],[6.0]
16,[83.0],[80.0],[20.0],[25.0],[21.0],[53.0],[4.0],[34.0],[31.0],[95.0],[80.0],[24.0],[20.0],[20.0],[44.0],[88.0],[30.0],[88.0],[99.0],[93.0],[27.0],[100.0],[53.0],[49.0],[65.0]
17,[100.0],[79.0],[76.0],[90.0],[52.0],[54.0],[6.0],[1.0],[17.0],[33.0],[86.0],[69.0],[35.0],[54.0],[49.0],[31.0],[22.0],[67.0],[59.0],[86.0],[3.0],[99.0],[54.0],[24.0],[93.0]
18,[1.0],[38.0],[94.0],[67.0],[29.0],[94.0],[27.0],[35.0],[51.0],[52.0],[91.0],[72.0],[7.0],[47.0],[24.0],[7.0],[93.0],[89.0],[27.0],[90.0],[40.0],[96.0],[14.0],[44.0],[70.0]
19,[14.0],[31.0],[51.0],[61.0],[82.0],[23.0],[41.0],[44.0],[54.0],[34.0],[89.0],[30.0],[5.0],[80.0],[100.0],[0.0],[23.0],[2.0],[6.0],[47.0],[23.0],[90.0],[44.0],[83.0],[60.0]
20,[101.0],[8.0],[14.0],[46.0],[67.0],[21.0],[53.0],[30.0],[48.0],[25.0],[85.0],[100.0],[33.0],[14.0],[101.0],[27.0],[52.0],[35.0],[82.0],[67.0],[44.0],[82.0],[89.0],[18.0],[44.0]
21,[92.0],[102.0],[83.0],[64.0],[31.0],[52.0],[75.0],[9.0],[88.0],[78.0],[83.0],[86.0],[36.0],[53.0],[96.0],[65.0],[55.0],[44.0],[14.0],[28.0],[54.0],[93.0],[52.0],[36.0],[46.0]
22,[54.0],[54.0],[93.0],[76.0],[69.0],[14.0],[93.0],[36.0],[18.0],[39.0],[101.0],[94.0],[70.0],[25.0],[86.0],[45.0],[40.0],[61.0],[44.0],[94.0],[53.0],[49.0],[47.0],[67.0],[95.0]
23,[19.0],[13.0],[66.0],[34.0],[14.0],[93.0],[24.0],[50.0],[6.0],[65.0],[97.0],[4.0],[60.0],[95.0],[84.0],[24.0],[51.0],[73.0],[28.0],[80.0],[14.0],[24.0],[48.0],[30.0],[14.0]
24,[98.0],[67.0],[56.0],[73.0],[50.0],[30.0],[59.0],[70.0],[14.0],[1.0],[30.0],[26.0],[46.0],[30.0],[61.0],[95.0],[66.0],[51.0],[64.0],[44.0],[34.0],[48.0],[49.0],[76.0],[51.0]
25,[59.0],[29.0],[53.0],[52.0],[53.0],[102.0],[87.0],[64.0],[94.0],[68.0],[9.0],[56.0],[29.0],[44.0],[90.0],[68.0],[100.0],[19.0],[95.0],[59.0],[6.0],[18.0],[72.0],[102.0],[11.0]
26,[82.0],[66.0],[80.0],[88.0],[54.0],[68.0],[22.0],[32.0],[49.0],[31.0],[27.0],[54.0],[48.0],[68.0],[98.0],[34.0],[61.0],[95.0],[97.0],[1.0],[5.0],[44.0],[32.0],[29.0],[25.0]
27,[93.0],[53.0],[78.0],[89.0],[76.0],[17.0],[40.0],[31.0],[61.0],[73.0],[44.0],[89.0],[93.0],[45.0],[28.0],[69.0],[94.0],[54.0],[15.0],[30.0],[33.0],[70.0],[13.0],[54.0],[30.0]
28,[53.0],[36.0],[89.0],[83.0],[68.0],[31.0],[55.0],[101.0],[78.0],[49.0],[28.0],[44.0],[18.0],[69.0],[8.0],[30.0],[86.0],[30.0],[98.0],[5.0],[51.0],[83.0],[102.0],[88.0],[29.0]
29,[97.0],[68.0],[81.0],[15.0],[34.0],[29.0],[37.0],[92.0],[24.0],[48.0],[48.0],[101.0],[88.0],[34.0],[83.0],[98.0],[90.0],[53.0],[26.0],[33.0],[61.0],[29.0],[8.0],[61.0],[15.0]
30,[48.0],[37.0],[86.0],[80.0],[26.0],[69.0],[20.0],[61.0],[30.0],[18.0],[49.0],[36.0],[89.0],[79.0],[91.0],[56.0],[101.0],[83.0],[91.0],[77.0],[70.0],[101.0],[68.0],[6.0],[77.0]
31,[49.0],[94.0],[90.0],[81.0],[60.0],[33.0],[14.0],[53.0],[76.0],[102.0],[13.0],[31.0],[56.0],[29.0],[87.0],[72.0],[28.0],[11.0],[51.0],[83.0],[46.0],[33.0],[61.0],[52.0],[66.0]
32,[61.0],[69.0],[85.0],[85.0],[101.0],[5.0],[1.0],[87.0],[87.0],[61.0],[78.0],[27.0],[49.0],[87.0],[102.0],[64.0],[91.0],[10.0],[61.0],[75.0],[25.0],[88.0],[29.0],[21.0],[56.0]
33,[31.0],[1.0],[7.0],[78.0],[98.0],[70.0],[67.0],[102.0],[72.0],[29.0],[18.0],[95.0],[14.0],[64.0],[21.0],[85.0],[54.0],[8.0],[88.0],[25.0],[90.0],[67.0],[69.0],[66.0],[1.0]
