Iteration,Sim_0,Sim_1,Sim_2
0,[3.0],[6.0],[7.0]
1,[67.0],[93.0],[66.0]
2,[14.0],[7.0],[34.0]
3,[65.0],[40.0],[55.0]
4,[1.0],[92.0],[18.0]
5,[18.0],[22.0],[14.0]
6,[35.0],[55.0],[44.0]
7,[34.0],[25.0],[52.0]
8,[10.0],[34.0],[45.0]
9,[79.0],[86.0],[68.0]
10,[20.0],[68.0],[33.0]
11,[15.0],[75.0],[6.0]
12,[53.0],[8.0],[8.0]
13,[32.0],[100.0],[41.0]
14,[17.0],[91.0],[15.0]
15,[40.0],[26.0],[96.0]
16,[91.0],[51.0],[21.0]
17,[59.0],[82.0],[12.0]
18,[89.0],[15.0],[11.0]
19,[25.0],[37.0],[101.0]
20,[21.0],[101.0],[82.0]
21,[6.0],[47.0],[20.0]
22,[69.0],[53.0],[70.0]
23,[101.0],[73.0],[73.0]
24,[42.0],[89.0],[76.0]
25,[4.0],[42.0],[49.0]
26,[102.0],[76.0],[42.0]
27,[12.0],[12.0],[81.0]
28,[81.0],[69.0],[77.0]
29,[44.0],[17.0],[71.0]
30,[45.0],[41.0],[83.0]
31,[70.0],[70.0],[26.0]
32,[49.0],[77.0],[75.0]
33,[52.0],[63.0],[100.0]
34,[57.0],[5.0],[2.0]
35,[38.0],[48.0],[4.0]
36,[9.0],[18.0],[60.0]
37,[47.0],[102.0],[53.0]
38,[0.0],[64.0],[86.0]
39,[11.0],[9.0],[10.0]
40,[93.0],[60.0],[64.0]
41,[5.0],[46.0],[57.0]
42,[50.0],[20.0],[72.0]
43,[77.0],[49.0],[63.0]
44,[19.0],[58.0],[95.0]
45,[58.0],[36.0],[56.0]
46,[23.0],[43.0],[43.0]
47,[80.0],[31.0],[23.0]
48,[29.0],[1.0],[61.0]
49,[64.0],[85.0],[1.0]
50,[83.0],[57.0],[50.0]
51,[87.0],[98.0],[99.0]
52,[100.0],[84.0],[19.0]
53,[96.0],[50.0],[78.0]
54,[61.0],[71.0],[84.0]
55,[78.0],[83.0],[28.0]
56,[84.0],[87.0],[30.0]
57,[62.0],[99.0],[29.0]
58,[90.0],[96.0],[59.0]
59,[74.0],[74.0],[74.0]
60,[46.0],[90.0],[93.0]
61,[94.0],[94.0],[90.0]
62,[39.0],[39.0],[0.0]
63,[27.0],[62.0],[16.0]
64,[88.0],[65.0],[22.0]
65,[92.0],[88.0],[88.0]
