Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[73.0],[49.0],[22.0],[99.0],[85.0],[27.0],[17.0],[36.0],[40.0],[78.0],[12.0],[19.0],[59.0],[95.0],[55.0],[94.0],[34.0],[37.0],[43.0],[34.0],[6.0],[96.0],[89.0],[101.0],[68.0]
1,[34.0],[8.0],[55.0],[19.0],[1.0],[26.0],[52.0],[47.0],[34.0],[40.0],[55.0],[27.0],[93.0],[32.0],[75.0],[81.0],[40.0],[22.0],[70.0],[40.0],[24.0],[94.0],[85.0],[38.0],[31.0]
2,[45.0],[93.0],[34.0],[58.0],[25.0],[69.0],[12.0],[20.0],[55.0],[3.0],[25.0],[96.0],[34.0],[86.0],[79.0],[70.0],[3.0],[34.0],[0.0],[55.0],[76.0],[95.0],[86.0],[28.0],[35.0]
3,[12.0],[83.0],[23.0],[91.0],[91.0],[12.0],[34.0],[52.0],[1.0],[22.0],[61.0],[101.0],[89.0],[70.0],[37.0],[56.0],[12.0],[40.0],[52.0],[7.0],[3.0],[91.0],[100.0],[96.0],[20.0]
4,[40.0],[89.0],[25.0],[48.0],[37.0],[34.0],[41.0],[48.0],[35.0],[36.0],[15.0],[100.0],[3.0],[47.0],[74.0],[35.0],[52.0],[17.0],[77.0],[68.0],[37.0],[90.0],[20.0],[99.0],[98.0]
5,[55.0],[52.0],[79.0],[79.0],[83.0],[45.0],[55.0],[30.0],[42.0],[35.0],[48.0],[95.0],[40.0],[35.0],[86.0],[67.0],[41.0],[23.0],[36.0],[31.0],[98.0],[88.0],[99.0],[95.0],[17.0]
6,[93.0],[95.0],[78.0],[44.0],[42.0],[31.0],[93.0],[49.0],[76.0],[55.0],[7.0],[90.0],[55.0],[25.0],[23.0],[37.0],[93.0],[55.0],[75.0],[12.0],[18.0],[98.0],[101.0],[90.0],[11.0]
7,[91.0],[34.0],[1.0],[50.0],[23.0],[52.0],[96.0],[32.0],[97.0],[37.0],[18.0],[42.0],[41.0],[37.0],[92.0],[1.0],[91.0],[7.0],[44.0],[37.0],[50.0],[18.0],[96.0],[100.0],[27.0]
8,[98.0],[31.0],[70.0],[35.0],[66.0],[51.0],[91.0],[18.0],[67.0],[82.0],[58.0],[91.0],[102.0],[85.0],[69.0],[61.0],[6.0],[78.0],[47.0],[102.0],[25.0],[93.0],[95.0],[86.0],[28.0]
9,[66.0],[86.0],[35.0],[25.0],[34.0],[30.0],[98.0],[61.0],[23.0],[99.0],[49.0],[86.0],[7.0],[24.0],[34.0],[49.0],[15.0],[67.0],[35.0],[87.0],[12.0],[101.0],[61.0],[91.0],[34.0]
