Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,67,19,633,1426,1413,1334,609,1002,31,375,182,31,1314,244,250,1211,643,92,74,1214,418,78,77,595,567,325,873,772,739,1300,779,1491,1546,1007,432,1071,19,1337,641,1384,1414,1250,777,684,760,774,1362,1339,1340,846,46,1282,382,693,150,1493,596,1307,1070,933,615,1188,1084,1469,1110,1106,472,1432,396,329,740,1350,1090,60,655,1198,642,1508,868,605,557,683,941,1413,143,1373,1221,783,738,390,850,1160,462,253,1015,1225,518,23,461,1154
1,1390,454,908,1387,1021,1193,591,799,121,1363,454,744,1205,553,443,866,1158,197,883,697,1099,126,552,649,451,706,198,476,1573,1573,493,1064,1551,567,1024,245,426,387,488,532,627,1269,294,1573,1305,603,1238,1070,389,171,620,241,372,883,1188,1463,363,3,240,155,1458,1530,886,1238,163,296,480,162,456,1372,523,1438,1443,658,98,308,1491,1514,426,1580,1327,597,387,653,435,862,105,360,63,705,748,627,600,1553,1239,1147,671,1410,528,1439
2,523,1110,611,892,1025,909,1089,852,464,1425,1189,1259,626,523,165,161,23,509,1138,995,1404,236,554,1484,1487,373,195,265,1581,356,297,1109,1262,1560,99,413,742,758,203,828,1519,804,437,36,1239,359,717,1221,301,731,188,1565,1417,1198,1509,426,1461,340,399,1380,8,643,1180,512,644,1144,1427,1137,1330,1149,1156,701,1194,1107,93,794,804,1570,1458,524,1339,935,473,933,774,1082,413,290,391,1233,745,1277,1493,536,73,189,99,254,1370,989
3,295,838,398,1491,1411,687,231,931,554,488,589,374,821,356,505,1506,1342,559,1328,904,991,256,101,1148,477,423,520,1313,1006,394,1193,1107,776,838,713,637,1417,79,571,474,1586,1265,816,1180,1475,644,184,255,1476,1450,1561,1393,126,600,831,130,1424,427,1271,1405,33,534,1251,319,1583,1384,1543,1410,178,1386,1004,1356,170,490,277,340,848,587,1143,1273,317,362,402,1352,890,1332,532,1206,265,1387,919,464,1104,1366,1566,798,118,1259,1111,741
4,866,758,91,331,1104,203,60,927,1564,924,888,1421,429,446,264,1227,467,787,262,736,385,1014,1540,290,1105,620,199,39,540,1524,706,526,343,269,517,903,1406,1226,950,1379,761,1295,1268,2,1428,1191,839,1275,1577,1127,975,31,872,1319,87,437,435,1151,1479,1303,583,846,566,1234,1073,220,1385,1115,665,331,987,1372,1197,315,158,477,1307,221,167,1155,1098,905,98,315,777,361,481,1388,810,166,713,1094,857,384,922,638,1183,1054,738,1310
5,1482,1340,1106,1461,205,611,294,1191,21,12,1258,408,520,1493,51,1187,1515,1312,1224,592,929,159,1148,1373,763,1049,1387,696,486,838,980,853,625,848,1,1591,7,241,901,17,1315,1130,176,754,945,976,245,1137,597,1124,708,45,449,1100,574,664,334,654,205,1150,121,1261,199,51,882,1432,1564,859,1583,1470,846,855,439,1474,1502,755,318,1073,1360,1067,1155,1283,1388,1105,87,1232,1261,1539,93,1337,290,200,999,1401,431,1259,565,47,509,1147
6,102,34,430,995,34,113,437,1324,25,865,163,685,1445,1160,107,1101,664,343,138,946,452,563,9,202,1029,595,323,169,340,818,181,1316,1496,216,241,395,994,728,1550,159,405,950,158,508,784,572,1579,713,1159,1475,224,1149,1005,526,857,1227,1287,238,1395,999,1346,278,1342,337,539,1001,1491,230,134,229,302,899,656,381,1381,1119,278,59,391,992,887,426,190,1154,779,765,491,71,905,547,1452,400,156,668,454,567,1413,1325,663,33
7,324,808,779,858,775,1528,1253,853,101,387,945,418,730,299,1083,672,109,101,1260,816,264,1466,1153,1200,1112,1048,191,1459,734,671,601,1367,580,690,176,1444,841,890,713,10,689,625,639,497,810,788,546,598,1287,906,1402,233,634,783,174,685,1103,1401,1132,1046,510,413,878,96,81,1373,1007,103,1158,256,67,206,1542,422,872,435,372,704,1345,862,1236,280,1268,244,233,250,724,4,286,326,521,1441,444,1313,725,707,1573,290,1583,787
8,1534,1162,1143,1597,508,1167,102,614,739,139,485,1413,1424,150,478,856,81,427,1198,320,1064,189,1094,167,311,1069,452,716,1089,970,315,684,275,636,733,93,1184,1091,1113,1140,567,558,1147,308,1277,285,1539,124,420,404,1228,850,88,1498,898,415,973,1006,1243,1306,181,182,575,457,1487,140,675,263,671,1430,682,1411,186,1520,187,1443,1465,827,1023,1371,875,922,655,1197,97,284,1207,645,1026,1265,1243,510,390,1552,702,1308,1070,582,1075,923
9,362,904,291,954,1451,780,751,794,761,1559,579,144,506,68,1264,345,482,308,318,477,1452,1526,251,1142,895,1197,1447,1468,1490,932,1582,1405,342,707,548,804,351,452,1486,110,82,123,980,1313,473,385,1096,985,1419,96,515,228,1193,327,477,96,104,40,1005,1495,1597,900,1288,1483,1572,1119,355,657,1178,844,1203,935,1237,1548,720,318,1541,82,504,40,793,395,345,1241,1466,1142,182,44,1174,182,5,1153,963,1510,1132,1164,479,1102,81,1043
10,1489,1522,57,178,1478,410,387,1347,1376,564,971,265,529,1552,499,202,179,777,1388,571,160,893,917,1236,92,607,341,1308,988,86,1248,1286,220,157,1124,4,1070,1436,529,779,937,560,82,1438,1174,1119,1441,1511,581,1185,950,1284,907,782,811,51,819,727,290,1391,409,533,16,821,342,142,977,843,184,1284,933,533,1215,445,805,504,966,1079,398,1014,145,1240,1290,1455,1414,136,889,472,790,1091,675,1584,1234,723,851,1015,259,710,1267,1533
