Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,360,441,236,397,855,530,259,219,147,761,509,799,894,364,279,843,604,404,161,264,308,954,481,490,321,902,915,20,42,268,829,823,645,284,34,743,46,628,418,300,300,780,156,100,97,493,778,466,390,959,418,574,244,716,991,132,257,72,875,800,359,232,559,697,205,531,538,199,340,306,475,284,427,476,131,769,58,822,159,762,213,210,539,238,981,566,941,944,213,60,776,495,435,963,573,805,637,607,246,686
1,49,138,70,492,137,674,545,765,103,114,259,539,564,389,788,104,402,234,941,209,44,434,253,548,652,593,21,719,60,53,135,580,947,873,246,751,211,441,620,883,60,465,434,585,769,615,130,688,82,572,553,350,803,966,556,163,758,439,562,899,628,523,757,265,151,867,889,97,130,800,248,636,675,783,677,16,361,342,299,425,344,974,110,564,302,97,788,119,101,276,544,458,328,491,16,176,194,7,795,648
2,312,363,509,293,494,170,283,903,462,783,274,691,689,663,967,441,433,641,426,316,617,611,993,14,89,653,283,975,633,110,958,915,611,307,984,438,721,524,35,635,542,510,899,318,689,297,835,706,613,49,309,622,490,617,337,626,811,133,686,789,52,554,106,288,110,169,150,253,35,764,994,597,605,875,923,816,802,83,983,178,890,374,672,592,498,107,235,859,224,904,940,566,628,528,63,335,537,744,927,585
3,720,89,68,272,772,672,250,471,202,459,991,873,147,286,778,846,731,950,243,896,732,596,941,243,670,83,161,502,320,330,540,156,688,511,985,223,346,160,127,255,451,220,571,717,570,726,834,412,65,818,744,902,498,620,924,12,218,835,189,307,397,876,653,423,186,239,491,186,713,766,291,147,26,81,508,883,203,443,39,213,691,997,752,450,690,793,902,782,268,846,973,464,144,446,117,379,630,869,517,394
4,137,838,16,47,550,478,997,350,192,932,774,676,440,805,526,859,971,910,680,513,443,444,361,300,798,958,591,576,163,83,376,842,974,669,475,549,75,245,828,918,974,438,527,606,628,977,371,874,831,851,449,983,191,809,611,76,27,526,782,172,478,518,601,910,494,277,235,897,551,212,80,319,587,494,142,847,938,623,687,882,120,394,414,31,253,60,956,623,699,182,788,904,754,365,535,545,698,642,653,809
5,631,923,238,390,462,57,419,252,373,361,778,110,292,739,103,186,106,309,416,313,828,449,410,531,342,884,726,156,370,8,948,283,834,132,245,526,44,609,531,475,946,708,461,822,961,411,572,125,955,746,306,64,196,138,819,641,187,339,699,72,651,401,222,147,397,160,643,110,684,671,773,322,786,381,945,10,186,717,315,407,389,949,685,121,379,256,161,961,59,76,781,911,890,299,443,171,723,603,154,895
6,486,23,259,917,201,714,586,707,885,597,288,900,150,161,255,625,303,519,343,534,138,354,686,80,860,937,953,851,839,974,304,955,33,435,656,364,266,716,695,95,210,817,698,557,308,249,26,296,576,283,331,751,766,557,669,827,777,8,475,231,873,207,253,659,155,73,764,736,800,279,309,127,967,741,726,566,226,832,753,435,483,422,585,211,112,59,333,844,341,979,272,519,86,326,92,519,103,32,140,276
7,275,608,43,177,312,702,217,75,937,524,878,768,425,514,193,668,828,638,954,829,248,15,496,845,653,720,137,739,126,847,930,676,565,694,498,127,862,428,829,894,933,416,762,919,155,906,499,121,458,568,930,90,28,148,147,772,159,455,681,94,279,189,259,797,272,529,465,123,642,205,560,194,934,9,12,118,293,579,882,151,487,209,621,351,478,113,888,837,867,304,65,226,966,153,80,830,214,935,561,569
8,933,79,302,810,290,505,943,191,24,354,478,826,686,130,233,567,650,159,322,319,206,261,145,302,382,34,101,454,802,398,73,847,360,490,163,180,573,652,337,176,909,325,138,234,106,169,419,2,724,653,922,221,70,361,851,442,896,423,510,485,238,697,661,966,797,62,210,621,343,662,482,592,652,870,738,433,642,116,399,316,373,753,635,454,819,299,679,198,732,809,586,981,584,992,248,507,15,861,755,446
9,395,125,986,127,189,257,374,786,835,286,441,5,218,351,888,673,160,570,561,7,432,670,570,297,409,343,977,844,780,78,880,605,187,971,436,296,225,263,232,606,412,969,717,241,671,614,105,194,462,377,597,564,788,366,76,674,763,402,58,529,535,420,773,177,31,761,519,117,983,525,748,62,719,322,646,428,164,706,844,580,692,873,134,302,807,955,197,177,272,126,937,536,701,522,705,152,683,853,939,911
10,739,704,563,429,763,236,833,569,760,874,851,144,156,989,765,946,649,990,648,393,856,120,140,485,755,78,163,397,732,631,316,820,807,296,734,145,701,260,214,101,509,188,393,87,888,247,414,543,427,950,96,669,592,824,882,890,785,684,474,950,871,598,928,99,370,492,579,290,435,282,952,963,987,410,171,514,77,730,19,229,802,463,208,708,222,499,287,405,303,605,69,416,477,550,412,618,884,426,169,910
11,972,242,903,162,112,252,302,837,793,829,829,103,992,525,648,781,548,345,30,141,49,717,815,835,13,547,4,304,248,249,714,268,866,609,124,228,284,794,537,470,241,872,605,986,879,107,79,14,34,44,983,474,470,367,956,701,248,391,560,223,667,799,400,850,240,740,650,623,633,334,50,644,594,873,580,807,106,935,550,275,534,238,946,88,259,115,826,142,754,340,531,487,72,782,897,413,897,350,770,484
