Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[135.0],[692.0],[860.0],[665.0],[881.0],[524.0],[1352.0],[1296.0],[381.0],[1142.0],[593.0],[652.0],[519.0],[479.0],[348.0],[1242.0],[433.0],[1149.0],[443.0],[1249.0],[1373.0],[305.0],[983.0],[382.0],[490.0]
1,[281.0],[1159.0],[949.0],[510.0],[903.0],[1499.0],[1167.0],[570.0],[1433.0],[433.0],[292.0],[473.0],[383.0],[558.0],[797.0],[529.0],[1149.0],[769.0],[933.0],[1063.0],[861.0],[1362.0],[1247.0],[189.0],[1071.0]
2,[227.0],[443.0],[1242.0],[743.0],[828.0],[923.0],[1389.0],[333.0],[277.0],[955.0],[650.0],[1240.0],[310.0],[1277.0],[1311.0],[773.0],[189.0],[1320.0],[325.0],[773.0],[714.0],[1100.0],[755.0],[1385.0],[1200.0]
3,[104.0],[1216.0],[180.0],[419.0],[666.0],[539.0],[1218.0],[889.0],[233.0],[895.0],[301.0],[503.0],[684.0],[217.0],[70.0],[1180.0],[1347.0],[978.0],[1307.0],[1207.0],[1469.0],[1256.0],[846.0],[580.0],[941.0]
4,[1104.0],[1313.0],[977.0],[663.0],[1107.0],[1108.0],[1442.0],[652.0],[74.0],[435.0],[1407.0],[1363.0],[1330.0],[1330.0],[1404.0],[1167.0],[423.0],[755.0],[152.0],[52.0],[925.0],[1479.0],[146.0],[416.0],[1190.0]
5,[1370.0],[252.0],[950.0],[84.0],[685.0],[330.0],[210.0],[1010.0],[201.0],[1315.0],[1469.0],[1298.0],[925.0],[490.0],[445.0],[1192.0],[74.0],[745.0],[201.0],[300.0],[1467.0],[1188.0],[665.0],[238.0],[1258.0]
6,[1363.0],[46.0],[72.0],[310.0],[10.0],[251.0],[456.0],[548.0],[1295.0],[1060.0],[539.0],[1354.0],[1435.0],[925.0],[527.0],[1171.0],[174.0],[1216.0],[518.0],[1013.0],[359.0],[1235.0],[259.0],[503.0],[765.0]
7,[1409.0],[1149.0],[1014.0],[847.0],[265.0],[1479.0],[540.0],[322.0],[1087.0],[281.0],[1204.0],[118.0],[1306.0],[953.0],[60.0],[657.0],[281.0],[1096.0],[925.0],[258.0],[1111.0],[141.0],[549.0],[1211.0],[640.0]
8,[652.0],[270.0],[630.0],[1354.0],[705.0],[882.0],[874.0],[215.0],[603.0],[328.0],[1423.0],[1074.0],[1479.0],[96.0],[780.0],[640.0],[840.0],[864.0],[33.0],[999.0],[437.0],[134.0],[737.0],[665.0],[1154.0]
9,[930.0],[237.0],[715.0],[933.0],[1251.0],[840.0],[1099.0],[412.0],[950.0],[24.0],[306.0],[1037.0],[896.0],[1261.0],[1171.0],[1433.0],[75.0],[694.0],[1220.0],[1358.0],[1427.0],[532.0],[1091.0],[1239.0],[1149.0]
10,[330.0],[423.0],[1467.0],[48.0],[1470.0],[383.0],[1479.0],[428.0],[1036.0],[348.0],[275.0],[250.0],[673.0],[694.0],[1417.0],[614.0],[1133.0],[754.0],[274.0],[790.0],[6.0],[1150.0],[1171.0],[70.0],[81.0]
11,[152.0],[1106.0],[1171.0],[1318.0],[1133.0],[887.0],[840.0],[1275.0],[305.0],[316.0],[1270.0],[8.0],[831.0],[609.0],[1413.0],[117.0],[416.0],[535.0],[1159.0],[1400.0],[540.0],[1071.0],[917.0],[842.0],[1451.0]
12,[1429.0],[1413.0],[1392.0],[765.0],[1072.0],[1489.0],[923.0],[1354.0],[1479.0],[1171.0],[106.0],[1013.0],[1218.0],[524.0],[1471.0],[520.0],[1098.0],[74.0],[346.0],[953.0],[981.0],[1341.0],[464.0],[1133.0],[158.0]
13,[1216.0],[1133.0],[842.0],[1433.0],[992.0],[608.0],[1239.0],[1370.0],[227.0],[805.0],[114.0],[309.0],[94.0],[1239.0],[335.0],[86.0],[141.0],[404.0],[1140.0],[101.0],[63.0],[456.0],[1196.0],[675.0],[755.0]
14,[797.0],[404.0],[415.0],[0.0],[189.0],[935.0],[336.0],[697.0],[328.0],[614.0],[445.0],[73.0],[1307.0],[1240.0],[1299.0],[101.0],[190.0],[1010.0],[1484.0],[490.0],[1221.0],[1013.0],[278.0],[393.0],[238.0]
15,[131.0],[685.0],[338.0],[896.0],[915.0],[1490.0],[469.0],[1227.0],[428.0],[993.0],[1126.0],[967.0],[988.0],[152.0],[1423.0],[330.0],[1096.0],[1106.0],[717.0],[763.0],[932.0],[1247.0],[330.0],[1421.0],[259.0]
16,[1167.0],[756.0],[848.0],[106.0],[1247.0],[325.0],[1128.0],[714.0],[488.0],[362.0],[1073.0],[47.0],[1439.0],[531.0],[172.0],[1277.0],[1171.0],[685.0],[1155.0],[421.0],[743.0],[1030.0],[490.0],[614.0],[373.0]
17,[749.0],[1196.0],[1131.0],[1408.0],[1249.0],[682.0],[908.0],[1237.0],[105.0],[837.0],[76.0],[874.0],[870.0],[323.0],[847.0],[954.0],[539.0],[445.0],[738.0],[1423.0],[392.0],[261.0],[1194.0],[268.0],[953.0]
18,[1312.0],[1384.0],[1103.0],[797.0],[1194.0],[239.0],[807.0],[1433.0],[39.0],[502.0],[339.0],[1177.0],[1478.0],[1087.0],[396.0],[3.0],[1132.0],[919.0],[401.0],[724.0],[435.0],[933.0],[923.0],[395.0],[520.0]
19,[467.0],[1187.0],[1163.0],[122.0],[1286.0],[967.0],[1170.0],[238.0],[1032.0],[398.0],[1405.0],[1304.0],[685.0],[1479.0],[1274.0],[312.0],[1468.0],[10.0],[265.0],[1163.0],[934.0],[680.0],[1263.0],[516.0],[633.0]
20,[705.0],[1394.0],[123.0],[184.0],[633.0],[890.0],[656.0],[1469.0],[512.0],[565.0],[1194.0],[995.0],[1235.0],[132.0],[1194.0],[435.0],[1408.0],[490.0],[1102.0],[1399.0],[958.0],[325.0],[1013.0],[284.0],[745.0]
21,[395.0],[915.0],[1007.0],[1106.0],[556.0],[419.0],[305.0],[1025.0],[338.0],[401.0],[188.0],[537.0],[858.0],[415.0],[211.0],[437.0],[899.0],[741.0],[1213.0],[288.0],[864.0],[205.0],[901.0],[755.0],[70.0]
22,[819.0],[1192.0],[1013.0],[536.0],[984.0],[230.0],[866.0],[874.0],[193.0],[1190.0],[665.0],[443.0],[1133.0],[1131.0],[536.0],[1395.0],[1093.0],[315.0],[1319.0],[1369.0],[563.0],[1237.0],[641.0],[1303.0],[1194.0]
23,[858.0],[386.0],[682.0],[975.0],[1413.0],[526.0],[899.0],[1313.0],[1394.0],[10.0],[1400.0],[1307.0],[1468.0],[1216.0],[1468.0],[188.0],[211.0],[157.0],[1240.0],[652.0],[592.0],[1407.0],[298.0],[633.0],[541.0]
24,[1199.0],[852.0],[282.0],[180.0],[1266.0],[1244.0],[1332.0],[1210.0],[186.0],[646.0],[495.0],[599.0],[1216.0],[434.0],[981.0],[1423.0],[901.0],[1384.0],[931.0],[926.0],[467.0],[467.0],[1204.0],[1244.0],[365.0]
25,[849.0],[124.0],[717.0],[935.0],[152.0],[518.0],[837.0],[344.0],[661.0],[128.0],[869.0],[52.0],[467.0],[721.0],[637.0],[70.0],[1196.0],[1420.0],[500.0],[665.0],[1318.0],[858.0],[78.0],[570.0],[593.0]
26,[134.0],[318.0],[172.0],[633.0],[1269.0],[1144.0],[943.0],[174.0],[1413.0],[697.0],[586.0],[615.0],[1407.0],[858.0],[1258.0],[288.0],[943.0],[519.0],[1112.0],[1190.0],[673.0],[1275.0],[1159.0],[742.0],[1122.0]
27,[1466.0],[754.0],[603.0],[1423.0],[909.0],[699.0],[861.0],[1140.0],[123.0],[815.0],[367.0],[188.0],[133.0],[560.0],[1351.0],[798.0],[638.0],[1190.0],[934.0],[633.0],[543.0],[155.0],[1479.0],[1013.0],[1253.0]
28,[147.0],[623.0],[599.0],[79.0],[1255.0],[1452.0],[448.0],[201.0],[1038.0],[754.0],[917.0],[265.0],[1149.0],[1244.0],[1190.0],[1329.0],[767.0],[309.0],[950.0],[754.0],[1344.0],[837.0],[201.0],[118.0],[274.0]
29,[1414.0],[354.0],[521.0],[1010.0],[1263.0],[858.0],[1433.0],[1218.0],[106.0],[559.0],[433.0],[84.0],[783.0],[467.0],[1261.0],[220.0],[477.0],[1165.0],[619.0],[962.0],[941.0],[673.0],[373.0],[298.0],[1458.0]
30,[667.0],[652.0],[333.0],[1298.0],[1160.0],[831.0],[692.0],[1329.0],[941.0],[923.0],[834.0],[729.0],[154.0],[592.0],[1362.0],[1117.0],[650.0],[1094.0],[467.0],[1373.0],[1172.0],[564.0],[1286.0],[1010.0],[1121.0]
31,[314.0],[1251.0],[106.0],[1263.0],[32.0],[974.0],[1290.0],[1436.0],[462.0],[575.0],[877.0],[314.0],[1151.0],[517.0],[1433.0],[743.0],[635.0],[175.0],[1363.0],[74.0],[988.0],[1270.0],[1167.0],[172.0],[281.0]
32,[804.0],[1453.0],[360.0],[1007.0],[178.0],[1247.0],[1362.0],[512.0],[1449.0],[1328.0],[68.0],[518.0],[1315.0],[316.0],[1290.0],[575.0],[889.0],[385.0],[743.0],[1203.0],[1261.0],[1320.0],[743.0],[1343.0],[1006.0]
33,[501.0],[974.0],[909.0],[1190.0],[639.0],[1365.0],[842.0],[208.0],[503.0],[1124.0],[623.0],[1087.0],[1296.0],[965.0],[240.0],[88.0],[794.0],[1254.0],[166.0],[851.0],[686.0],[1015.0],[934.0],[347.0],[740.0]
34,[1249.0],[1269.0],[1232.0],[680.0],[210.0],[0.0],[834.0],[804.0],[1297.0],[1463.0],[383.0],[201.0],[1043.0],[1309.0],[743.0],[1056.0],[1471.0],[516.0],[457.0],[383.0],[1149.0],[685.0],[1256.0],[673.0],[1423.0]
35,[41.0],[263.0],[992.0],[658.0],[940.0],[650.0],[496.0],[93.0],[1453.0],[1257.0],[1026.0],[937.0],[36.0],[1153.0],[317.0],[1019.0],[452.0],[286.0],[1315.0],[1459.0],[201.0],[367.0],[899.0],[1479.0],[1242.0]
36,[1277.0],[593.0],[4.0],[1126.0],[531.0],[1261.0],[1149.0],[755.0],[60.0],[379.0],[21.0],[688.0],[160.0],[615.0],[1151.0],[364.0],[1267.0],[1240.0],[632.0],[1230.0],[1113.0],[17.0],[893.0],[687.0],[517.0]
37,[516.0],[452.0],[274.0],[556.0],[351.0],[909.0],[1358.0],[1006.0],[513.0],[925.0],[1037.0],[1395.0],[652.0],[1231.0],[1322.0],[48.0],[217.0],[1482.0],[695.0],[1139.0],[986.0],[36.0],[1342.0],[1249.0],[22.0]
38,[172.0],[864.0],[687.0],[941.0],[1244.0],[335.0],[516.0],[233.0],[1015.0],[889.0],[500.0],[38.0],[312.0],[6.0],[781.0],[546.0],[4.0],[339.0],[1465.0],[211.0],[1495.0],[1163.0],[220.0],[1167.0],[872.0]
39,[839.0],[1122.0],[1188.0],[548.0],[1469.0],[245.0],[650.0],[1418.0],[1466.0],[794.0],[916.0],[733.0],[615.0],[1274.0],[22.0],[4.0],[817.0],[568.0],[8.0],[1262.0],[1216.0],[801.0],[1322.0],[1365.0],[230.0]
40,[339.0],[727.0],[933.0],[281.0],[157.0],[932.0],[830.0],[158.0],[1469.0],[819.0],[274.0],[1225.0],[1498.0],[84.0],[500.0],[1175.0],[1070.0],[531.0],[185.0],[565.0],[266.0],[735.0],[4.0],[783.0],[604.0]
