Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,86,78,86,31,10,99,12,92,44,8,63,71,46,65,13,14,18,4,45,12,74,67,90,58,90,31,28,0,45,16,21,21,37,100,39,81,72,63,24,43,95,63,58,7,60,66,83,39,78,87,42,23,101,78,36,5,25,75,19,45,17,90,97,37,31,100,3,94,90,79,14,3,64,95,92,11,9,37,83,10,30,52,64,39,16,28,65,15,50,71,100,101,28,52,99,82,36,84,99,30
1,34,35,62,10,42,83,90,27,10,87,32,10,24,53,29,18,12,67,88,0,1,65,96,78,99,76,11,44,86,91,19,56,81,90,6,98,79,21,39,18,79,56,28,86,45,22,99,50,72,41,24,42,63,8,47,41,16,51,24,61,12,11,61,5,43,96,40,37,86,26,36,21,95,55,0,12,80,39,36,85,79,12,69,15,99,90,75,48,75,87,68,92,0,93,12,32,14,18,31,65
2,65,97,50,33,90,17,8,38,96,53,76,15,38,59,10,59,62,39,29,28,12,68,0,4,27,2,84,7,55,77,32,77,46,38,75,48,15,19,80,102,3,70,97,62,78,81,54,53,33,98,35,15,3,21,88,100,62,61,42,42,46,23,54,84,20,67,10,29,40,33,88,61,65,31,3,44,71,68,14,0,59,46,85,2,48,66,77,101,33,80,70,18,77,95,64,94,99,35,71,16
3,75,51,96,80,27,58,46,35,99,49,15,78,56,11,70,15,100,37,46,35,34,36,74,14,5,8,18,48,3,14,2,41,39,93,27,13,70,51,3,47,102,52,46,16,102,26,62,94,62,52,34,30,10,94,32,76,84,86,62,46,101,91,79,0,6,11,14,1,20,60,1,76,53,54,52,31,8,15,1,9,22,3,75,36,52,63,44,45,66,15,91,15,78,46,2,31,17,61,24,36
4,50,4,100,11,35,20,87,84,81,73,20,47,26,72,39,61,74,20,60,25,4,55,102,29,40,89,20,101,39,101,52,79,65,32,62,27,33,90,53,90,21,99,31,83,7,14,4,74,54,65,65,21,56,83,60,20,86,84,88,54,50,89,19,102,26,89,58,52,18,3,31,97,28,90,38,77,33,10,57,82,55,91,66,64,42,73,95,52,20,39,48,22,34,48,59,47,91,99,12,69
5,35,42,92,43,36,65,72,75,25,59,70,36,37,27,7,9,88,31,34,7,45,75,34,100,98,68,50,39,1,89,75,16,58,101,63,8,59,5,101,77,97,87,86,26,43,39,49,40,11,50,93,52,41,10,67,59,30,70,91,94,3,40,10,97,35,39,55,21,65,95,22,94,72,101,44,33,74,62,90,77,31,66,49,23,38,79,93,10,73,50,1,78,74,98,48,75,44,49,102,25
6,101,9,43,66,84,69,57,18,18,83,66,54,14,91,89,13,95,63,0,18,32,10,89,41,41,33,25,8,69,94,73,1,12,95,3,0,6,62,37,71,73,64,6,85,24,44,10,90,16,55,81,102,17,0,54,84,13,50,95,16,8,35,57,77,78,99,98,2,88,81,97,91,80,23,96,35,49,32,71,94,32,62,12,78,25,50,53,94,48,86,58,64,98,72,65,27,12,65,97,67
7,87,64,52,12,28,52,53,69,102,55,36,59,19,47,90,27,60,47,27,73,48,99,13,13,34,26,6,42,31,84,100,94,91,68,45,9,26,20,12,13,92,61,29,40,8,20,46,35,36,45,11,55,1,65,92,98,52,101,10,5,62,19,48,4,68,17,16,23,91,101,70,44,12,94,36,45,21,23,67,80,72,84,45,20,43,13,15,100,89,10,95,53,100,31,55,13,77,7,46,43
8,30,5,7,24,60,72,14,94,6,74,16,32,102,19,71,74,0,85,57,15,24,85,5,17,39,57,71,89,89,29,77,96,88,43,24,51,82,93,88,65,23,88,80,34,69,38,42,96,40,100,4,17,7,73,44,61,68,3,26,33,87,72,87,32,71,94,8,87,17,2,64,100,45,45,57,42,51,31,89,30,2,0,6,69,61,75,76,83,45,5,88,16,32,57,101,39,30,41,35,29
9,66,81,53,55,93,82,65,9,46,31,34,19,61,44,4,49,33,96,84,11,82,5,52,45,88,77,76,72,102,20,54,23,70,12,33,30,98,89,38,74,2,59,92,71,96,97,63,31,0,102,9,45,44,37,40,44,6,56,9,35,88,42,51,87,2,7,80,93,95,62,6,57,21,97,93,14,93,17,22,51,80,37,51,27,97,102,7,3,83,34,11,4,18,77,23,16,13,3,54,42
10,91,15,71,90,37,15,15,12,42,19,8,44,70,12,75,60,91,49,95,82,71,17,49,57,45,75,1,97,28,82,46,72,87,3,58,33,36,95,56,92,38,26,34,22,23,10,2,11,73,96,3,68,84,45,87,63,9,26,79,91,63,61,45,25,5,20,38,74,14,73,55,72,29,22,101,83,52,47,55,74,27,90,25,75,55,81,80,33,64,22,72,8,58,85,102,99,31,46,33,78
11,59,23,38,57,52,101,68,58,92,71,93,39,91,79,34,85,40,34,78,4,33,24,22,30,14,1,16,14,8,4,66,84,36,78,79,38,18,18,9,89,71,33,95,75,51,41,13,37,8,59,89,32,39,30,33,72,17,85,1,101,85,60,69,26,22,97,19,86,42,6,37,56,7,35,58,61,77,85,23,18,60,33,90,95,71,23,30,42,67,56,37,36,30,33,52,74,75,17,91,80
12,17,86,65,22,94,40,35,88,93,12,10,57,78,84,48,48,59,7,58,79,76,8,48,76,18,25,64,57,50,69,26,85,21,20,37,80,49,29,22,23,68,82,70,20,64,74,25,28,29,23,71,90,68,17,34,74,7,23,6,69,42,9,65,61,101,87,56,82,28,61,9,96,26,91,9,67,48,75,98,37,93,99,39,94,101,1,27,49,0,66,81,60,16,68,69,100,59,53,37,31
13,51,3,67,87,21,79,85,48,28,65,31,31,0,23,69,63,52,75,28,1,13,66,76,27,93,62,79,92,44,100,58,52,83,29,83,95,5,78,49,2,65,8,64,9,12,19,24,100,93,80,19,77,31,53,17,60,56,89,93,32,67,51,42,80,70,36,93,20,2,54,44,11,79,9,50,57,85,71,84,58,75,102,91,83,34,82,62,102,57,31,40,3,102,74,68,21,4,2,55,86
14,16,50,8,14,16,1,61,63,58,50,48,24,17,24,62,83,99,82,15,98,55,46,67,9,95,80,5,23,23,28,25,0,9,56,52,18,69,11,20,4,89,58,48,101,87,21,37,4,89,51,88,83,100,58,72,35,64,65,56,102,35,98,100,10,4,2,22,60,36,66,90,64,69,89,72,73,97,27,96,68,18,21,76,102,70,88,8,98,53,74,56,40,4,97,82,90,48,23,61,93
15,58,10,16,34,69,42,95,22,23,56,85,37,32,28,20,8,65,43,70,17,81,49,3,40,8,79,75,83,61,71,98,59,99,54,101,99,12,69,55,60,91,43,91,28,3,0,101,62,28,72,62,65,45,11,15,48,97,80,71,86,22,6,47,28,94,5,50,71,29,99,33,63,94,7,87,18,79,28,3,39,19,14,31,24,26,20,73,75,79,52,102,99,31,64,73,79,70,12,29,77
16,21,83,10,64,73,26,32,61,98,37,51,100,82,74,49,90,22,22,11,87,91,62,2,28,84,84,9,67,15,53,16,60,67,40,51,40,54,35,90,83,63,22,68,95,32,72,31,73,64,8,54,48,57,9,10,4,23,98,85,23,53,15,16,71,33,62,67,14,93,97,40,33,74,69,1,66,24,0,59,67,58,25,54,96,64,67,16,46,23,19,22,0,68,78,40,77,20,100,72,27
17,49,38,46,15,96,0,3,37,16,7,54,84,87,36,79,5,56,72,18,64,80,69,6,44,64,99,72,25,90,51,74,24,64,23,68,55,40,68,73,53,52,4,81,15,22,56,72,9,15,71,5,6,22,81,70,56,15,12,40,13,92,59,34,22,11,19,64,92,82,38,30,55,46,74,69,88,4,5,45,31,40,23,73,40,8,74,61,56,77,40,5,39,65,56,57,51,64,45,39,102
18,64,60,18,100,101,7,30,29,87,91,38,95,11,39,32,84,54,15,67,3,63,19,27,96,44,73,12,68,62,35,48,86,47,86,13,11,45,85,75,75,42,30,51,90,5,3,56,91,100,6,43,62,6,24,65,79,2,35,63,11,76,77,18,12,96,41,82,51,46,90,98,15,19,53,55,7,91,12,35,29,69,32,40,34,81,61,78,65,44,98,86,23,69,89,35,60,41,102,26,66
19,68,47,22,85,57,33,75,25,82,70,68,87,44,63,88,67,92,40,42,34,25,42,75,20,4,10,37,47,4,90,82,78,44,69,32,45,42,33,54,33,90,19,0,99,1,24,19,30,9,7,87,53,15,18,77,73,69,64,46,28,15,102,99,88,48,22,59,102,50,84,5,73,88,67,46,20,37,72,20,91,61,35,83,85,19,87,99,67,49,93,79,82,41,42,1,20,9,37,77,3
