Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,100,71,14,37,58,3,10,39,52,66,7,64,95,28,30,28,31,13,9,90,45,8,12,67,28,100,83,18,81,63,42,78,3,43,50,95,92,39,36,72,24,0,82,45,31,84,23,92,15,65,14,79,46,16,36,97,60,21,90,52,99,17,11,90,5,90,99,21,99,64,83,45,39,12,31,65,37,78,78,4,101,58,101,30,37,16,25,94,74,87,63,44,86,100,75,19,63,86,71,10
1,90,10,36,81,28,40,85,6,93,22,86,69,55,11,65,90,10,29,80,86,88,87,90,65,0,96,99,12,98,56,24,35,21,18,75,79,27,15,14,79,39,44,32,86,76,18,42,0,48,75,18,26,24,91,47,61,45,19,96,12,31,12,12,11,41,99,83,56,12,95,36,61,50,0,43,53,39,72,8,67,92,78,63,79,5,99,16,37,1,41,21,10,62,68,51,24,32,34,87,42
2,38,15,88,46,97,10,0,75,95,81,62,85,31,84,16,66,33,10,71,40,29,53,8,68,77,67,54,62,48,70,35,97,61,102,33,3,38,2,99,15,80,7,94,55,2,35,15,3,101,77,59,33,38,77,88,54,78,32,0,46,71,46,44,23,100,27,17,77,64,65,14,42,53,28,20,59,68,33,21,39,18,4,3,59,84,48,62,29,12,98,19,96,50,70,61,42,76,65,80,90
3,93,78,1,39,46,14,9,27,46,26,16,75,54,18,36,63,80,70,8,20,46,49,46,36,78,11,62,100,13,52,34,51,76,47,66,102,35,36,17,70,3,48,31,3,8,61,30,52,45,44,15,60,56,14,32,79,102,2,74,3,24,101,31,91,76,5,58,41,2,53,1,46,94,35,6,11,15,62,94,37,15,14,10,22,0,52,84,1,34,52,51,99,96,91,86,62,15,75,15,27
4,32,47,31,65,31,58,82,62,48,14,83,66,90,20,69,73,11,39,33,18,60,73,87,55,34,89,4,74,27,99,65,4,97,90,20,21,84,64,91,33,53,101,47,39,89,99,21,38,52,95,61,3,26,101,60,19,7,52,102,91,12,50,77,89,20,40,20,79,59,28,57,54,74,25,26,72,10,54,83,20,22,29,56,55,102,42,86,52,4,65,90,81,100,48,84,88,20,50,39,35
5,101,36,22,58,86,55,77,63,98,39,26,49,101,50,25,79,43,7,74,65,34,59,72,75,74,39,49,88,8,87,93,42,94,77,73,97,75,23,44,59,101,39,75,1,68,49,52,44,10,93,9,95,37,89,67,10,43,75,34,66,102,3,33,40,59,98,65,16,48,72,90,94,40,7,35,27,62,11,10,31,78,100,41,31,97,38,30,21,45,50,5,25,92,1,70,91,70,35,50,36
6,95,54,97,12,6,98,94,3,72,44,85,12,23,25,67,50,66,89,49,88,0,83,57,10,98,99,10,95,0,64,81,9,91,71,48,73,18,78,12,6,37,8,27,69,33,65,102,96,94,53,13,81,14,94,54,57,24,73,89,62,97,8,35,35,84,41,69,1,65,80,71,16,90,18,78,91,32,16,0,63,64,41,17,32,77,25,13,2,32,55,62,18,43,58,50,95,66,101,86,84
7,68,59,70,91,29,16,80,45,31,20,40,45,94,6,43,13,12,90,21,91,27,55,53,99,100,17,46,60,9,61,11,64,44,13,89,92,69,20,77,26,12,42,13,31,26,7,55,36,100,15,27,101,19,84,92,48,8,100,13,84,46,62,45,19,98,34,52,94,55,12,67,5,35,73,68,47,23,36,65,47,53,13,1,72,4,43,52,23,48,45,20,102,52,95,101,10,36,87,10,28
8,43,32,64,88,80,8,30,24,57,38,34,6,45,71,29,75,24,71,51,17,57,74,14,85,32,94,42,0,51,88,4,5,100,65,45,23,94,69,30,82,88,89,39,89,57,41,17,57,83,76,74,2,102,29,44,87,69,77,5,0,35,87,42,72,61,39,72,96,101,45,89,33,96,15,71,19,31,40,73,85,16,17,7,2,32,61,68,87,24,100,93,6,7,88,3,26,16,30,5,60
9,12,19,6,70,92,80,51,33,77,97,71,51,97,76,42,102,55,4,93,95,84,31,65,5,18,7,63,33,30,59,9,81,57,74,83,2,9,27,13,98,38,72,16,102,77,3,45,93,3,7,49,62,61,20,40,51,96,54,52,37,54,88,14,42,44,88,82,23,23,21,22,35,31,11,2,44,17,0,37,96,4,45,44,80,87,97,6,93,82,102,89,46,53,11,56,9,34,66,34,93
